Player,Offense,Defense,GP,Name,Squad,Viable
"Someguyinalabcoat",,,176307,LV,"zzzzzzLord Vader, zzPiett zzzMaul zRG zzzVader",1
"Someguyinalabcoat",1,1,160578,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Someguyinalabcoat",,,173714,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"Someguyinalabcoat",1,1,164589,GL Rey,"zzzzzzRey zGK zzzJTR zHoldo zRH Finn",1
"Someguyinalabcoat",,,569009,Executor,"Executor 6* HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Someguyinalabcoat",,,178390,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Someguyinalabcoat",1,0,146084,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Someguyinalabcoat",1,1,121029,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"Someguyinalabcoat",,,501360,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Someguyinalabcoat",,,435082,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Someguyinalabcoat",0,1,102113,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Someguyinalabcoat",0,1,138154,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Someguyinalabcoat",1,0,121701,Traya,"zzTraya zzDN zSion zzEP Sith Empire Trooper",1
"Someguyinalabcoat",,,109610,Mon Mothma,"zzMon Mothma, zCara Dune, Wedge Baze Biggs",1
"Someguyinalabcoat",1,0,147024,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Someguyinalabcoat",1,1,92673,Ewoks,"zChirpa Elder zPaploo Scout zWicket",1
"Someguyinalabcoat",0,1,150834,BH,"zzBossk zBoba zDengar zJango zZam",1
"Someguyinalabcoat",1,1,94135,Carth,"zCarth Onasi, zMission zZaalbar Juhani G8, zCanderous",1
"Someguyinalabcoat",0,1,87577,Phoenix,"zHera G8, Kanan G8, zSabine G8, zZeb G8, zEzra",1
"Someguyinalabcoat",,,125559,Bad Batch,"zHunter zEcho zzOmega zTech zWrecker",1
"Someguyinalabcoat",0,1,132653,BS,"zBS zGMY zJolee zzOld Ben, zzHYoda",1
"Someguyinalabcoat",,,123445,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",0
"Someguyinalabcoat",,,295983,Malevolence,"Malevolence Hyena Bomber 4*, Vulture Droid 5*, Sun Fac SF, Soldier SF, Spy SF",0
"Someguyinalabcoat",1,0,89132,Troopers,"zVeers zStarck zStormtrooper G8, zIden Versio 4* G8, Shoretrooper G9",0
"Jossey",,,132501,Phasma,"zPhasma zFOTP zSith Trooper, zzKRU zKylo",1
"Jossey",1,1,79750,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Jossey",0,1,92331,BH,"zzBossk Boba Greedo Jango Cad",1
"Jossey",0,1,65679,Phoenix,"Hera G9, Kanan Zeb G9, Ezra Chopper G9",1
"Jossey",0,1,49594,Geonosians,"GBA 4* G8, Sun Fac G7, Geo Soldier 6* G8, Geo Spy 6* G8, Poggle",0
"Jossey",1,1,58882,JTR,"JTR G7, Scav Rey G8, BB-8 G8, R2-D2 G9, Finn G9",0
"Jossey",1,1,40062,NS_Alt,"MT 5* G8, AV G9, Talia 5* G8, Daka 5* G8, Spirit 5* G8",0
"Jossey",1,0,59684,ShaakClones,"Shaak Ti 4* G9, Rex G9, Echo (501st) G9, Fives G8, Clone Sergeant G8",0
"Jossey",1,1,87132,zEP,"EP zzzVader Tarkin TFP Mara Jade, The Emperor's Hand 5*",0
"Jossey",1,0,50784,Wiggs,"Wedge 5* G8, Biggs 5* G8, Chewbacca G8, C-3PO Leia G9",0
"Jossey",1,0,53056,Troopers,"Veers 5* G8, Starck G9, Snowtrooper G8, Stormtrooper G8, Magma G7",0
"Jossey",1,1,33713,Rogue1,"Jyn 5* G8, Chirrut 5* G8, Baze 5* G8, Cassian 5* G8, K-2SO 5* G8",0
"J Conn 79",0,1,108843,padme,"zzPadme G8, zGK zJKA G8, zAhsoka zzC-3PO G9",1
"J Conn 79",1,1,125773,NS_Alt,"zzMT zzAV Zombie Talia zDaka",1
"J Conn 79",0,1,101676,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"J Conn 79",,,130697,Disintegration,"zzAurra zzGreef zBoba zzBossk zzThe Mandalorian",1
"J Conn 79",1,1,92850,Ewoks,"zChirpa Elder zPaploo Scout zWicket",1
"J Conn 79",1,1,90699,Carth,"zCarth Onasi, zMission G9, zZaalbar G8, zJuhani zCanderous",1
"J Conn 79",1,1,114140,zEP,"zzEP zzzVader zzTarkin zBSF DN G9",1
"J Conn 79",0,1,121873,Phoenix,"zHera zKanan zSabine zZeb zEzra",1
"J Conn 79",,,63170,Phasma,"Phasma G7, FOTP G7, FOSFTP G7, FOST 4* G6, zKylo",0
"J Conn 79",1,0,100004,CLS,"zzzCLS zHan zzChewbacca G9, zzR2-D2 Chewpio 3* G6",0
"J Conn 79",,,421051,Negotiator,"Negotiator HT 6* Anakin's Eta-2 4*, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",0
"J Conn 79",0,1,68259,Grievous,"zGG B2 G7, B1 4* G7, MagnaGuard Nute G5",0
"J Conn 79",,,64608,Mon Mothma,"Mon Mothma 5* G4, zCara Dune, Lando G8, K-2SO G8, Wedge G8",0
"J Conn 79",1,1,78896,Revan Offense,"zzzJKR G9, GMY G8, zBS G9, zJolee G7, HYoda G4",0
"J Conn 79",0,1,91286,BH,"zzJango Greedo G8, IG-88 G8, zEmbo 5* G9, Cad G9",0
"J Conn 79",1,0,94986,Clones,"Cody G9, zRex zEcho (501st), zzFives zARC Trooper",0
"J Conn 79",1,0,53959,Troopers,"zVeers 6* G7, Starck G5, Snowtrooper G7, Stormtrooper G5, Magma G4",0
"J Conn 79",1,0,58944,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa G5, Dathcha G7",0
"J Conn 79",1,0,12627,SionSolo (Counter),"Sion 6* G8",0
"Shrub R E",1,1,163280,GL Rey,"zzzzzzRey zGK zzzJTR zHoldo zRH Finn",1
"Shrub R E",,,455039,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Shrub R E",0,1,91121,DR,"zzzDR zHK-47 BSF Sith Empire Trooper G8, Thrawn",1
"Shrub R E",,,311213,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Biggs X-wing",1
"Shrub R E",0,1,121344,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Shrub R E",1,0,118594,CLS,"zzzCLS Han zzChewbacca zzR2-D2 zzC-3PO",1
"Shrub R E",,,101334,Nute-Wat,"zNute G9, zB1 zB2 zMagnaGuard zWat Tambor 5* G9",1
"Shrub R E",,,96620,Disintegration,"zzAurra Greef Boba zBossk zThe Mandalorian G8",1
"Shrub R E",1,1,138560,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Shrub R E",1,1,127837,Revan Offense,"zzzJKR zGMY zBS zJolee zHYoda",1
"Shrub R E",1,1,87846,Ewoks,"zChirpa Elder Paploo zWicket Logray",1
"Shrub R E",1,1,88028,Carth,"zCarth Onasi, Mission zZaalbar Juhani G8, zCanderous",1
"Shrub R E",1,1,107767,zEP,"zzEP zzVader Tarkin TFP zzMara Jade, The Emperor's Hand",1
"Shrub R E",0,1,68713,Phoenix,"Hera G9, Kanan G8, Zeb G8, Ezra Chopper G8",1
"Shrub R E",1,0,97528,QGJ,"QGJ Aayla JKA Old Ben, zAhsoka",1
"Shrub R E",1,0,18541,NestSolo (Counter),"zNest",1
"Shrub R E",1,0,12288,SionSolo (Counter),"Sion G8",1
"Shrub R E",,,58301,Phasma,"Phasma G7, FOTP FOSFTP G7, FOST G8, Kylo G8",0
"Shrub R E",,,272961,Malevolence,"Malevolence 5* Hyena Bomber 4*, Vulture Droid 3*, Sun Fac SF, Soldier SF, Spy SF",0
"Shrub R E",1,1,86437,NS_Alt,"zMT G8, zzAV Zombie G8, Talia G8, Daka G9",0
"Shrub R E",,,78681,Mon Mothma,"Mon Mothma 4* G8, Cassian G8, zCara Dune G8, zKyle Katarn, Biggs G8",0
"Shrub R E",1,0,71224,Troopers,"Veers G8, Starck G8, zzGideon 6* G8, Stormtrooper G8, zIden Versio 3* G8",0
"Shrub R E",0,1,89914,BH,"Jango zDengar IG-88 G8, Embo Cad",0
"Shrub R E",,,68556,Bad Batch,"Hunter G8, Echo G7, Omega G8, Tech G8, Wrecker G7",0
"ChocolateGldNuts",0,1,121760,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"ChocolateGldNuts",0,1,115035,BH,"zzBossk Boba IG-88 Jango zThe Mandalorian",1
"ChocolateGldNuts",1,1,118024,zEP,"zzEP zzzVader zTarkin zDooku TFP G8",1
"ChocolateGldNuts",0,1,74921,Phoenix,"Hera Kanan G9, Zeb G8, Ezra Chopper",1
"ChocolateGldNuts",,,68019,Phasma,"Phasma G8, FOTP FOE G8, KRU Kylo G8",0
"ChocolateGldNuts",,,290398,HansMF,"Home One 6*, Han's MF 5*, HT Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",0
"ChocolateGldNuts",1,1,47595,NS_Alt,"MT 6* G8, AV G8, Talia G8, Daka G8, Spirit 6* G8",0
"ChocolateGldNuts",1,0,74964,501st,"Rex G8, Clone Sergeant G8, Echo (501st) G8, Fives G9, zAhsoka",0
"ChocolateGldNuts",1,0,68405,Wiggs,"Wedge G8, Biggs G8, CLS Han Leia G8",0
"ChocolateGldNuts",1,0,53672,Troopers,"Veers Starck G7, Snowtrooper G8, Stormtrooper G8, Shoretrooper 5* G8",0
"ChocolateGldNuts",1,1,44785,Rogue1,"Jyn 5* G8, Chirrut G8, Baze 5* G8, Cassian G8, K-2SO G8",0
"ChocolateGldNuts",0,1,88454,BS,"BS 5* G8, zGMY Old Ben G9, GK 5* zJKA",0
"Glorfindel",,,165342,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Glorfindel",1,1,161597,GL Rey,"zzzzzzRey zzzJTR zzBB-8 zRH Poe, zRH Finn",1
"Glorfindel",,,173523,JMLS,"zzzJKR zzJKL zzzzzzJMLS zzHYoda zzzzGAS",1
"Glorfindel",1,0,145442,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Glorfindel",1,1,114892,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"Glorfindel",,,447775,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Glorfindel",,,489030,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",1
"Glorfindel",0,1,101484,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Glorfindel",1,0,134501,Traya,"zzTraya zDN zSion Sith Empire Trooper, zzThrawn",1
