Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"JArrow2nd",632314833,1845467,1089601,755866,144,-219,36,137,532882,556719,17,1,27,0,60,4,5,15,22,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1
"Someguyinalabcoat",162251947,7668646,4535470,3133176,144,-29,339,458,2432372,2103098,200,9,574,5,241,77,108,129,144,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,20,10,8
"Sture",588422681,1825123,1131829,693294,163,8,15,118,617814,514015,10,1,18,0,61,2,4,14,26,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
"Snoova",871483393,3931552,2458071,1473481,166,-41,65,208,1308973,1145602,58,5,95,0,164,15,21,42,60,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1
"JohnSlashRob",376414864,4922096,2878235,2043861,140,-98,208,196,1494152,1383407,86,2,88,1,196,10,19,60,109,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,17,12,11
"Staatz",313693615,8103073,4781348,3321725,143,168,209,421,2797731,1979921,182,11,547,3,244,90,97,135,164,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,23,10,11
"Xanlythe",694384282,4023162,2362500,1660662,142,20,20,114,1292334,1062822,29,2,41,0,156,5,9,29,66,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,6,5,2
"Palo Rex",733128292,5776339,3551112,2225227,159,190,99,310,2095441,1450949,130,4,211,0,198,30,42,95,134,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,19,13,8
"MagicMike93",439428128,6138375,3717911,2420464,153,-62,157,251,1958859,1750556,133,3,208,1,202,35,39,74,99,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,17,12,10
"J Conn 79",195138126,4405076,2722017,1683059,161,97,45,197,1541276,1173124,98,1,90,0,168,6,25,44,60,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,6,3
"Ragnarock",138462562,6200673,3766252,2434421,154,70,91,274,2108848,1649094,129,4,191,0,217,22,39,93,122,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,18,12,9
"VicXav N201",956694922,4580624,2707745,1872879,144,-20,268,311,1457900,1249169,102,5,209,0,180,33,40,61,89,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,15,9,6
"Dave Lister",658963444,4899398,2994054,1905344,157,163,137,329,1747086,1242858,98,5,252,1,179,34,46,65,88,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,13,8,6
"JTMoney II",525362867,6122493,3461283,2661210,130,118,93,147,1977364,1473556,80,1,37,0,252,0,21,62,96,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,16,10,8
"BigJReed",965792468,3241316,1960596,1280720,153,143,63,143,1135157,824763,48,0,28,0,142,1,11,30,47,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4
"SpideyCoug",458457498,2563427,1372482,1190945,115,-110,212,169,708133,663673,16,2,57,0,101,11,11,21,30,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,6,3,3
"Mort",819249838,7470007,4478951,2991056,149,-29,216,408,2397951,2073505,187,10,440,3,237,62,85,132,149,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,22,13,12
"CanAm Ryder",155593573,6113378,3498711,2614667,133,32,33,140,1926823,1565507,81,6,54,0,241,5,17,58,109,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,22,11,12
"Lepper Mesiah",164495314,4296135,2817179,1478956,190,102,131,224,1602384,1213792,78,0,127,0,152,24,25,46,98,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,5
