Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Eldren,682479877,4,0,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Eldren,682479877,6,0,6,L2 BH: Boba Jango G12 Cad The Mandalorian G12 Greedo G12
DDizell,352755995,2,0,2,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G12 Armorer
DDizell,352755995,4,0,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
DDizell,352755995,15,0,15,L0 Jawas: Nebit G5 Jawa Engineer G5 Jawa Scavenger G5 Dathcha G5 Jawa G5
RichiDePro,177115788,4,0,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
RichiDePro,177115788,16,2,14,L1 BH: Boba G9 Jango G11 Cad G8 5* The Mandalorian G10 Greedo G8
AndrewtheOtherHutt,873945644,1,0,1,L1 Old Republic: JKR BS G11 Jolee Mission Zaalbar
AndrewtheOtherHutt,873945644,4,0,4,L1 BH: Boba Jango Cad The Mandalorian G8 Greedo
AndrewtheOtherHutt,873945644,16,0,16,L1 Jawas: Nebit G8 Jawa Engineer G9 Jawa Scavenger G9 Dathcha G9 Jawa G9 5*
MagicMike93,439428128,2,0,2,L1 Old Republic: JKR BS Jolee Mission Zaalbar G10
MagicMike93,439428128,5,0,5,L1 BH: Boba Jango Cad G9 The Mandalorian Embo G10 6*
MagicMike93,439428128,8,0,8,L1 Jawas: Nebit Jawa Engineer G10 Jawa Scavenger Dathcha G10 Jawa G8
Jossey,216219957,5,0,5,L1 BH: Boba Jango Cad The Mandalorian G8 5* Greedo G11
X688,675588514,3,0,3,L1 Old Republic: JKR BS Jolee G11 Mission G11 Zaalbar G11
X688,675588514,9,0,9,L1 BH: Boba Jango G11 Cad G8 The Mandalorian G11 Greedo G9
Cweneldic,591287488,1,0,1,L1 Old Republic: JKR BS Jolee G11 Mission Zaalbar
Cweneldic,591287488,5,0,5,L1 BH: Boba Jango Cad G9 The Mandalorian G10 Embo
Cweneldic,591287488,8,2,6,L1 Jawas: Nebit G11 Jawa Engineer G11 Jawa Scavenger G10 Dathcha G11 Jawa G11 6*
Cweneldic,591287488,6,2,4,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman G7 Tusken Warrior G7 2* URoRRuR'R'R G6 5*
Stag,284335558,4,0,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
Stag,284335558,1,0,1,L0 Old Republic: JKR BS Jolee Mission Zaalbar G7
Hevy,284633488,4,0,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Hevy,284633488,4,0,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8 6*
Glorfindel,485438363,4,0,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Glorfindel,485438363,4,0,4,L2 BH: Boba Jango Cad G12 The Mandalorian Greedo G12
Glorfindel,485438363,10,0,10,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa G12
Glorfindel,485438363,1,0,1,L1 Tuskens: Tusken Chieftain G11 5* Tusken Raider Tusken Shaman Tusken Warrior URoRRuR'R'R
J Conn 79,195138126,2,0,2,L1 BH: Boba Jango Cad The Mandalorian Embo G10 5*
J Conn 79,195138126,8,0,8,L1 Jawas: Nebit Jawa Engineer G10 Jawa Scavenger G10 Dathcha G10 Jawa G10
J Conn 79,195138126,11,0,11,L1 Carth: Carth Onasi Mission G9 Zaalbar G8 Canderous G11 T3-M4 G9
JTMoney II,525362867,6,0,6,L3 Old Republic: JKR BS R1 Jolee R1 Mission R2 Zaalbar R2
JTMoney II,525362867,2,0,2,L1 BH: Boba Jango Cad G11 The Mandalorian G11 Greedo
JTMoney II,525362867,1,0,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R G7
JTMoney II,525362867,4,0,4,L0 Jawas: Nebit G7 Jawa Engineer G7 Jawa Scavenger G7 Dathcha Jawa G7
DarthBac0nB1ts,222216785,2,0,2,L1 Old Republic: JKR BS Jolee Mission Zaalbar G10
DarthBac0nB1ts,222216785,9,0,9,L1 BH: Boba Jango G11 Cad G11 The Mandalorian G8 5* Greedo G9
Xanlythe,694384282,8,0,8,L1 Old Republic: JKR BS Jolee G10 Mission G9 Zaalbar G9
Xanlythe,694384282,5,1,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
Atreus Klahan,525757151,3,0,3,L1 Old Republic: JKR BS Jolee Mission G10 Zaalbar G11
Atreus Klahan,525757151,8,0,8,L1 BH: Boba Jango G9 Cad G8 The Mandalorian G11 Embo
Atreus Klahan,525757151,2,0,2,L0 Jawas: Nebit G7 Jawa Engineer Jawa Scavenger G7 Dathcha Jawa
Rocky94,612994668,3,0,3,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar G10
Rocky94,612994668,1,0,1,L1 Tuskens: Tusken Chieftain G11 6* Tusken Raider Tusken Shaman Tusken Warrior URoRRuR'R'R
Rocky94,612994668,8,7,1,L0 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan 3* Canderous Armorer 4*
Rocky94,612994668,3,0,3,L0 BH: Boba Jango G5 Cad The Mandalorian Embo
Rocky94,612994668,1,0,1,L0 Jawas: Nebit G7 Jawa Engineer Jawa Scavenger Dathcha Jawa
DarthVapeist,211786181,7,0,7,L1 Old Republic: JKR BS Jolee Mission G8 Zaalbar G9
Snoova,871483393,3,1,2,L1 Old Republic: JKR G11 BS Jolee Mission G11 Zaalbar
Snoova,871483393,3,0,3,L1 BH: Boba Jango Cad G9 The Mandalorian Greedo
Snoova,871483393,7,0,7,L0 Tuskens: Tusken Chieftain G6 3* Tusken Raider G6 Tusken Shaman Tusken Warrior G7 3* URoRRuR'R'R G6 5*
Snoova,871483393,6,0,6,L0 Jawas: Nebit G7 Jawa Engineer G7 Jawa Scavenger G7 Dathcha G6 Jawa G7
Terus Rupesch,675942598,1,-11,12,L1 Old Republic: JKR G9 BS G11 Jolee G11 Mission G9 Zaalbar G8
Terus Rupesch,675942598,3,0,3,L1 Jawas: Nebit G11 Jawa Engineer Jawa Scavenger G11 Dathcha G11 Jawa
Terus Rupesch,675942598,1,0,1,L0 BH: Boba Jango Cad The Mandalorian Greedo G7
Rednaxela,573577796,3,0,3,L1 Old Republic: JKR BS G11 Jolee G11 Mission G11 Zaalbar
Rednaxela,573577796,4,0,4,L1 BH: Boba Jango G11 Cad G11 The Mandalorian G10 Greedo
Rednaxela,573577796,14,0,14,L1 Jawas: Nebit G8 Jawa Engineer G9 Jawa Scavenger G8 Dathcha G9 Jawa
Rednaxela,573577796,12,11,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
FruutSnak,934725735,8,0,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
FruutSnak,934725735,8,0,8,L1 BH: Boba Jango Cad The Mandalorian G8 Greedo G8
Giarny,266292125,3,0,3,L1 Old Republic: JKR BS Jolee Mission G10 Zaalbar G11
Giarny,266292125,8,0,8,L1 Jawas: Nebit G10 Jawa Engineer G11 Jawa Scavenger G11 Dathcha G10 Jawa G10
Giarny,266292125,8,0,8,L1 BH: Boba Jango G10 Cad G11 The Mandalorian G11 Embo G8 5*
Elric,883132925,3,0,3,L3 Old Republic: JKR BS R2 Jolee R2 Mission R2 Zaalbar
Elric,883132925,1,0,1,L0 BH: Boba Jango G7 Cad The Mandalorian Greedo
Danglylion,564513741,1,0,1,L0 BH: Boba Jango G7 Cad The Mandalorian Greedo
Ragnarock,138462562,4,0,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Ragnarock,138462562,2,0,2,L1 BH: Boba Jango Cad G11 The Mandalorian G11 Embo
Ragnarock,138462562,11,0,11,L1 Jawas: Nebit G9 Jawa Engineer G11 Jawa Scavenger G9 Dathcha G10 Jawa G10
Ragnarock,138462562,3,0,3,L0 Tuskens: Tusken Chieftain G7 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R G6 5*
Shrub R E,644735319,2,0,2,L1 Old Republic: JKR BS Jolee Mission Zaalbar G10
Shrub R E,644735319,5,0,5,L1 BH: Boba Jango Cad G11 The Mandalorian G8 Embo
ChocolateGldNuts,881595812,3,0,3,L1 BH: Boba Jango Cad The Mandalorian Greedo G9
Lepper Mesiah,164495314,6,0,6,L1 Old Republic: JKR BS Jolee Mission G9 Zaalbar G9
Lepper Mesiah,164495314,4,0,4,L2 BH: Boba Jango Cad G12 The Mandalorian Greedo G12
Lepper Mesiah,164495314,19,1,18,L1 Jawas: Nebit G9 Jawa Engineer G8 6* Jawa Scavenger G9 Dathcha G8 Jawa G8 6*
ozman,561499816,4,0,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
ozman,561499816,3,0,3,L1 BH: Boba Jango Cad The Mandalorian G9 Embo
ozman,561499816,4,0,4,L0 Jawas: Nebit Jawa Engineer G7 Jawa Scavenger G7 Dathcha G7 Jawa G7 6*
Someguyinalabcoat,162251947,8,0,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
Someguyinalabcoat,162251947,2,0,2,L2 BH: Boba Jango Cad The Mandalorian G12 Embo
Someguyinalabcoat,162251947,15,0,15,L1 Jawas: Nebit G8 Jawa Engineer G9 Jawa Scavenger G9 Dathcha G9 Jawa G10
Someguyinalabcoat,162251947,9,8,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
Z3R0,349651756,7,2,5,L1 Old Republic: JKR BS Jolee Mission G8 Zaalbar G11
Z3R0,349651756,4,0,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
AndrewtheHutt,932895421,4,0,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
AndrewtheHutt,932895421,2,0,2,L1 BH: Boba Jango Cad The Mandalorian Greedo G10
AndrewtheHutt,932895421,5,0,5,L0 Jawas: Nebit G7 Jawa Engineer G7 4* Jawa Scavenger G7 Dathcha G7 Jawa G7 3*
Walto Dangrel,468333915,2,0,2,L1 Old Republic: JKR BS Jolee G10 Mission Zaalbar
Walto Dangrel,468333915,3,0,3,L1 BH: Boba Jango Cad G9 The Mandalorian Greedo
Walto Dangrel,468333915,15,0,15,L1 Jawas: Nebit G8 Jawa Engineer G9 Jawa Scavenger G10 Dathcha G9 Jawa G9
Bjconnell,978332594,5,0,5,L4 Old Republic: JKR BS R4 Jolee R4 Mission R4 Zaalbar R3
Bjconnell,978332594,6,0,6,L2 BH: Boba G12 Jango Cad G12 The Mandalorian Embo G12
