Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Palo Rex,733128292,28,10,18,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya G12
FruutSnak,934725735,36,11,25,Vader P1 10%: Vader KRU G8 5* Wat Tambor G9 C-3PO Shaak Ti G12
Elric,883132925,37,14,23,Vader+Nute 12%: Vader Nute G11 Thrawn R2 Wat Tambor R3 Traya G7
Hevy,284633488,27,1,26,Vader P1 10%: Vader R3 KRU G8 5* Wat Tambor G10 6* C-3PO G12 Shaak Ti
Galaxy,137427682,42,5,37,Vader+Nute 12%: Vader Nute G9 Thrawn G10 Wat Tambor G9 5* Traya G7 6*
AndrewtheHutt,932895421,32,23,9,Vader+Nute 12%: Vader Nute Thrawn G12 Wat Tambor Traya R2
Giarny,266292125,29,0,29,Vader+Nute 12%: Vader R4 Nute G8 Thrawn G10 Wat Tambor G10 Traya R3
Atreus Klahan,525757151,23,1,22,Vader+Nute 12%: Vader Nute R1 Thrawn Wat Tambor G10 6* Traya G8
Ragnarock,138462562,26,8,18,Vader+Nute 12%: Vader Nute G9 Thrawn G12 Wat Tambor R3 Traya R4
Rocky94,612994668,10,2,8,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor G10 Traya
ozman,561499816,41,4,37,Vader+Nute 12%: Vader Nute G5 Thrawn G12 Wat Tambor G6 6* Traya G12
Shrub R E,644735319,51,5,46,Vader+Nute 12%: Vader G12 Nute G9 Thrawn G10 Wat Tambor G9 5* Traya G4
J Conn 79,195138126,44,2,42,Vader+Nute 12%: Vader R3 Nute G5 Thrawn G12 Wat Tambor G7 6* Traya G8
Mort,819249838,20,8,12,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor G6 6* Traya
DDizell,352755995,17,6,11,Vader P1 10%: Vader KRU Wat Tambor G11 6* C-3PO R1 BB-8
MagicMike93,439428128,34,5,29,Vader+Nute 12%: Vader Nute G10 Thrawn G12 Wat Tambor G9 Traya G12
Someguyinalabcoat,162251947,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Sture,588422681,44,1,43,Vader+Nute 12%: Vader Nute G5 Thrawn G10 6* Wat Tambor G7 6* Traya G7 6*
Cweneldic,591287488,18,1,17,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G7 5* Traya
Staatz,313693615,29,4,25,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G9 6* Traya G8
VicXav N201,956694922,42,24,18,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya G12
Glorfindel,485438363,26,13,13,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G11 6* Traya
Jadizzo904,229724279,36,8,28,Vader+Nute 12%: Vader Nute G8 Thrawn R1 Wat Tambor G10 6* Traya G12
Xanlythe,694384282,37,9,28,Vader+Nute 12%: Vader Nute G9 Thrawn R4 Wat Tambor G10 6* Traya G8
Walto Dangrel,468333915,31,9,22,Vader+Nute 12%: Vader Nute G10 Thrawn Wat Tambor G10 Traya G12
Terus Rupesch,675942598,53,15,38,Vader+Nute 12%: Vader G12 Nute G11 Thrawn G9 Wat Tambor G8 Traya G12
JTMoney II,525362867,44,10,34,Vader+Nute 12%: Vader R4 Nute G5 Thrawn R2 Wat Tambor G12 Traya G7
Bjconnell,978332594,39,8,31,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor G9 6* Traya G8
Rednaxela,573577796,39,11,28,Vader+Nute 12%: Vader R3 Nute G11 Thrawn R1 Wat Tambor G9 Traya G12
