Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Danglylion,564513741,25,4,21,EP: EP R3 Mara Jade, The Emperor's Hand G12 Vader Thrawn R2 Shoretrooper G8 6*
DarthBac0nB1ts,222216785,22,0,22,CLS: CLS R3 C-3PO R3 Han G12 Chewbacca R3 Chewpio G8 3*
Jossey,216219957,43,12,31,EP: EP Mara Jade, The Emperor's Hand G11 6* Vader G12 Thrawn G10 Shoretrooper G8 5*
Z3R0,349651756,48,0,48,CLS: CLS G8 C-3PO G7 Han G10 Chewbacca G9 Chewpio G8 2*
Atreus Klahan,525757151,1,1,0,JMLS: JMLS JKL JKR GMY HYoda
Atreus Klahan,525757151,33,33,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Atreus Klahan,525757151,2,0,2,CLS: CLS R3 C-3PO Han Chewbacca Chewpio
Atreus Klahan,525757151,35,0,35,Troopers: Veers R3 Piett Dark Trooper G3 Range Trooper G2 Starck R3
Glorfindel,485438363,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Glorfindel,485438363,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Glorfindel,485438363,15,0,15,EP: EP Mara Jade, The Emperor's Hand G3 4* Vader Thrawn Malak
Glorfindel,485438363,29,0,29,Troopers: Veers R3 Piett Dark Trooper G3 5* Range Trooper G8 Starck R3
Elric,883132925,15,4,11,CLS: CLS C-3PO R3 Han R3 Chewbacca Chewpio G11 5*
Shrub R E,644735319,39,9,30,EP: EP G12 Mara Jade, The Emperor's Hand Vader G12 Thrawn G10 Malak G8
Shrub R E,644735319,42,0,42,Padme/BB: Padme Hunter G8 Echo G7 Tech G8 Wrecker G7
Shrub R E,644735319,30,0,30,CLS: CLS G12 C-3PO R4 Han G12 Chewbacca G12 Chewpio G7 4*
MagicMike93,439428128,16,3,13,EP: EP Mara Jade, The Emperor's Hand G8 4* Vader Thrawn R2 Malak
MagicMike93,439428128,17,0,17,CLS: CLS C-3PO R1 Han G12 Chewbacca Chewpio G11 6*
MagicMike93,439428128,50,2,48,Padme/BB: Padme Hunter G8 5* Echo G5 5* Tech G5 4* Wrecker G6 5*
MagicMike93,439428128,50,17,33,Troopers: Veers G12 Piett Dark Trooper G9 5* Range Trooper G6 6* Starck G12
Terus Rupesch,675942598,39,18,21,CLS: CLS C-3PO G12 Han G11 Chewbacca R3 Chewpio G12
Terus Rupesch,675942598,43,0,43,Padme/BB: Padme G12 Hunter G11 6* Echo G8 5* Tech G8 5* Wrecker G8
Rocky94,612994668,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Rocky94,612994668,30,16,14,CLS: CLS R4 C-3PO G12 Han Chewbacca Chewpio G11
Rocky94,612994668,34,0,34,Troopers: Veers G10 Piett Dark Trooper G9 5* Range Trooper G9 Starck G10
Someguyinalabcoat,162251947,7,7,0,SEE: SEE Malak Darth Malgus BSF DR
Someguyinalabcoat,162251947,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Someguyinalabcoat,162251947,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Someguyinalabcoat,162251947,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Someguyinalabcoat,162251947,8,7,1,JMK: JMK CAT R4 GK GAS Ahsoka
