Player,Offense,Defense,GP,Name,Squad,Viable
"Bischmarck",0,1,99298,DRMalak,"zzDR HK-47 BSF zzMalak Sith Empire Trooper G8",1
"Bischmarck",0,1,110461,padme,"zzPadme zGK zJKA zAhsoka C-3PO",1
"Bischmarck",0,1,89216,Geonosians,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Bischmarck",0,1,108016,Grievous,"zzGG zB2 zB1 Droideka MagnaGuard",1
"Bischmarck",1,0,78452,Traya,"zzTraya DN Sion EP G9, Nest",1
"Bischmarck",1,1,70294,Ewoks,"zChirpa G9, Elder Paploo Wicket Logray",1
"Bischmarck",0,1,86393,BH,"zBossk Boba G9, Jango zZam Cad",1
"Bischmarck",1,0,90758,CLS,"zCLS zHan zChewbacca R2-D2 G8, Chewpio",0
"Bischmarck",,,238819,Malevolence,"Malevolence 5* Hyena Bomber 5*, Vulture Droid 5*, Sun Fac SF, Soldier SF, Spy SF",0
"Bischmarck",1,0,63134,Troopers,"Veers G8, zPiett G9, Gideon G8, Dark Trooper, Range Trooper G7",0
"Bischmarck",1,1,96238,GAS,"zzzzGAS zRex Echo (501st) G7, zFives ARC Trooper",0
"Bischmarck",,,75843,Mon Mothma,"zzMon Mothma G8, Cassian Scarif Bistan K-2SO",0
"Bischmarck",1,1,78404,Carth,"Carth Onasi, zMission zZaalbar Juhani G7, Canderous",0
"Grandmasteryogurt",,,122055,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Grandmasteryogurt",1,1,144720,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn",1
"Grandmasteryogurt",1,0,143319,CLS,"zzzCLS zHan zzChewbacca zR2-D2 zChewpio",1
"Grandmasteryogurt",0,1,87065,BH,"zBossk Boba Jango IG-88 G8, Cad G9",1
"Grandmasteryogurt",1,1,97216,zEP,"zzEP zzVader Tarkin G8, TFP G8, zMara Jade, The Emperor's Hand 5*",1
"Grandmasteryogurt",0,1,62299,Phoenix,"Hera G8, Ezra Kanan G8, Chopper Zeb G8",1
"Grandmasteryogurt",0,1,78115,padme,"zPadme G9, GK G7, JKA Ahsoka C-3PO 5*",0
"Grandmasteryogurt",,,327408,HansMF,"Home One 6*, Han's MF 5*, Rebel Y-wing 4*, Ghost 6* Phantom 5* Biggs X-wing, Cassian's U-wing, Wedge X-wing",0
"Grandmasteryogurt",0,1,43002,Geonosians,"GBA 4* G9, Sun Fac G7, Geo Soldier G7, Geo Spy G7, Poggle G7",0
"Grandmasteryogurt",0,1,90552,Grievous-Wat,"zzGG zB2 B1 4* MagnaGuard G9, Wat Tambor 5* G9",0
"Grandmasteryogurt",1,0,92748,Troopers,"zVeers zzPiett zzGideon G9, zDark Trooper 5*, Range Trooper 4* G7",0
"Grandmasteryogurt",1,1,37263,NS,"MT 5* G8, AV 5* G8, Daka 6* G8, Zombie 6* G8, Spirit 6* G8",0
"Grandmasteryogurt",,,78328,Mon Mothma,"zMon Mothma 5* G9, Biggs Hoth Rebel Scout G8, Wedge Kyle Katarn 5* G9",0
"Grandmasteryogurt",1,1,64842,Ewoks,"zChirpa 6* Elder Paploo G8, Teebo G8, Logray 6*",0
"Grandmasteryogurt",1,0,68814,Wampa (Counter),"Rex G8, zWampa DT 5* G8, Jyn 5* G8, FOO",0
"GunnyThePunisher",,,125746,Phasma,"zPhasma zFOTP FOSFTP FOST zKylo",1
"GunnyThePunisher",1,1,148451,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn",1
"GunnyThePunisher",1,0,145780,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"GunnyThePunisher",,,429889,HansMF,"Home One, Han's MF, Rebel Y-wing 6*, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"GunnyThePunisher",0,1,98470,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"GunnyThePunisher",,,110526,Mon Mothma,"zzMon Mothma, Lando Jyn Biggs Wedge",1
"GunnyThePunisher",1,1,104043,Revan,"zzzJKR zBS GMY zJolee GK G8",1
"GunnyThePunisher",1,1,85212,Ewoks,"zChirpa Elder zPaploo Wicket Logray G9",1
"GunnyThePunisher",0,1,101245,BH,"zzBossk Boba zZam Dengar G9, Cad",1
"GunnyThePunisher",1,1,88953,Carth,"zCarth Onasi, Mission Zaalbar Juhani Canderous",1
"GunnyThePunisher",1,1,112824,zEP,"zEP zzzVader Tarkin TFP G8, zBSF",1
"GunnyThePunisher",0,1,74525,Phoenix,"Hera Ezra Kanan Chopper Zeb G8",1
"GunnyThePunisher",1,0,14140,SionSolo (Counter),"Sion G9",1
"GunnyThePunisher",1,1,78602,NS,"zMT G9, AV zDaka Zombie Spirit G8",0
"GunnyThePunisher",1,1,103855,JTR,"zJTR Scav Rey, BB-8 G8, zR2-D2 Finn G9",0
"GunnyThePunisher",0,1,71056,Grievous,"GG G9, B2 G8, Droideka G8, Dooku IG-88",0
"GunnyThePunisher",1,0,75764,ShaakClones,"Shaak Ti 5* G9, Rex Echo (501st), Fives ARC Trooper 5*",0
"GunnyThePunisher",1,0,65068,Troopers,"Veers G9, Starck G7, DT G8, zIden Versio 3* G8, zGideon 5* G9",0
"GunnyThePunisher",0,1,70844,BH,"zJango G9, zGreef G9, The Mandalorian G7, Greedo G8, Nest 6* G9",0
"tanjo",,,123345,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"tanjo",1,1,97149,NS,"zzMT zzAV Daka Zombie Spirit",1
"tanjo",0,1,138184,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"tanjo",0,1,108698,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"tanjo",1,0,113525,Traya,"zzTraya DN zSion zzEP zThrawn",1
"tanjo",1,1,98967,JTR,"zJTR Scav Rey, zBB-8 zzR2-D2 RT",1
"tanjo",1,1,105334,Revan Offense,"zzzJKR zGMY BS zJolee HYoda",1
"tanjo",1,1,81363,Ewoks,"zChirpa Elder Paploo Scout Logray",1
"tanjo",0,1,100402,BH,"zzBossk zBoba zJango Dengar Greedo",1
"tanjo",1,1,89056,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"tanjo",1,0,98031,Wiggs,"Wedge G9, Biggs zzCLS zHan zzChewbacca",1
"tanjo",0,1,67325,Phoenix,"Hera G8, Ezra Kanan G8, Chopper G8, Zeb G8",1
"tanjo",,,311175,HansMF,"Home One, Han's MF 5*, HT Bistan's U-wing, Phantom Ghost Cassian's U-wing, Biggs X-wing",0
"tanjo",1,0,69920,ShaakClones,"Shaak Ti, Rex Echo (501st) G8, Fives G9, ARC Trooper G8",0
"tanjo",1,1,46392,Rogue1,"Jyn 5* G8, Chirrut G8, Baze 5* G8, Cassian G8, K-2SO G8",0
"Caseyyy",0,1,129772,padme,"zzPadme zGK zJKA zAhsoka C-3PO",1
"Caseyyy",0,1,97139,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Caseyyy",0,1,126868,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"Caseyyy",1,1,141068,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Caseyyy",1,1,116872,Revan Offense,"zzzJKR zzGMY zBS zJolee zHYoda",1
"Caseyyy",1,1,82544,Ewoks,"zChirpa G9, Elder Paploo zWicket Logray G9",1
"Caseyyy",0,1,123773,BH,"zzBossk Boba zGreef IG-88 Dengar",1
"Caseyyy",1,1,129120,zEP,"zzEP zzVader Tarkin Krennic TFP",1
"Caseyyy",1,0,117195,Troopers,"zVeers zStarck zDark Trooper, zzPiett zGideon",1
"Caseyyy",0,1,67646,Phoenix,"Hera G8, Ezra G9, Kanan G8, Chopper G8, Zeb G8",1
"Caseyyy",1,0,126837,zMaul,"zDarth Maul, zDooku zSidious zSavage Sith Marauder",1
"Caseyyy",1,0,15541,NestSolo (Counter),"zNest G9",1
"Caseyyy",,,50278,Phasma,"Phasma G7, FOTP 5* G8, FOSFTP G7, FOST 2* G7, Kylo 5* G8",0
"Caseyyy",1,0,101187,CLS,"zzzCLS zHan zzChewbacca R2-D2 G9, zChewpio 6*",0
"Caseyyy",,,289037,HansMF,"Home One, Han's MF 6*, Rebel Y-wing 5*, Bistan's U-wing 5*, Phantom Ghost Cassian's U-wing 5*, Biggs X-wing",0
"Caseyyy",,,483856,Negotiator,"Negotiator 6* HT 6* Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",0
"Caseyyy",1,0,103181,Traya,"zzTraya zDN zSion 5* BSF 6* zThrawn",0
"Caseyyy",,,356017,Executrix,"Executrix Tie Adv, Emperor's Shuttle 4*, TIE Reaper 4*, Imperial TIE Fighter, Gauntlet Starfighter 5*, FOSF TIE Fighter 6*, FO TIE Fighter",0
"Caseyyy",,,55942,Mon Mothma,"Mon Mothma 5* G7, Cara Dune G8, Cassian 4* G9, Biggs G8, Scarif G7",0
"Caseyyy",1,1,48485,NS_Alt,"AV Talia G7, Zombie G7, Spirit G2, Daka G7",0
"Caseyyy",1,1,66169,Carth,"Carth Onasi G9, Mission G8, Zaalbar G8, Juhani 6* G9, Canderous G8",0
"Caseyyy",,,65665,Iden Troopers,"zIden Versio 3* G8, Stormtrooper G9, Snowtrooper Magma G7, DT 6*",0
"Caseyyy",0,1,93395,BH,"Jango zThe Mandalorian, zZam Greedo G8, Cad",0
"Caseyyy",,,62432,Bad Batch,"zHunter 5* G8, zEcho 4* G8, Omega G8, Tech 5* G8, zWrecker 4* G8",0
"RogueJedi",1,1,156412,GL Rey,"zzzzzzRey zJTR zzBB-8 zRH Poe, zRH Finn",1
"RogueJedi",0,1,122530,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"RogueJedi",0,1,139360,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"RogueJedi",1,0,128017,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zChewpio",1
"RogueJedi",1,1,103025,NS_Alt,"zMT zzAV Talia Zombie zDaka",1
