Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Cha22y",761457315,2829322,1536413,1292909,118,-345,92,267,703560,832853,41,1,88,1,100,14,21,37,54,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,7,5,3
"Wacky Wookiee",153559257,3231873,1975077,1256796,157,-256,99,171,946130,1025280,37,4,67,0,112,10,13,29,59,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,6,3
"2Crunchy",244595374,2002423,1220297,782126,156,-473,317,387,520092,700205,29,1,93,1,76,14,22,37,44,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,4,3,1
"liam3265",578656337,1998622,1178635,819987,143,-282,28,162,557626,620333,21,2,37,0,66,5,8,17,34,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0
"Ronin Khael",633311685,4085377,2153235,1932142,111,-276,176,239,1022476,1130083,51,2,104,1,171,14,25,52,64,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,8,7,4
"RogueJedi",256227448,6058289,3480172,2578117,134,107,137,311,1980255,1491087,101,2,248,1,225,31,53,86,107,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,19,13,11
"J3d1 Wampa",233129389,4183013,2280978,1902035,119,-226,319,240,1112099,1168879,56,6,149,1,160,22,31,40,64,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,11,6,6
"ISB Coøkie",917286274,4504739,2510653,1994086,125,-322,131,276,1163735,1346918,70,0,148,1,176,14,34,61,78,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,14,9,6
"BlackKobra77",495911322,3491902,1857714,1634188,113,-387,109,169,831158,1025869,23,4,71,0,136,11,14,31,43,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,7,4,2
"Shart69",662285822,2494497,1585125,909372,174,-129,281,324,810915,774210,56,4,60,0,100,2,23,46,61,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,11,9,5
"Kaladin690",564158266,2593790,1416089,1177701,120,125,100,157,814020,602069,21,0,49,0,98,8,9,22,36,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,5,2
"SniperLord",736453491,5460989,3059773,2401216,127,50,122,221,1701209,1358113,68,1,145,0,248,20,34,58,95,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,16,11,8
"MrEMustard",916322553,4005097,2140762,1864335,114,32,144,192,1180780,959306,34,5,106,0,158,14,22,34,57,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,11,5,6
"Da Beetle",772984483,2756522,1719710,1036812,165,76,72,172,964354,749115,44,2,53,0,113,10,11,26,54,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,8,5
"tanjo",558583215,3670554,2196050,1474504,148,-153,339,217,1110179,1085871,59,2,80,0,167,10,16,48,77,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,9,7
"Soojalembene",878522874,2883050,1697684,1185366,143,-272,216,357,808144,889540,61,1,115,1,118,12,32,48,62,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,10,6,4
