Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
lnquisitor Maze,993878581,8,8,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Jamesss,932183454,0,0,0,GAS Special: GAS Ahsoka
Jamesss,932183454,4,4,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
GunnyThePunisher,649558943,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
GunnyThePunisher,649558943,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 6* Lando
GunnyThePunisher,649558943,19,0,19,JKL: JKL HYoda JMLS G9 Jolee G12 GK G8
Shart69,662285822,10,6,4,GAS Special: GAS Ahsoka G12
Shart69,662285822,17,3,14,CLS: CLS Han G13 Chewbacca G13 Chewpio G12 C-3PO G12
Shart69,662285822,17,13,4,Shaak Ti: Shaak Ti G12 Rex Echo (501st) ARC Trooper Fives
Rice Powered,218278765,20,20,0,CLS: CLS Han Chewbacca Chewpio C-3PO
IKEA,382247489,9,1,8,GAS Special: GAS G8 6* Ahsoka
IKEA,382247489,20,7,13,CLS: CLS Han R2 Chewbacca R1 Chewpio G10 C-3PO G12
Soojalembene,878522874,17,8,9,CLS: CLS Han R1 Chewbacca R1 Chewpio R1 C-3PO G13
Sidrial,348549185,11,7,4,GAS Special: GAS Ahsoka G12
Sidrial,348549185,18,5,13,ROLO: ROLO G11 Chirrut G8 Han Chewpio Chewbacca
Sidrial,348549185,16,8,8,Shaak Ti: Shaak Ti G12 Rex Echo (501st) ARC Trooper G12 Fives
J3d1 Wampa,233129389,17,17,0,CLS: CLS Han Chewbacca Chewpio C-3PO
ISB Coøkie,917286274,8,8,0,GAS Special: GAS Ahsoka
ISB Coøkie,917286274,18,10,8,Shaak Ti: Shaak Ti Rex Echo (501st) G12 ARC Trooper G12 Fives
RogueJedi,256227448,0,0,0,GAS Special: GAS Ahsoka
RogueJedi,256227448,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
RogueJedi,256227448,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
RogueJedi,256227448,4,0,4,ROLO: ROLO Cpt Solo Han G12 Chewbacca Lando
RogueJedi,256227448,9,0,9,JKL: JKL G8 HYoda GMY JKR R2 Jolee
MrEMustard,916322553,12,12,0,CLS: CLS Han Chewbacca Chewpio C-3PO
MrEMustard,916322553,12,0,12,ROLO: ROLO Cpt Solo Biggs G12 Baze G8 Lando
MrEMustard,916322553,19,6,13,JKL: JKL HYoda GMY Jolee G12 GK G7
