Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
MINI ASplendidJedi,455414534,46,40,6,127315,Padme JKA Ahsoka GK GMY G12
Soojalembene,878522874,55,50,5,134446,Padme R3 JKA Ahsoka GK GMY R2
DarthBrosaur,291658232,59,19,40,73728,Padme G10 JKA G8 Ahsoka G8 GK G12 GMY G12
ISB Coøkie,917286274,20,10,10,128916,Padme R3 JKA Ahsoka R3 GK GMY G12
SniperLord,736453491,30,29,1,146217,Padme JKA Ahsoka R4 GK GMY
Sidrial,348549185,20,7,13,124618,Padme G12 JKA Ahsoka G12 GK GMY R4
Ronin Khael,633311685,45,19,26,106948,Padme G12 JKA G12 Ahsoka G12 GK R3 GMY G12
Marren,269783355,19,19,0,132576,Padme JKA Ahsoka GK GMY
Dan,359935949,61,45,16,116497,Padme R3 JKA Ahsoka G12 GK R3 GMY G12
IKEA,382247489,20,13,7,123726,Padme R2 JKA Ahsoka R3 GK R3 GMY
J3d1 Wampa,233129389,62,37,25,106482,Padme G11 JKA G12 Ahsoka G12 GK G12 GMY
Thawk,895377488,38,33,5,132856,Padme R3 JKA Ahsoka R3 GK R4 GMY
Redaxfive,669472598,13,5,8,134946,Padme R3 JKA Ahsoka G12 GK GMY
Harry TBE,212311983,27,11,16,120774,Padme JKA Ahsoka G12 GK R1 GMY G12
lnquisitor Maze,993878581,31,3,28,99737,Padme G12 JKA R1 Ahsoka G12 GK G12 GMY G12
Kanon reloaded,236126683,0,0,0,158011,Padme JKA Ahsoka GK GMY
Bischmarck,828268378,38,24,14,122211,Padme G12 JKA R3 Ahsoka G12 GK GMY
MrEMustard,916322553,56,21,35,82456,Padme G7 JKA G12 Ahsoka G10 GK G9 GMY R4
Dark Baszko,935436975,22,22,0,145006,Padme JKA Ahsoka GK GMY
Da Beetle,772984483,47,47,0,128874,Padme JKA Ahsoka GK GMY
Shart69,662285822,22,0,22,106772,Padme G12 JKA R3 Ahsoka G12 GK R3 GMY G12
BlackKobra77,495911322,59,46,13,112088,Padme G12 JKA R4 Ahsoka R3 GK R3 GMY R3
SzettyAlt,799913995,54,24,30,96369,Padme G12 JKA G12 Ahsoka G12 GK R1 GMY G10
Caseyyy,644777646,7,1,6,137209,Padme JKA Ahsoka R1 GK GMY R3
liam3265,578656337,74,20,54,48614,Padme G1 JKA G5 4* Ahsoka G6 5* GK G12 GMY G12
Jamesss,932183454,17,6,11,127298,Padme R3 JKA R3 Ahsoka R3 GK GMY G13
tanjo,558583215,30,10,20,114068,Padme R3 JKA G12 Ahsoka G12 GK GMY G12
Chris The Gràpe,382697645,29,8,21,104193,Padme R3 JKA Ahsoka G11 GK G8 GMY R3
Veltto,724695932,25,0,25,103836,Padme G12 JKA G12 Ahsoka G11 GK G12 GMY
FriedRedMonkey,114279529,31,29,2,140390,Padme R4 JKA Ahsoka R4 GK GMY
shinykneecaps,311175264,27,2,25,106539,Padme G12 JKA Ahsoka G12 GK G12 GMY G11
Rumdogg,118697339,22,11,11,118989,Padme R3 JKA Ahsoka R3 GK GMY G11
tobster,971261337,57,29,28,107206,Padme G8 JKA G9 Ahsoka G9 GK GMY
Good E2 Shoes,285356599,60,28,32,97038,Padme G12 JKA G11 Ahsoka G12 GK G12 GMY G11
GunnyThePunisher,649558943,42,4,38,80283,Padme G8 JKA G11 6* Ahsoka G11 GK G10 GMY G12
CaptainDragonborn,826827254,45,13,32,86565,Padme G12 JKA G11 Ahsoka G12 GK G12 GMY G11
Cha22y,761457315,84,45,39,77355,Padme G13 JKA G11 6* Ahsoka G12 GK G13 GMY G2
JustDoc,686415836,23,8,15,112825,Padme R3 JKA R3 Ahsoka R3 GK R3 GMY G11
Taco Truck,229327364,43,0,43,77189,Padme G8 JKA G12 Ahsoka G12 GK G8 GMY G7
DeathTheHorseman,256289912,7,0,7,124365,Padme JKA Ahsoka GK GMY G11
Aria Curran,677768696,85,0,85,6165,Padme G0 0* JKA G4 2* Ahsoka G1 GK G0 0* GMY G0 0*
Qef Tser,718614175,30,4,26,97612,Padme G9 JKA R3 Ahsoka G12 GK R3 GMY G11
Rice Powered,218278765,70,36,34,89468,Padme G12 JKA G10 5* Ahsoka G8 GK G12 GMY R1
Melion77,934943462,2,0,2,131552,Padme JKA Ahsoka GK GMY R3
Gutzag,714942936,35,0,35,92782,Padme G11 JKA G11 Ahsoka G11 GK G11 GMY G11
NameDoesntMatter,766675264,29,5,24,107408,Padme G12 JKA Ahsoka G12 GK G12 GMY G12
Trebbih,282656945,72,0,72,22466,Padme G1 5* JKA G8 5* Ahsoka G8 GK G1 GMY G0 0*
Akatosh,485165597,0,0,0,160291,Padme JKA Ahsoka GK GMY
Wacky Wookiee,153559257,42,7,35,90481,Padme G12 JKA G11 Ahsoka G10 GK G10 GMY G12
