Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
IKEA,382247489,33,1,32,EP: EP G10 Mara Jade, The Emperor's Hand G3 Vader Thrawn G11 Malak R3
IKEA,382247489,26,5,21,CLS: CLS C-3PO G12 Han R2 Chewbacca R1 Chewpio G10
lnquisitor Maze,993878581,0,0,0,Troopers: Veers Piett Dark Trooper Range Trooper Starck
lnquisitor Maze,993878581,31,4,27,EP: EP Mara Jade, The Emperor's Hand G7 4* Vader Thrawn G12 Shoretrooper G8
lnquisitor Maze,993878581,46,1,45,Padme/BB: Padme G12 Hunter G8 5* Echo G8 4* Tech G8 4* Wrecker G9
GunnyThePunisher,649558943,6,6,0,CLS: CLS C-3PO Han Chewbacca Chewpio
GunnyThePunisher,649558943,18,10,8,JMLS: JMLS JKL JKR R3 GMY G12 HYoda
GunnyThePunisher,649558943,25,1,24,EP: EP Mara Jade, The Emperor's Hand G8 4* Vader Thrawn G12 Malak G10
Bischmarck,828268378,25,0,25,CLS: CLS R1 C-3PO G12 Han R1 Chewbacca R1 Chewpio G11
Bischmarck,828268378,47,0,47,Troopers: Veers G8 Piett G9 Dark Trooper G11 Range Trooper G7 Gideon G8
MINI ASplendidJedi,455414534,49,20,29,CLS: CLS G12 C-3PO Han G11 Chewbacca G10 Chewpio G10
Dan,359935949,18,16,2,CLS: CLS R3 C-3PO Han Chewbacca Chewpio
Dan,359935949,43,3,40,Troopers: Veers G12 Piett G10 Dark Trooper G9 Range Trooper G8 Gideon G11
Geovo,896122332,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Geovo,896122332,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Geovo,896122332,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Geovo,896122332,13,9,4,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn R2 Malak R4
Geovo,896122332,47,38,9,Troopers: Veers R3 Piett Dark Trooper R3 Range Trooper R2 Gideon R3
Geovo,896122332,44,4,40,Padme/BB: Padme Hunter G8 Echo G8 Tech G8 Wrecker G8
Melion77,934943462,25,2,23,EP: EP G12 Mara Jade, The Emperor's Hand G11 6* Vader Thrawn G10 Malak R3
Melion77,934943462,28,4,24,CLS: CLS R3 C-3PO G12 Han G12 Chewbacca R3 Chewpio G10 6*
Dark Baszko,935436975,23,3,20,CLS: CLS G12 C-3PO Han R3 Chewbacca G12 Chewpio G12
Mol Eliza,656773532,13,4,9,EP: EP Mara Jade, The Emperor's Hand G11 Vader Thrawn RG R3
Mol Eliza,656773532,22,4,18,Troopers: Veers R3 Piett Dark Trooper G11 Range Trooper G11 Starck R3
Mol Eliza,656773532,32,2,30,CLS: CLS G12 C-3PO G12 Han G12 Chewbacca G12 Chewpio G12
Mol Eliza,656773532,43,2,41,Padme/BB: Padme G10 Hunter G10 5* Echo G10 5* Tech G10 5* Wrecker G9
Rumdogg,118697339,12,0,12,CLS: CLS C-3PO G12 Han Chewbacca Chewpio G12
Cha22y,761457315,36,5,31,EP: EP Mara Jade, The Emperor's Hand G9 4* Vader R1 Thrawn G11 RG G7
Cha22y,761457315,44,13,31,CLS: CLS G12 C-3PO G12 Han G13 Chewbacca G11 5* Chewpio G11 6*
Cha22y,761457315,39,4,35,Troopers: Veers G11 Piett G9 5* Dark Trooper G12 Range Trooper G11 6* Gideon G12
FriedRedMonkey,114279529,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
FriedRedMonkey,114279529,30,14,16,EP: EP G11 Mara Jade, The Emperor's Hand G11 Vader Thrawn R4 Malak R4
FriedRedMonkey,114279529,31,0,31,Troopers: Veers G11 Piett Dark Trooper G11 Range Trooper G9 Starck G10
NameDoesntMatter,766675264,15,7,8,EP: EP Mara Jade, The Emperor's Hand G12 Vader Thrawn RG R3
NameDoesntMatter,766675264,26,1,25,Troopers: Veers R3 Piett Dark Trooper G9 4* Range Trooper G6 5* Starck R3
NameDoesntMatter,766675264,35,4,31,CLS: CLS G12 C-3PO G12 Han G12 Chewbacca G12 Chewpio G11
Thawk,895377488,23,0,23,CLS: CLS R4 C-3PO Han G12 Chewbacca Chewpio G2 5*
Thawk,895377488,26,0,26,Troopers: Veers R3 Piett Dark Trooper G7 5* Range Trooper G7 5* Starck R3
shinykneecaps,311175264,9,0,9,EP: EP Mara Jade, The Emperor's Hand G11 6* Vader Thrawn RG R3
shinykneecaps,311175264,20,0,20,Troopers: Veers R3 Piett Dark Trooper G11 Range Trooper G9 Starck R3
shinykneecaps,311175264,35,1,34,CLS: CLS G12 C-3PO G11 Han G12 Chewbacca G11 Chewpio G10
2Crunchy,244595374,24,1,23,EP: EP Mara Jade, The Emperor's Hand Vader R2 Thrawn G8 Shoretrooper G8 5*
Harry TBE,212311983,15,2,13,EP: EP Mara Jade, The Emperor's Hand G11 Vader Thrawn R1 RG R3
Wacky Wookiee,153559257,18,0,18,EP: EP Mara Jade, The Emperor's Hand G12 Vader Thrawn G12 RG G12
Wacky Wookiee,153559257,46,1,45,Troopers: Veers G10 6* Piett G9 5* Dark Trooper G9 5* Range Trooper G8 5* Gideon G9 5*
SzettyAlt,799913995,18,0,18,EP: EP G11 Mara Jade, The Emperor's Hand Vader Thrawn G7 5* Malak
SzettyAlt,799913995,37,0,37,Troopers: Veers G10 Piett G10 Dark Trooper G12 Range Trooper G9 Gideon G12
SzettyAlt,799913995,39,4,35,CLS: CLS G12 C-3PO G11 5* Han G11 Chewbacca G11 6* Chewpio G10
MrEMustard,916322553,1,0,1,JMLS: JMLS JKL JKR GMY R4 HYoda
MrEMustard,916322553,13,12,1,CLS: CLS R4 C-3PO Han Chewbacca Chewpio
MrEMustard,916322553,23,2,21,Troopers: Veers G12 Piett Dark Trooper Range Trooper G11 Starck G10
MrEMustard,916322553,34,0,34,EP: EP G12 Mara Jade, The Emperor's Hand G7 4* Vader Thrawn G11 Shoretrooper G8
Redaxfive,669472598,26,0,26,EP: EP G12 Mara Jade, The Emperor's Hand G8 6* Vader Thrawn G8 Malak
Redaxfive,669472598,32,6,26,CLS: CLS R3 C-3PO G12 Han G12 Chewbacca G12 Chewpio G12
Algech Algolgomel,359156156,29,4,25,CLS: CLS R1 C-3PO G12 Han R2 Chewbacca R1 Chewpio G10 5*
Algech Algolgomel,359156156,45,5,40,Troopers: Veers G11 Piett G11 5* Dark Trooper G10 5* Range Trooper G9 5* Gideon G9
CaptainDragonborn,826827254,36,3,33,CLS: CLS G12 C-3PO G11 Han G12 Chewbacca G12 Chewpio G10 5*
Good E2 Shoes,285356599,31,8,23,EP: EP Mara Jade, The Emperor's Hand G9 Vader Thrawn G12 RG G10
Good E2 Shoes,285356599,30,10,20,CLS: CLS R3 C-3PO R3 Han G12 Chewbacca R3 Chewpio G10
Soojalembene,878522874,8,1,7,EP: EP Mara Jade, The Emperor's Hand G11 Vader Thrawn Malak
Soojalembene,878522874,18,1,17,CLS: CLS C-3PO G13 Han R1 Chewbacca R1 Chewpio R1
Soojalembene,878522874,18,6,12,Troopers: Veers R3 Piett Dark Trooper R4 Range Trooper R1 Gideon G13
Sidrial,348549185,7,0,7,EP: EP Mara Jade, The Emperor's Hand G11 4* Vader Thrawn Malak
Sidrial,348549185,9,3,6,Troopers: Veers Piett Dark Trooper Range Trooper G12 Starck
Sidrial,348549185,10,0,10,CLS: CLS R4 C-3PO G12 Han R4 Chewbacca R3 Chewpio
Da Beetle,772984483,29,1,28,EP: EP G11 Mara Jade, The Emperor's Hand G11 4* Vader Thrawn G10 Malak G12
Da Beetle,772984483,42,1,41,CLS: CLS G12 C-3PO G12 Han G8 Chewbacca G9 Chewpio G8
Rice Powered,218278765,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Rice Powered,218278765,38,7,31,EP: EP G12 Mara Jade, The Emperor's Hand G11 5* Vader Thrawn G12 RG G6
BlackKobra77,495911322,27,2,25,EP: EP Mara Jade, The Emperor's Hand G9 Vader Thrawn G12 RG G8
BlackKobra77,495911322,43,7,36,Troopers: Veers G12 Piett G10 Dark Trooper G12 Range Trooper G9 6* Gideon G11
JediLukeSkywalker,548318682,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
JediLukeSkywalker,548318682,9,1,8,EP: EP Mara Jade, The Emperor's Hand G12 Vader Thrawn Shoretrooper R3
Chris The Gràpe,382697645,4,3,1,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R4
Chris The Gràpe,382697645,18,7,11,Troopers: Veers R3 Piett Dark Trooper R3 Range Trooper G11 6* Gideon
Gutzag,714942936,14,14,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Gutzag,714942936,46,6,40,Troopers: Veers G11 6* Piett G11 5* Dark Trooper G9 5* Range Trooper G9 5* Starck G10
Kanon reloaded,236126683,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Kanon reloaded,236126683,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Kanon reloaded,236126683,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Kanon reloaded,236126683,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Kanon reloaded,236126683,0,0,0,Troopers: Veers Piett Dark Trooper Range Trooper Gideon
Kanon reloaded,236126683,6,6,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Shart69,662285822,24,0,24,CLS: CLS R3 C-3PO G12 Han G13 Chewbacca G13 Chewpio G12
Marren,269783355,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Marren,269783355,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Marren,269783355,12,10,2,EP: EP Mara Jade, The Emperor's Hand R3 Vader Thrawn Malak
Marren,269783355,33,24,9,Troopers: Veers Piett Dark Trooper Range Trooper G11 6* Gideon R3
DarthBrosaur,291658232,22,7,15,EP: EP Mara Jade, The Emperor's Hand R3 Vader R4 Thrawn G12 Malak G12
DarthBrosaur,291658232,36,1,35,CLS: CLS R3 C-3PO G8 Han R1 Chewbacca G9 Chewpio G8 6*
DarthBrosaur,291658232,45,4,41,Troopers: Veers G8 Piett G8 Dark Trooper G10 6* Range Trooper G11 Gideon G12
Zenithier,443596224,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Zenithier,443596224,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Zenithier,443596224,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Zenithier,443596224,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Zenithier,443596224,22,2,20,Troopers: Veers R3 Piett Dark Trooper G11 Range Trooper G9 Starck R3
