Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Soojalembene,878522874,89,74,15,118316,Shaak Ti G9 Fives Rex R3 Echo (501st) R3 ARC Trooper R3
Harry TBE,212311983,64,16,48,70751,Shaak Ti G9 Fives G12 Rex G12 Echo (501st) G8 ARC Trooper G1
Ronin Khael,633311685,69,47,22,109511,Shaak Ti G12 Fives R2 Rex R1 Echo (501st) R2 ARC Trooper G12
Marren,269783355,83,81,2,144361,Shaak Ti R3 Fives Rex Echo (501st) ARC Trooper
Sidrial,348549185,25,9,16,117717,Shaak Ti G12 Fives R4 Rex R4 Echo (501st) R3 ARC Trooper G12
DarthBrosaur,291658232,50,4,46,72128,Shaak Ti G8 Fives G9 Rex G11 Echo (501st) G8 ARC Trooper G8
Rice Powered,218278765,81,0,81,16671,Shaak Ti G1 4* Fives G1 5* Rex G6 Echo (501st) G1 5* ARC Trooper G0 0*
J3d1 Wampa,233129389,89,30,59,53115,Shaak Ti G8 Fives G8 Rex G8 Echo (501st) G7 ARC Trooper G0 0*
SniperLord,736453491,53,53,0,138869,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Dan,359935949,87,81,6,128448,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
ISB Coøkie,917286274,44,26,18,110865,Shaak Ti R3 Fives R3 Rex R3 Echo (501st) G12 ARC Trooper G12
Thawk,895377488,62,43,19,116043,Shaak Ti R4 Fives Rex G12 Echo (501st) G12 ARC Trooper G12
Bischmarck,828268378,79,58,21,103932,Shaak Ti Fives R3 Rex G12 Echo (501st) G11 ARC Trooper G12
Redaxfive,669472598,45,17,28,108176,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G8
Da Beetle,772984483,76,64,12,121940,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper G12
MrEMustard,916322553,65,0,65,34667,Shaak Ti G1 5* Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
lnquisitor Maze,993878581,18,18,0,129128,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Kanon reloaded,236126683,0,0,0,155614,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Shart69,662285822,34,20,14,118725,Shaak Ti G12 Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
liam3265,578656337,78,15,63,31322,Shaak Ti G7 3* Fives G6 Rex G7 Echo (501st) G7 ARC Trooper G0 0*
BlackKobra77,495911322,65,10,55,53080,Shaak Ti G8 Fives G10 Rex G8 Echo (501st) G9 ARC Trooper G0 0*
MINI ASplendidJedi,455414534,88,74,14,121267,Shaak Ti Fives G13 Rex Echo (501st) R2 ARC Trooper G12
Jamesss,932183454,6,6,0,137670,Shaak Ti Fives Rex Echo (501st) ARC Trooper
