Player,Offense,Defense,GP,Name,Squad,Viable
"Gøłubøwski",,,174405,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Gøłubøwski",,,140157,SK,"zzEP zzMara Jade, The Emperor's Hand, zzStarkiller zJuhani zVisas",1
"Gøłubøwski",1,1,159546,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn",1
"Gøłubøwski",0,1,115805,Qira,"zQira zL3-37 zVandor Chewbacca, zMission zZaalbar",1
"Gøłubøwski",1,1,106856,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Gøłubøwski",,,632760,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Gauntlet Starfighter, Tie Adv",1
"Gøłubøwski",1,0,153103,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Gøłubøwski",,,159321,JMLS,"zzzzzzJMLS zzJKL zzHYoda Old Ben, zEzra",1
"Gøłubøwski",0,1,104494,DRMalak,"zzzDR HK-47 zBSF zzMalak Sith Assassin G8",1
"Gøłubøwski",,,511652,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Gøłubøwski",,,316041,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Gøłubøwski",,,547491,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Biggs X-wing",1
"Gøłubøwski",1,1,120365,JTR,"zzzJTR zzR2-D2 zzBB-8 RH Finn G9, RH Poe G9",1
"Gøłubøwski",0,1,97142,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Gøłubøwski",0,1,124529,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Gøłubøwski",,,120600,Mon Mothma,"zzMon Mothma, zPao Bistan zCara Dune, Hoth Rebel Scout",1
"Gøłubøwski",,,159328,Disintegration,"zzAurra zzGreef zBoba zzBossk zzThe Mandalorian",1
"Gøłubøwski",1,1,134093,Revan Offense,"zzzJKR zGMY zBS zJolee zJKA",1
"Gøłubøwski",1,1,88556,Ewoks,"zChirpa G9, Elder zPaploo zWicket zLogray",1
"Gøłubøwski",1,0,150409,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Gøłubøwski",0,1,154849,BH,"zzJango zZam zBoba Fett, Scion of Jango, zDengar Cad",1
"Gøłubøwski",1,0,117147,Troopers,"zVeers zStarck zDark Trooper, zIden Versio, zzPiett",1
"Gøłubøwski",0,1,127101,Phoenix,"zHera Chopper zSabine zZeb zKanan",1
"Gøłubøwski",1,1,111366,Rogue1,"zJyn Chirrut G8, Baze G8, zCassian zK-2SO",1
"Gøłubøwski",1,0,87924,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"Gøłubøwski",1,0,19207,NestSolo (Counter),"zNest",1
"Gøłubøwski",1,0,14812,SionSolo (Counter),"Sion G8",1
"Gøłubøwski",,,123312,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",0
"Gøłubøwski",,,92284,Bad Batch,"zHunter zEcho zzOmega G8, zTech zWrecker G9",0
"Rebel Leader",,,169355,JMK,"zzzzzzJMK zJKA zzGMY zzShaak Ti, zGK",1
"Rebel Leader",1,1,164250,GL Rey,"zzzzzzRey zzzJTR zzBB-8 zRH Poe, zRH Finn",1
"Rebel Leader",,,172486,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Rebel Leader",1,0,146367,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Rebel Leader",0,1,118358,DRMalak,"zzzDR zHK-47 zBSF zzMalak Sith Empire Trooper",1
"Rebel Leader",,,505467,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing, Clone Sergeant's ARC-170, Plo's SF",1
"Rebel Leader",,,310102,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
