Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"MariusMD",374353155,7889414,4604219,3285195,140,31,299,390,2518749,2077832,207,7,462,4,253,62,91,125,148,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,22,8,10
"Ruske",382994679,8297342,4754655,3542687,134,36,421,535,2606409,2140077,179,8,761,5,252,116,142,150,162,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,23,8,9
"Teron",398271139,5865613,3298766,2566847,128,-10,306,378,1770788,1523802,89,6,381,2,204,55,66,80,95,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,13,5,4
"Sarith LeKit",239322449,7229765,4386792,2842973,154,79,486,464,2456009,1930783,180,4,543,4,243,79,102,125,151,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,23,11,10
"Gelbatron",751645243,9211242,5454972,3756270,145,14,400,530,2963025,2488115,233,7,736,6,285,96,160,181,196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,28,10,11
"MasterDebater",981731283,6362680,3691168,2671512,138,-153,391,451,1852156,1839012,134,7,485,3,216,74,91,99,123,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,21,9,9
"Crni Djordje",422439755,7816526,4338744,3477782,124,-32,265,388,2308046,2030022,163,9,455,3,261,54,96,117,144,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,23,9,11
"Kolibri",985766812,9703774,5897958,3805816,154,-21,453,595,3136447,2729203,235,6,1010,7,293,160,178,198,218,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,11,11
"MINI Echo",616729197,7903575,4740928,3162647,149,65,240,410,2631454,2099496,161,10,516,4,247,80,99,122,174,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,25,10,12
"Gøłubøwski",823226235,9155243,5423832,3731411,145,68,492,482,3003604,2387875,213,7,733,3,288,102,132,163,195,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,27,12,12
"MINIdanilo",411311174,6642688,3953577,2689111,147,-49,216,357,2081386,1863602,167,8,384,3,219,52,68,93,117,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,15,7,6
"Duda",331626844,8822744,5218327,3604417,144,-119,451,510,2657131,2551601,188,6,761,6,277,111,138,160,178,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,25,10,10
"Mini LilaBear",664217682,6296990,3716217,2580773,143,53,314,434,2053120,1657813,102,5,463,3,212,63,84,97,110,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,18,7,6
"Vukan",523373391,8835291,5271339,3563952,147,-29,425,464,2799034,2455144,234,7,604,4,282,78,119,171,190,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,28,10,11
"Deexon",856353991,8056085,4730487,3325598,142,35,289,418,2591015,2129919,170,7,525,4,255,72,103,129,148,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,22,9,10
"Vladan",473191379,7532720,4563446,2969274,153,-42,524,502,2410571,2142629,177,4,639,5,243,90,118,133,150,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,21,8,7
"Petric",454569125,9871955,5894933,3977022,148,-12,458,603,3150412,2717452,181,8,998,7,294,134,188,208,227,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,10,10
"Gojko22",463392637,7427841,4381525,3046316,143,6,325,394,2371258,2006007,158,6,435,3,250,57,89,117,148,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,27,13,11
"Urke",655432856,7695520,4549777,3145743,144,146,365,446,2621950,1927151,177,3,538,5,258,72,104,132,160,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,22,10,9
"Ross",584911256,7209627,4143463,3066164,135,103,229,492,2344264,1799199,159,5,549,5,226,73,106,139,150,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,22,9,9
"Djape15mp",339442767,7833469,4522291,3311178,136,-86,387,492,2345045,2176570,178,9,630,4,233,88,120,140,156,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,23,8,8
"wastedyugoyouth",833546296,7933230,4641734,3291496,141,-73,360,463,2422307,2219427,193,8,584,4,262,82,115,136,161,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,23,9,10
"DarthRevan0903",231265213,7117951,4330125,2787826,155,-163,193,498,2161357,2166118,161,9,608,4,232,89,109,124,144,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,19,8,8
"Igor",819674926,8254085,4852519,3401566,142,0,506,456,2620658,2231185,200,6,583,6,277,82,109,151,179,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,25,10,12
"Yakface",126215124,5994601,3496522,2498079,139,-69,303,382,1824114,1665778,110,3,347,2,225,48,72,88,109,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,21,9,8
"Wuchur",785833396,7394731,4357401,3037330,143,-106,288,418,2232137,2114508,187,7,481,5,242,67,96,117,149,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,22,9,10
"Bobans",677114348,7710371,4525724,3184647,142,4,155,449,2446452,2075156,197,7,516,5,249,69,103,140,156,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,26,12,11
"Rebel Leader",264975884,7008507,3987766,3020741,132,255,213,378,2405528,1579877,147,4,375,3,243,55,82,108,130,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,23,10,10
"Arquangle Maqulas",297159885,8028037,4723529,3304508,142,29,123,400,2580070,2133210,176,9,471,4,254,60,101,126,158,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,24,10,11
"nebojsa",557652299,7297896,4394828,2903068,151,-159,245,495,2196376,2193892,185,8,573,5,240,74,119,128,144,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,19,8,9
"gaara",967744726,6762338,4017104,2745234,146,65,460,492,2234894,1782210,163,3,505,5,222,67,102,130,147,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,17,7,8
"Zipmiler",819529176,6054274,3481695,2572579,135,-147,348,425,1750072,1726967,115,4,402,3,233,53,80,97,112,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,17,7,6
"Mileta",494653912,7644123,4412539,3231584,136,131,306,429,2527381,1885158,187,5,507,4,243,68,95,132,149,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,21,9,8
"JonSnow",414914173,7838231,4508484,3329747,135,201,312,428,2659874,1847934,194,4,545,4,256,83,100,127,154,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,22,11,9
"MINI Baraba 357 glok",198649618,8674486,5076007,3598479,141,98,368,453,2865423,2209908,208,4,622,5,277,93,114,155,187,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,25,11,10
"Jekka",863475437,7993274,4798599,3194675,150,66,276,498,2670938,2127661,182,2,622,6,258,88,121,153,181,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,26,10,10
