Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
AlTor,447124628,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
AlTor,447124628,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
AlTor,447124628,0,0,0,JKL + JML (6%): JKL JMLS JKR BS Old Ben
AlTor,447124628,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
AlTor,447124628,0,0,0,SEE P1 5%: SEE Malak Darth Talon Vader Sith Marauder
AlTor,447124628,0,0,0,Seps (1%): Dooku Jango AV Nute GG
AlTor,447124628,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Crni Djordje,422439755,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Crni Djordje,422439755,5,5,0,JMK (8%): JMK GK Ahsoka CAT GAS
Crni Djordje,422439755,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Urke,655432856,0,0,0,JKL + JML (6%): JKL JMLS Shaak Ti GMY Old Ben
Urke,655432856,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Urke,655432856,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Urke,655432856,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Bobans,677114348,1,1,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Bobans,677114348,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Dooku DR
Bobans,677114348,1,1,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Bobans,677114348,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
Bobans,677114348,6,6,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Bobans,677114348,0,0,0,JKL + JML (6%): JKL JMLS JKA HYoda Old Ben
MINIdanilo,411311174,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
