Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
dok,667433177,5,4,1,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper
dok,667433177,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
dok,667433177,0,0,0,Dooku+Asajj: Dooku AV
dok,667433177,1,1,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Igor,819674926,3,2,1,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper
Igor,819674926,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Igor,819674926,0,0,0,Dooku+Asajj: Dooku AV
Igor,819674926,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Mini LilaBear,664217682,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Mini LilaBear,664217682,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Mini LilaBear,664217682,5,2,3,Dooku+Asajj: Dooku G9 AV
lukasarts2011,377249233,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
lukasarts2011,377249233,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
lukasarts2011,377249233,0,0,0,Dooku+Asajj: Dooku AV
lukasarts2011,377249233,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Wuchur,785833396,1,0,1,Grievous: GG B2 G11 B1 Nute MagnaGuard
Wuchur,785833396,0,0,0,Dooku+Asajj: Dooku AV
Wuchur,785833396,9,0,9,Geos: GBA G10 Poggle G11 Geo Soldier G11 Sun Fac G8 Geo Spy G11
gaara,967744726,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
gaara,967744726,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
gaara,967744726,0,0,0,Dooku+Asajj: Dooku AV
Deexon,856353991,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Deexon,856353991,0,0,0,Dooku+Asajj: Dooku AV
Deexon,856353991,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Deexon,856353991,3,0,3,Troopers: Veers Piett Starck Dark Trooper G9 6* Range Trooper
Vukan,523373391,1,1,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Vukan,523373391,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Vukan,523373391,0,0,0,Dooku+Asajj: Dooku AV
Vukan,523373391,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Arquangle Maqulas,297159885,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Arquangle Maqulas,297159885,0,0,0,Dooku+Asajj: Dooku AV
Arquangle Maqulas,297159885,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Arquangle Maqulas,297159885,5,1,4,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper G11
MaulsLegs,944762455,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
MaulsLegs,944762455,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
MaulsLegs,944762455,0,0,0,Dooku+Asajj: Dooku AV
MaulsLegs,944762455,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Mileta,494653912,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Mileta,494653912,0,0,0,Dooku+Asajj: Dooku AV
Mileta,494653912,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Mileta,494653912,3,0,3,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper
Bobans,677114348,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Bobans,677114348,0,0,0,Dooku+Asajj: Dooku AV
Bobans,677114348,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Gelbatron,751645243,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Gelbatron,751645243,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Gelbatron,751645243,0,0,0,Dooku+Asajj: Dooku AV
Gelbatron,751645243,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
MINI Echo,616729197,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
MINI Echo,616729197,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
MINI Echo,616729197,0,0,0,Dooku+Asajj: Dooku AV
MINI Echo,616729197,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Djape15mp,339442767,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Djape15mp,339442767,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Djape15mp,339442767,0,0,0,Dooku+Asajj: Dooku AV
Djape15mp,339442767,1,0,1,Geos: GBA G11 Poggle Geo Soldier Sun Fac Geo Spy
JonSnow,414914173,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
JonSnow,414914173,0,0,0,Dooku+Asajj: Dooku AV
JonSnow,414914173,5,0,5,Geos: GBA G11 Poggle Geo Soldier Sun Fac G9 Geo Spy G11
Urke,655432856,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Urke,655432856,0,0,0,Dooku+Asajj: Dooku AV
Urke,655432856,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Urke,655432856,10,2,8,Troopers: Veers Piett Gideon Dark Trooper Range Trooper G4
MariusMD,374353155,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
MariusMD,374353155,0,0,0,Dooku+Asajj: Dooku AV
MariusMD,374353155,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
MariusMD,374353155,15,2,13,Troopers: Veers Piett Starck Dark Trooper G7 5* Range Trooper G4 6*
dart vejder,281271544,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
dart vejder,281271544,0,0,0,Dooku+Asajj: Dooku AV
dart vejder,281271544,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ruske,382994679,10,10,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Ruske,382994679,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Ruske,382994679,0,0,0,Dooku+Asajj: Dooku AV
Ruske,382994679,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
