Player,Offense,Defense,GP,Name,Squad,Viable
"Mol Dizzler",,,121209,Phasma,"zPhasma zFOTP FOSFTP FOST zKylo",1
"Mol Dizzler",1,1,149350,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn",1
"Mol Dizzler",1,0,131434,CLS,"zzzCLS zHan zzChewbacca zC-3PO zChewpio",1
"Mol Dizzler",,,337670,HansMF,"Home One, Han's MF, HT Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Mol Dizzler",0,1,111725,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Mol Dizzler",1,1,103671,JTR,"zJTR Scav Rey, zBB-8 R2-D2 Finn",1
"Mol Dizzler",1,1,142532,Revan,"zzzJKR BS zGMY zJolee zGK",1
"Mol Dizzler",1,1,88424,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Mol Dizzler",1,1,85185,Carth,"Carth Onasi, Mission Zaalbar Juhani G9, Canderous",1
"Mol Dizzler",0,1,107126,BH,"zzBossk The Mandalorian, zJango Boba Cad",1
"Mol Dizzler",1,1,119971,zEP,"zzEP zzzVader Tarkin TFP G8, zMara Jade, The Emperor's Hand",1
"Mol Dizzler",0,1,75392,Phoenix,"Hera Zeb G9, Kanan G8, Ezra Chopper G9",1
"Mol Dizzler",1,0,18714,SionSolo (Counter),"Sion",1
"Mol Dizzler",0,1,65045,Grievous,"zGG B2 G1, Dooku G8, IG-88 G8, T3-M4",0
"Mol Dizzler",1,1,61719,NS,"MT G8, AV Daka G9, Zombie G5, Spirit G8",0
"Mol Dizzler",1,0,70840,ShaakClones,"zzShaak Ti G9, Rex Echo (501st) G8, Fives G9, Clone Sergeant G8",0
"Mol Dizzler",1,1,44611,Rogue1,"Jyn 5* G8, Chirrut G8, Baze 5* G8, K-2SO G8, Cassian G8",0
"Mol Dizzler",1,0,50303,Jawas,"Nebit G2, Jawa Engineer G2, Jawa Scavenger G1, Jawa G7, Dathcha G7",0
"Agent 47",,,128135,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Agent 47",1,1,163903,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Agent 47",0,1,97227,padme,"zPadme GK zJKA zAhsoka C-3PO",1
"Agent 47",1,1,93573,NS_Alt,"zMT zzAV Zombie zDaka Talia",1
"Agent 47",,,434975,HansMF,"Home One, Han's MF, HT Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Agent 47",0,1,90560,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Agent 47",1,1,112064,JTR,"zzzJTR zScav Rey, zzBB-8 zzR2-D2 zFinn",1
"Agent 47",1,0,110016,Troopers,"zVeers zzPiett zGideon zDark Trooper, Range Trooper",1
"Agent 47",,,95707,Nute-OR,"zNute zDooku Jango zZaalbar zMission",1
"Agent 47",1,1,115471,Revan Offense,"zzzJKR GMY zBS zJolee zEzra",1
"Agent 47",1,1,93175,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
