Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Nerf,671247743,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Jeff29,946424347,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Jeff29,946424347,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Jeff29,946424347,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Towanda,193932966,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Vader EP
Towanda,193932966,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Dannycool1987,757793912,0,0,0,SEE P1 5%: SEE Malak Sith Marauder DR Vader
Bintbelas,649891482,8,8,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Loinky,121774218,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Ben Swolo,241341723,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Ben Swolo,241341723,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Zimphire,671265526,18,18,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Bdogg,696355599,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
DaleIV,596181122,19,19,0,Padme 3%: Padme JKA GK Ahsoka CAT
BattleSchlong,588512957,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Gobo,725511482,7,7,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Jaxximus,786713976,32,32,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jaxximus,786713976,9,9,0,Padme 3%: Padme JKA GK Ahsoka GMY
BenHanSolo,833437735,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Skinwalker,366878499,0,0,0,JKL + JML (6%): JKL JMLS Shaak Ti HYoda Old Ben
Skinwalker,366878499,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Mol Dizzler,286229792,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Darthobiwan84,969195991,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Darthobiwan84,969195991,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Ghent Sinite,722474735,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Ghent Sinite,722474735,14,14,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
