Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
EasilyZeroed,238627762,7,7,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
EasilyZeroed,238627762,5,0,5,Dooku+Asajj: Dooku G10 AV G9
Mol Dizzler,286229792,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Mol Dizzler,286229792,5,1,4,Dooku+Asajj: Dooku G8 AV
Agent 47,918148185,5,5,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Agent 47,918148185,0,0,0,Dooku+Asajj: Dooku AV
Agent 47,918148185,16,1,15,Grievous: GG G8 6* B2 G9 B1 G8 Nute MagnaGuard G8
Agent 47,918148185,3,0,3,Geos: GBA Poggle Geo Soldier G11 Sun Fac G11 Geo Spy G11
Ru Baruba Maral,441497244,0,0,0,Dooku+Asajj: Dooku AV
Ru Baruba Maral,441497244,20,20,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Ru Baruba Maral,441497244,14,11,3,Grievous: GG G10 B2 G11 B1 Nute MagnaGuard
Towanda,193932966,14,14,0,Grievous: GG B2 B1 Droideka MagnaGuard
Towanda,193932966,1,1,0,Dooku+Asajj: Dooku AV
Towanda,193932966,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Towanda,193932966,10,0,10,Troopers: Veers Piett Starck Dark Trooper G8 4* Range Trooper G6 5*
DaleIV,596181122,16,16,0,Grievous: GG B2 B1 Droideka MagnaGuard
DaleIV,596181122,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DaleIV,596181122,0,0,0,Dooku+Asajj: Dooku AV
predator159,746531619,0,0,0,Dooku+Asajj: Dooku AV
predator159,746531619,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
predator159,746531619,16,0,16,Grievous: GG G8 B2 G8 B1 G11 Nute G8 MagnaGuard G9
predator159,746531619,11,0,11,Troopers: Veers Piett G10 Starck G10 Dark Trooper G9 6* Range Trooper G8
Slanted eyes,422784646,0,0,0,Dooku+Asajj: Dooku AV
Slanted eyes,422784646,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Slanted eyes,422784646,19,1,18,Grievous: GG G8 B2 G7 B1 G11 Nute G8 MagnaGuard G8
Cranjis McBasketball,495874361,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Cranjis McBasketball,495874361,11,8,3,Troopers: Veers Piett G11 6* Starck Dark Trooper G11 5* Range Trooper G11 4*
Cranjis McBasketball,495874361,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
Zoooolwik,498113457,20,20,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Zoooolwik,498113457,16,9,7,Dooku+Asajj: Dooku G8 AV G9
Jaxximus,786713976,11,11,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Jaxximus,786713976,5,5,0,Grievous: GG B2 B1 Droideka MagnaGuard
Jaxximus,786713976,6,3,3,Dooku+Asajj: Dooku G9 AV
Loinky,121774218,8,0,8,Troopers: Veers G11 Piett G10 5* Starck G11 Dark Trooper G11 6* Range Trooper G9 5*
Loinky,121774218,12,0,12,Dooku+Asajj: Dooku G8 5* AV G4 3*
Loinky,121774218,13,0,13,Geos: GBA G10 Poggle G10 Geo Soldier G9 Sun Fac G8 Geo Spy G10
BassOdin,976321971,0,0,0,Dooku+Asajj: Dooku AV
BassOdin,976321971,1,1,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
BassOdin,976321971,7,6,1,Troopers: Veers Piett Gideon Dark Trooper Range Trooper G11 6*
Shaun,434694638,5,3,2,Dooku+Asajj: Dooku G11 AV G11
Shaun,434694638,2,1,1,Geos: GBA Poggle Geo Soldier Sun Fac G11 Geo Spy
Nerf,671247743,12,12,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Nerf,671247743,20,0,20,Troopers: Veers G9 6* Piett G8 5* Starck G5 5* Dark Trooper G9 4* Range Trooper G9 5*
Nerf,671247743,16,0,16,Grievous: GG G9 B2 G8 5* B1 G8 3* Nute G9 MagnaGuard G10 6*
Nerf,671247743,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
DarthCicatrices,178613736,4,1,3,Dooku+Asajj: Dooku AV G9
DarthCicatrices,178613736,20,12,8,Geos: GBA G11 5* Poggle G11 Geo Soldier G11 Sun Fac G8 Geo Spy G11
Zeno,941924214,9,7,2,Grievous: GG B2 B1 G11 3* Droideka G11 MagnaGuard
Zeno,941924214,17,1,16,Troopers: Veers G9 5* Piett G9 3* Gideon G9 5* Dark Trooper G9 2* Range Trooper G8 4*
Zeno,941924214,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
Zeno,941924214,3,1,2,Geos: GBA G11 Poggle Geo Soldier Sun Fac G11 Geo Spy
victorim,562154933,9,9,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
victorim,562154933,8,0,8,Dooku+Asajj: Dooku G8 6* AV G8
