Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Skinwalker,366878499,56,56,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
DobieWanKenobi,351752364,32,32,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
Dannycool1987,757793912,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber 6* JKA Thrawn Tarkin Veers Starck
Dannycool1987,757793912,59,33,26,Rey: JTR R2-D2 C-3PO 0* BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo G9 4* Rose G8 3* RH Poe RH Finn G11 5*
Agent 47,918148185,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 6*
Mol Dizzler,286229792,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
Mol Dizzler,286229792,58,0,58,Rey: JTR R1 R2-D2 C-3PO BB-8 R1 RT R1 Scav Rey R1 Finn R1 Poe R1 Vet Chewbacca R1 Vet Han Resistance Pilot R1 Holdo G12 Rose G11 4* RH Poe G11 6* RH Finn R1
BenHanSolo,833437735,45,45,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 6*
Ghent Sinite,722474735,58,3,55,Jedi Master Luke Skywalker: Old Ben R1 JTR R1 C-3PO Mon Mothma G8 Chewpio JKL G11 R2-D2 G12 Han Chewbacca R5 Rebel Y-wing Leia G12 HYoda R3 Wedge G11 Biggs G12 Lando R3
Ghent Sinite,722474735,54,48,6,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor R5 MagnaGuard Clone Sergeant QGJ GMY R5 Jango Shaak Ti R6 Cad Cody
