Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
O iTz LuCaS x,985738122,2,0,2,133370,Padme JKA Ahsoka GK GMY R3
Ru Baruba Maral,441497244,31,22,9,126200,Padme R3 JKA R4 Ahsoka R3 GK R3 GMY R3
Dannycool1987,757793912,29,1,28,96947,Padme G7 5* JKA Ahsoka G12 GK G8 GMY R4
Jeff29,946424347,24,23,1,145176,Padme JKA Ahsoka GK R4 GMY
Shaun,434694638,47,11,36,90197,Padme G9 JKA G12 Ahsoka G12 GK G9 GMY G12
Barfolomew,745245749,37,6,31,97019,Padme G10 JKA G11 Ahsoka G9 GK G11 GMY
Slanted eyes,422784646,36,17,19,113266,Padme G9 JKA G12 Ahsoka GK R1 GMY
predator159,746531619,5,0,5,131021,Padme R4 JKA R4 Ahsoka R3 GK R4 GMY
BassOdin,976321971,50,7,43,78781,Padme G7 JKA Ahsoka G8 GK G8 GMY G6
Skinwalker,366878499,12,1,11,124412,Padme R2 JKA R2 Ahsoka R3 GK GMY R2
Chance Stryker,672569894,48,0,48,67751,Padme G2 JKA G8 5* Ahsoka G11 GK G9 GMY G12
MINIGoody,566753157,37,0,37,91865,Padme G12 JKA G9 Ahsoka G11 GK G9 GMY G12
Kryshoff,336658674,35,0,35,93010,Padme G8 JKA G9 Ahsoka G8 GK G12 GMY
Mr Nuggins,659788619,74,13,61,53750,Padme G2 JKA G1 Ahsoka G8 GK R1 GMY G4
victorim,562154933,32,7,25,110046,Padme G12 JKA G12 Ahsoka G12 GK G11 GMY
EasilyZeroed,238627762,42,18,24,103851,Padme G7 JKA G12 Ahsoka G11 GK GMY
San Holo,292321178,12,3,9,136415,Padme R2 JKA R2 Ahsoka R2 GK GMY
Agent 47,918148185,32,2,30,95479,Padme G12 JKA G12 Ahsoka G12 GK G12 GMY G12
Towanda,193932966,20,14,6,137466,Padme JKA Ahsoka GK GMY G12
TheDougAbides,596963139,34,6,28,101826,Padme G12 JKA G12 Ahsoka G11 GK G11 GMY R3
Mol Dizzler,286229792,9,5,4,139429,Padme JKA Ahsoka R1 GK GMY
BenHanSolo,833437735,5,0,5,127119,Padme R3 JKA R4 Ahsoka R4 GK R4 GMY
MiscountedStitch,185518289,67,16,51,37869,Padme G6 5* JKA G8 5* Ahsoka G9 GK G7 6* GMY G9 6*
DaleIV,596181122,24,18,6,126586,Padme JKA Ahsoka GK GMY G12
MINI Mos Eisley Nerfherder,952233855,7,1,6,127481,Padme JKA Ahsoka GK GMY G12
Rui Vuusen,164853248,56,15,41,69248,Padme G8 JKA R3 Ahsoka G8 GK G8 GMY G9
Jaxximus,786713976,33,33,0,141269,Padme JKA Ahsoka GK GMY
Cranjis McBasketball,495874361,56,9,47,43415,Padme G8 JKA G9 5* Ahsoka G10 GK G7 GMY G9
Ghent Sinite,722474735,2,2,0,145302,Padme JKA Ahsoka GK GMY
QuantumEntropy,288549487,9,0,9,127239,Padme R2 JKA Ahsoka GK GMY G12
Gobo,725511482,74,3,71,32620,Padme G1 JKA G1 5* Ahsoka G4 GK G6 GMY G7
TK 79347,693323998,30,4,26,106458,Padme G12 JKA G11 Ahsoka R4 GK G12 GMY G12
DarthCicatrices,178613736,62,12,50,65378,Padme G7 6* JKA G12 Ahsoka G7 GK G2 GMY G12
Cyprien Saint,511777932,60,14,46,60187,Padme G9 JKA G9 6* Ahsoka G8 GK G8 GMY G10
Darthobiwan84,969195991,21,9,12,123475,Padme JKA G12 Ahsoka G12 GK GMY
Nerf,671247743,50,0,50,55768,Padme G8 JKA G8 5* Ahsoka G9 GK G6 GMY G9
Harry04,338736347,39,6,33,101778,Padme G12 JKA G9 Ahsoka G12 GK G12 GMY G12
Bdogg,696355599,20,6,14,118244,Padme G10 JKA Ahsoka G12 GK GMY
Zeno,941924214,45,0,45,61897,Padme G8 JKA G8 5* Ahsoka G11 GK G7 6* GMY G11
Ezzi,541871135,64,16,48,55868,Padme G7 6* JKA G11 6* Ahsoka G12 GK G0 0* GMY G12
Micah,132927314,74,0,74,13154,Padme G0 0* JKA G8 5* Ahsoka G8 5* GK G0 0* GMY G0 0*
BattleSchlong,588512957,36,1,35,92590,Padme G9 JKA R3 Ahsoka G7 GK R1 GMY G9
Robbieonly,997211383,5,0,5,129434,Padme R4 JKA Ahsoka R3 GK R3 GMY
Zoooolwik,498113457,64,38,26,101291,Padme G11 JKA G12 Ahsoka G12 GK R4 GMY G12
Loinky,121774218,34,0,34,87126,Padme G9 JKA G12 Ahsoka G12 GK G11 GMY G12
Ben Swolo,241341723,67,1,66,50029,Padme G1 JKA G1 4* Ahsoka G10 GK G1 GMY G11
Sephera Saint,531516894,57,43,14,115412,Padme JKA Ahsoka GK G11 6* GMY G11
Zimphire,671265526,20,14,6,141070,Padme JKA G12 Ahsoka GK GMY
Bintbelas,649891482,30,6,24,112803,Padme G12 JKA Ahsoka G12 GK G12 GMY G12
