Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Bintbelas,649891482,25,3,22,EP: EP Mara Jade, The Emperor's Hand G9 4* Vader Thrawn G12 Malak G11 5*
Bintbelas,649891482,39,0,39,CLS: CLS G12 C-3PO G9 Han G11 Chewbacca G11 Chewpio G8
Bintbelas,649891482,46,1,45,Troopers: Veers G11 6* Piett G9 4* Dark Trooper G8 5* Range Trooper G7 5* Starck G10
predator159,746531619,22,1,21,EP: EP Mara Jade, The Emperor's Hand G9 5* Vader R4 Thrawn G9 Malak R3
predator159,746531619,42,0,42,Padme/BB: Padme R4 Hunter G8 5* Echo G8 4* Tech G8 4* Wrecker G7 4*
predator159,746531619,44,3,41,CLS: CLS G9 C-3PO G9 5* Han G12 Chewbacca G9 Chewpio G10 5*
predator159,746531619,44,0,44,Troopers: Veers G12 Piett G8 Dark Trooper G9 6* Range Trooper G8 Gideon G9
Zimphire,671265526,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Zimphire,671265526,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Zimphire,671265526,44,0,44,Troopers: Veers G9 Piett G7 Dark Trooper G11 Range Trooper G8 Gideon G11
Zimphire,671265526,46,0,46,Padme/BB: Padme G12 Hunter G8 5* Echo G8 4* Tech G8 5* Wrecker G8 5*
Slanted eyes,422784646,50,0,50,Padme/BB: Padme G9 Hunter G8 5* Echo G7 5* Tech G9 4* Wrecker G7 4*
Mol Dizzler,286229792,13,0,13,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn R3 RG G7
Mol Dizzler,286229792,10,2,8,CLS: CLS C-3PO R3 Han R3 Chewbacca R3 Chewpio R3
BassOdin,976321971,7,0,7,Troopers: Veers Piett Dark Trooper Range Trooper G11 6* Gideon
BassOdin,976321971,9,0,9,EP: EP Mara Jade, The Emperor's Hand G11 5* Vader Thrawn RG R3
Cranjis McBasketball,495874361,13,0,13,EP: EP Mara Jade, The Emperor's Hand G11 5* Vader Thrawn RG G12
CaptainBirdFox,556569464,43,4,39,CLS: CLS R3 C-3PO G11 Han G8 Chewbacca G8 Chewpio G8 5*
CaptainBirdFox,556569464,40,2,38,EP: EP G12 Mara Jade, The Emperor's Hand G8 6* Vader R3 Thrawn G8 Shoretrooper G8 5*
Ben Swolo,241341723,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Ben Swolo,241341723,9,0,9,EP: EP Mara Jade, The Emperor's Hand G11 6* Vader Thrawn Shoretrooper R3
DobieWanKenobi,351752364,24,0,24,Troopers: Veers R3 Piett Dark Trooper G9 3* Range Trooper G7 2* Starck R3
DobieWanKenobi,351752364,47,0,47,Padme/BB: Padme G8 Hunter G9 4* Echo G9 2* Tech G9 4* Wrecker G8 4*
MINI Mos Eisley Nerfherder,952233855,2,0,2,CLS: CLS C-3PO R3 Han Chewbacca Chewpio
MINI Mos Eisley Nerfherder,952233855,37,0,37,EP: EP G12 Mara Jade, The Emperor's Hand G9 3* Vader Thrawn G7 RG G7
Skinwalker,366878499,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Skinwalker,366878499,16,0,16,EP: EP R3 Mara Jade, The Emperor's Hand Vader R4 Thrawn R3 RG G7
Skinwalker,366878499,28,4,24,Padme/BB: Padme R2 Hunter R3 Echo G12 Tech R1 Wrecker G9
TheDougAbides,596963139,22,0,22,EP: EP Mara Jade, The Emperor's Hand G8 4* Vader R3 Thrawn R3 Shoretrooper G10
TheDougAbides,596963139,25,0,25,CLS: CLS R3 C-3PO R3 Han G11 Chewbacca G11 Chewpio G11
Chaos,883183459,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Chaos,883183459,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Chaos,883183459,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Chaos,883183459,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Chaos,883183459,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Chaos,883183459,22,0,22,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper G7 Gideon R2
Ghent Sinite,722474735,6,3,3,CLS: CLS C-3PO R4 Han Chewbacca R4 Chewpio R4
Ghent Sinite,722474735,22,2,20,Troopers: Veers R3 Piett Dark Trooper G11 Range Trooper G9 Starck R3
Zoooolwik,498113457,37,5,32,EP: EP G12 Mara Jade, The Emperor's Hand G11 5* Vader R3 Thrawn G12 RG G7
MINIGoody,566753157,7,0,7,CLS: CLS C-3PO Han Chewbacca Chewpio G11 6*
MINIGoody,566753157,29,0,29,EP: EP Mara Jade, The Emperor's Hand G7 4* Vader Thrawn G9 Shoretrooper G9
The Apprentice,825714593,8,6,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
The Apprentice,825714593,15,0,15,Troopers: Veers R3 Piett Dark Trooper R2 Range Trooper G12 Gideon R1
San Holo,292321178,14,5,9,CLS: CLS R4 C-3PO R3 Han R3 Chewbacca R3 Chewpio R3
