Player,Offense,Defense,GP,Name,Squad,Viable
"WilburtheSample",,,123404,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"WilburtheSample",1,1,150546,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"WilburtheSample",,,166407,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"WilburtheSample",1,0,141778,CLS,"zzzCLS zHan zzChewbacca zC-3PO zChewpio",1
"WilburtheSample",0,1,114059,DRMalak,"zzzDR HK-47 zBSF zzMalak Sith Assassin",1
"WilburtheSample",0,1,119910,padme,"zzPadme zGK zJKA zAhsoka CW Chewbacca G8",1
"WilburtheSample",,,474036,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing, Clone Sergeant's ARC-170, Plo's SF",1
"WilburtheSample",,,312690,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"WilburtheSample",,,420287,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"WilburtheSample",0,1,98149,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"WilburtheSample",0,1,126330,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"WilburtheSample",1,0,124001,Traya,"zzTraya zDN zSion zzEP Sith Empire Trooper G9",1
"WilburtheSample",1,1,119469,JTR,"zzJTR Scav Rey, zBB-8 zzR2-D2 zFinn",1
"WilburtheSample",,,447793,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter, FO TIE Fighter",1
"WilburtheSample",,,103790,Disintegration,"Aurra zzGreef zBoba zzBossk The Mandalorian",1
"WilburtheSample",,,104215,Mon Mothma,"Mon Mothma, Wedge Cara Dune, Biggs Lando",1
"WilburtheSample",1,1,90837,Ewoks,"zChirpa Elder Paploo zWicket Logray",1
"WilburtheSample",1,0,121466,ShaakClones,"zzShaak Ti, zRex Echo (501st), zzFives ARC Trooper",1
"WilburtheSample",1,1,96178,Carth,"zCarth Onasi, zMission Zaalbar Juhani Canderous",1
"WilburtheSample",0,1,119355,BH,"zzJango Cad Dengar Greedo zNest",1
"WilburtheSample",,,84060,Iden Troopers,"zIden Versio, Shoretrooper Snowtrooper G9, Magma DT",1
"WilburtheSample",0,1,75162,Phoenix,"Hera Ezra Zeb G8, Sabine G8, Kanan G8",1
"WilburtheSample",1,1,71896,Rogue1,"Jyn G8, Chirrut G8, Baze G9, K-2SO G8, Cassian G9",1
"WilburtheSample",0,1,131520,BS,"zBS zzGMY zJolee Old Ben, zHYoda",1
"WilburtheSample",1,0,69694,Jawas,"Nebit G8, Jawa Engineer G9, Jawa Scavenger G8, Jawa G9, Dathcha G9",1
"WilburtheSample",1,1,84531,NS,"zMT zzAV Daka Zombie G8, Spirit G8",0
"WilburtheSample",1,0,92717,Troopers,"zVeers zzPiett zGideon Dark Trooper G9, Range Trooper G9",0
"WilburtheSample",,,75125,Bad Batch,"zHunter G9, zEcho G9, Omega G7, Tech G9, Wrecker G8",0
"ItsTurtleTime",,,168253,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"ItsTurtleTime",,,125343,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"ItsTurtleTime",,,429379,Profundity,"Profundity Han's MF, Outrider Rebel Y-wing, Cassian's U-wing, Ghost",1
"ItsTurtleTime",1,1,153695,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"ItsTurtleTime",0,1,111921,Qira,"zQira L3-37 zVandor Chewbacca, zMission zZaalbar",1
"ItsTurtleTime",1,1,112926,NS,"zzMT zzAV zDaka Zombie Spirit",1
"ItsTurtleTime",,,591066,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"ItsTurtleTime",,,155592,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zJolee",1
"ItsTurtleTime",1,0,143750,CLS,"zzzCLS zHan zzChewbacca zC-3PO zChewpio",1
"ItsTurtleTime",0,1,128865,DRMalak,"zzzDR zHK-47 zBSF zzMalak Sith Empire Trooper",1
"ItsTurtleTime",,,518543,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"ItsTurtleTime",,,320473,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"ItsTurtleTime",1,1,135585,JTR,"zzzJTR zzR2-D2 zzBB-8 zRH Finn, zRH Poe",1
"ItsTurtleTime",0,1,103332,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"ItsTurtleTime",0,1,124319,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"ItsTurtleTime",1,0,123398,Traya,"zzTraya zDN zSion zzEP zNest",1
"ItsTurtleTime",1,0,122378,Troopers,"zVeers zzPiett zzGideon zDark Trooper, Range Trooper",1
"ItsTurtleTime",,,113129,Mon Mothma,"zzMon Mothma, Wedge zCara Dune, Biggs Bistan",1
"ItsTurtleTime",1,0,150805,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"ItsTurtleTime",0,1,144858,BH,"zzBossk zIG-88 zBoba zJango Dengar",1
"ItsTurtleTime",0,1,86157,Phoenix,"Hera zEzra Zeb G8, Sabine Kanan G8",1
"ItsTurtleTime",,,104110,Bad Batch,"zHunter zEcho zzOmega zTech zWrecker",1
"ItsTurtleTime",1,1,79598,Ewoks,"Chirpa Elder Paploo Wicket Logray",0
"ItsTurtleTime",,,73965,Iden Troopers,"zIden Versio 6*, Shoretrooper Snowtrooper Magma G7, DT",0
"DarthKailon",,,182528,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"DarthKailon",,,123015,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"DarthKailon",,,138149,SK,"zzEP zzMara Jade, The Emperor's Hand, zzStarkiller zJuhani zVisas",1
"DarthKailon",1,1,159417,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"DarthKailon",,,169930,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"DarthKailon",,,162579,Jabba,"zzzzzzJabba zBoushh (Leia Organa), zSkiff Guard (Lando Calrissian), Krrsantan zBoba",1
"DarthKailon",1,1,161191,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zRH Poe, zRH Finn",1
"DarthKailon",1,1,129100,NS,"zzMT zzAV zDaka Zombie Spirit",1
"DarthKailon",,,608203,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"DarthKailon",,,158946,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zJolee",1
"DarthKailon",1,0,153736,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"DarthKailon",,,522921,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"DarthKailon",,,320127,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"DarthKailon",,,447141,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"DarthKailon",0,1,103744,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"DarthKailon",0,1,135611,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"DarthKailon",1,0,105716,Traya,"zzTraya zDN zSion Sith Empire Trooper, zNest",1
"DarthKailon",1,0,130644,Troopers,"zVeers zzPiett zGideon zDark Trooper, Range Trooper",1
"DarthKailon",,,107376,Mon Mothma,"zzMon Mothma, Wedge Chirrut Biggs Baze",1
"DarthKailon",1,1,81394,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"DarthKailon",1,0,151019,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"DarthKailon",0,1,148895,BH,"zzBossk Zam zzJango Dengar zFennec Shand",1
"DarthKailon",0,1,75446,Phoenix,"Hera G8, zEzra Zeb G8, Sabine G8, Kanan G9",1
"DarthKailon",,,130789,Bad Batch,"zHunter zEcho zzOmega zTech zWrecker",1
"DarthKailon",1,0,87785,Jawas,"Nebit Jawa Engineer, Jawa Scavenger G8, Jawa Dathcha G9",1
"DarthKailon",,,89567,Admiral Raddus,"zzAdmiral Raddus 5*, Cassian zzJyn K-2SO G9, Bistan",0
"DarthKailon",0,1,87655,Qira,"Qira G9, zL3-37 zVandor Chewbacca 5* G8, zMission zZaalbar",0
"Schmuckk007",,,123202,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Schmuckk007",,,140522,SK,"zzEP zzMara Jade, The Emperor's Hand, zzStarkiller zJuhani zVisas",1
"Schmuckk007",1,1,156747,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"Schmuckk007",,,160997,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"Schmuckk007",0,1,98147,Qira,"zQira L3-37 zVandor Chewbacca, zMission zZaalbar",1
"Schmuckk007",1,1,105276,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Schmuckk007",1,0,134007,CLS,"zzzCLS zHan zzChewbacca zC-3PO zChewpio",1
"Schmuckk007",0,1,121831,padme,"zzPadme zGK zJKA zAhsoka CW Chewbacca G8",1
"Schmuckk007",,,458696,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Schmuckk007",,,317424,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Schmuckk007",,,445845,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Biggs X-wing",1
"Schmuckk007",0,1,102493,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
