Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Frednerk",655585354,6057254,3526140,2531114,139,202,207,350,2074050,1449440,109,6,313,1,215,45,65,85,101,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,16,8,6
"Wasburn09",129783432,5048167,3095960,1952207,158,-93,189,418,1594131,1501829,120,5,302,1,184,49,63,88,118,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,17,11,9
"ItsTurtleTime",876758471,7246999,4136742,3110257,133,99,448,478,2327146,1806883,171,6,519,3,232,75,107,136,152,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,22,9,7
"David",451567767,7375274,4282634,3092640,138,118,312,403,2431485,1851149,181,9,419,3,236,55,87,127,152,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,23,9,12
"Griffin",236743442,8202236,4861040,3341196,145,54,173,490,2682242,2178798,202,4,626,5,252,76,128,149,164,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,23,9,10
"darthAnology",268848548,9035328,5300928,3734400,141,25,385,513,2886750,2413502,218,8,767,6,279,119,137,174,195,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,28,10,10
"BazookaJoe",282763552,6632855,3842436,2790419,137,195,248,394,2252287,1586315,100,6,398,2,227,57,75,107,119,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,18,9,7
"DarthKailon",933888673,8878323,5387044,3491279,154,-11,463,536,2878024,2497539,216,6,783,7,275,114,147,173,189,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,8,9
"Al Greaf",778479137,4940370,2725862,2214508,123,278,155,326,1655589,1070273,72,3,241,1,186,36,48,65,78,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,12,8,6
"ClintonKilledEpstein",923593274,7113234,4213295,2899939,145,-36,224,445,2228033,1982612,171,7,488,4,244,59,100,119,143,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,23,10,11
"Ro'bi wan",124599552,8396759,4975394,3421365,145,134,163,444,2838937,2126776,202,8,560,4,265,72,105,156,176,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,26,9,12
"Gman3D 2",369548148,7260433,4150981,3109452,133,66,265,393,2302457,1847848,138,3,429,3,245,57,86,114,154,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,26,10,12
"Schmuckk007",858274497,7183913,4284498,2899415,147,-65,348,373,2228977,2041685,156,3,350,2,253,41,80,118,164,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,25,12,11
"FlibbidyDoo",872314944,6848735,4131436,2717299,152,-130,127,376,2087693,2041030,144,3,355,3,245,45,78,109,119,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,22,10,11
"Flyt",831894956,5779832,3368722,2411110,139,76,303,420,1876893,1491153,110,6,389,3,220,55,74,91,98,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,18,7,8
"Jcerillo70",177357652,6628121,3951684,2676437,147,9,179,398,2130835,1811584,106,7,406,2,222,57,85,98,129,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,17,8,6
"Acesoka",668136538,7187850,4278821,2909029,147,32,189,414,2337428,1941393,160,5,416,3,240,53,83,132,157,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,21,11,10
"Mandalorion Jrnyman",126964277,4738121,2927667,1810454,161,-60,94,306,1531085,1395906,71,5,206,0,178,32,43,61,84,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,14,9,7
"Wrongfulpuppet",232337688,5509701,3361179,2148522,156,-116,91,388,1711801,1649378,138,2,319,1,185,49,66,84,124,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,18,12,10
"Zem Malda",527394568,6345922,3716204,2629718,141,-16,255,470,1984900,1730628,148,8,453,4,235,62,90,118,130,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,20,9,8
"Holmahnootz",375133234,5531649,3322292,2209357,150,157,154,379,1918238,1404054,100,8,316,2,192,40,63,84,114,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,17,7,8
"Mordhelm",562791448,5908157,3247644,2660513,122,-220,344,375,1569421,1677547,105,7,328,2,209,42,73,83,104,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,19,9,9
"DAGGOBILI",786851589,4985669,2851443,2134226,133,-106,240,387,1459000,1392443,79,5,296,2,197,45,61,73,85,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,15,9,7
"Shamgar",514487916,7137204,4238139,2899065,146,40,203,400,2318611,1910341,170,7,368,2,237,51,75,137,148,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,23,12,9
