Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Gman3D 2,369548148,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Vader Darth Talon
Gman3D 2,369548148,1,1,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Gman3D 2,369548148,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Gman3D 2,369548148,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Gman3D 2,369548148,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jader,446271891,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Jader,446271891,0,0,0,Seps (1%): Dooku Jango GG AV MagnaGuard
Jader,446271891,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Vader Darth Talon
Jader,446271891,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Jader,446271891,0,0,0,JKL + JML (6%): JKL JMLS GAS Ezra Old Ben
Griffin,236743442,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Dooku Darth Talon
Griffin,236743442,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Griffin,236743442,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Griffin,236743442,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Griffin,236743442,0,0,0,JKL + JML (6%): JKL JMLS Shaak Ti GMY Old Ben
Griffin,236743442,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Holmahnootz,375133234,0,0,0,JKL + JML (6%): JKL JMLS JKR GMY Old Ben
Holmahnootz,375133234,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Frednerk,655585354,11,11,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Frednerk,655585354,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Frednerk,655585354,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Al Greaf,778479137,5,5,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Al Greaf,778479137,15,15,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Zem Malda,527394568,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Zem Malda,527394568,0,0,0,Seps (1%): Dooku Jango Nute GG AV
Zem Malda,527394568,0,0,0,JKL + JML (6%): JKL JMLS GAS GMY Old Ben
Da Conquering One,765966569,1,1,0,JKL + JML (6%): JKL JMLS HYoda GAS Old Ben
Da Conquering One,765966569,6,6,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Da Conquering One,765966569,6,6,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Vaders Fist,128286681,0,0,0,JKL + JML (6%): JKL JMLS JKA Jolee Old Ben
Vaders Fist,128286681,0,0,0,SEE P1 5%: SEE Malak Sith Marauder EP Sith Trooper
Vaders Fist,128286681,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Vaders Fist,128286681,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GMY
Vaders Fist,128286681,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Vaders Fist,128286681,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
Vaders Fist,128286681,0,0,0,Seps (1%): Dooku Jango Nute GG MagnaGuard
Vaders Fist,128286681,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Vaders Fist,128286681,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Range Trooper Dark Trooper
Vaders Fist,128286681,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Ra2327,631393672,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
Ra2327,631393672,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Sith Trooper DR
Ra2327,631393672,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Ra2327,631393672,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Ra2327,631393672,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
GravelSK,496916323,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
GravelSK,496916323,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
GravelSK,496916323,0,0,0,Seps (1%): Dooku Jango GG AV MagnaGuard
GravelSK,496916323,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
GravelSK,496916323,0,0,0,JKL + JML (6%): JKL JMLS Jolee BS Old Ben
GravelSK,496916323,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
GravelSK,496916323,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
David,451567767,2,2,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
David,451567767,6,6,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
David,451567767,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Ezra
David,451567767,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
David,451567767,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
knaggs1120,722718646,15,15,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
knaggs1120,722718646,8,8,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
DAGGOBILI,786851589,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
DAGGOBILI,786851589,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
DAGGOBILI,786851589,8,8,0,GG (2%): GG B1 Droideka B2 HK-47
DAGGOBILI,786851589,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Ke Ke Mar,943347694,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Ke Ke Mar,943347694,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ke Ke Mar,943347694,0,0,0,SEE P1 5%: SEE Malak Darth Maul Sith Marauder Vader
WilburtheSample,584444677,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
WilburtheSample,584444677,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
BazookaJoe,282763552,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
BazookaJoe,282763552,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
BazookaJoe,282763552,0,0,0,JKL + JML (6%): JKL JMLS JKR Jolee BS
BazookaJoe,282763552,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
BazookaJoe,282763552,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Jcerillo70,177357652,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jcerillo70,177357652,21,21,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Jcerillo70,177357652,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Jcerillo70,177357652,18,18,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
RP,524758942,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
RP,524758942,0,0,0,JKL + JML (6%): JKL JMLS JKR GMY Old Ben
RP,524758942,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
RP,524758942,5,5,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
DarthScrimm,695948683,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
DarthScrimm,695948683,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
DarthScrimm,695948683,0,0,0,JKL + JML (6%): JKL JMLS JKR Jolee Old Ben
DarthScrimm,695948683,0,0,0,SEE P1 5%: SEE Malak Sith Marauder EP Vader
YODAlay YODAlay YODAlayhehoo,415593382,0,0,0,Seps (1%): Dooku Jango Nute GG GBA
YODAlay YODAlay YODAlayhehoo,415593382,6,6,0,Padme 3%: Padme JKA GK Ahsoka GMY
YODAlay YODAlay YODAlayhehoo,415593382,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
FlibbidyDoo,872314944,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
FlibbidyDoo,872314944,0,0,0,JKL + JML (6%): JKL JMLS JKA HYoda Old Ben
Deef89,424563277,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GMY
Deef89,424563277,26,26,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Deef89,424563277,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
ThanosLeftHand,386556243,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
ThanosLeftHand,386556243,0,0,0,JKL + JML (6%): JKL JMLS Aayla BS Old Ben
ThanosLeftHand,386556243,0,0,0,Seps (1%): Dooku Jango Geo Spy GG AV
ThanosLeftHand,386556243,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
ThanosLeftHand,386556243,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Sith Trooper DR
ThanosLeftHand,386556243,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
ThanosLeftHand,386556243,0,0,0,SLKR+Armorer 12%: SL Kylo Armorer HYoda Daka Zombie
ThanosLeftHand,386556243,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
ThanosLeftHand,386556243,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
kylorey,924875969,0,0,0,Padme 3%: Padme JKA GK Ahsoka CAT
ItsTurtleTime,876758471,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
ItsTurtleTime,876758471,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
ItsTurtleTime,876758471,0,0,0,JKL + JML (6%): JKL JMLS JKA GMY Old Ben
ItsTurtleTime,876758471,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
ItsTurtleTime,876758471,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Lars Quell,151487741,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Lars Quell,151487741,31,31,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
