Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Ra2327,631393672,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Lars Quell,151487741,52,21,31,Vader+Nute 12%: Vader R3 Nute G12 Thrawn G8 Wat Tambor R3 Traya G7
darthAnology,268848548,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Rendash Arend,557291511,50,24,26,Vader+Nute 12%: Vader R3 Nute G10 Thrawn R1 Wat Tambor R1 Traya G10
knaggs1120,722718646,64,0,64,Vader+Nute 12%: Vader G12 Nute G1 Thrawn G11 Wat Tambor G1 Traya G1
kylorey,924875969,35,12,23,Vader+Nute 12%: Vader Nute G8 Thrawn G8 Wat Tambor Traya R2
FlibbidyDoo,872314944,27,5,22,Vader+Nute 12%: Vader Nute G10 Thrawn Wat Tambor R1 Traya G8
Acesoka,668136538,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
ClintonKilledEpstein,923593274,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Deef89,424563277,28,13,15,Vader+Nute 12%: Vader R4 Nute G11 Thrawn R4 Wat Tambor Traya G12
Shamgar,514487916,25,1,24,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor G12 Traya G12
oogway,736683126,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Pﾑdme's Chﾑstity Belt,725514455,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Ke Ke Mar,943347694,18,0,18,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya G12
YODAlay YODAlay YODAlayhehoo,415593382,13,13,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Wrongfulpuppet,232337688,29,13,16,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G11 Traya R3
ThanosLeftHand,386556243,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
BazookaJoe,282763552,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Flyt,831894956,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Mandalorion Jrnyman,126964277,46,7,39,Vader+Nute 12%: Vader Nute G5 Thrawn G8 6* Wat Tambor G8 Traya G12
HR dpt Chatty's division,959622351,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
GravelSK,496916323,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
DAGGOBILI,786851589,21,17,4,Vader P1 10%: Vader KRU Wat Tambor C-3PO R1 Shaak Ti
Holmahnootz,375133234,34,18,16,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor Traya R2
David,451567767,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Curren,995319291,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
FrozenCourier,589571551,44,31,13,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor G12 Traya G11
Schmuckk007,858274497,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Anton360247,757167173,26,6,20,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G11 Traya G12
Vaders Fist,128286681,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Griffin,236743442,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Da Conquering One,765966569,33,18,15,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor G10 Traya G11
ItsTurtleTime,876758471,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
WilburtheSample,584444677,14,3,11,Vader+Nute 12%: Vader R3 Nute G12 Thrawn R2 Wat Tambor Traya
Wolfenstien,431257189,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Gman3D 2,369548148,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Zem Malda,527394568,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Frednerk,655585354,30,17,13,Vader+Nute 12%: Vader Nute G12 Thrawn R4 Wat Tambor Traya G12
Ro'bi wan,124599552,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
DarthScrimm,695948683,24,6,18,Vader+Nute 12%: Vader Nute G8 Thrawn Wat Tambor G10 Traya
RP,524758942,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Al Greaf,778479137,38,3,35,Vader+Nute 12%: Vader Nute G11 Thrawn R3 Wat Tambor G9 Traya G1
Rui Vuusen,829415495,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Boyk Jhaatim,919177443,25,1,24,Vader+Nute 12%: Vader R4 Nute G12 Thrawn G12 Wat Tambor Traya G7
Mordhelm,562791448,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Adler,372778343,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Jader,446271891,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Jcerillo70,177357652,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
DarthKailon,933888673,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
