Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Pﾑdme's Chﾑstity Belt,725514455,0,0,0,GAS Special: GAS Ahsoka
Pﾑdme's Chﾑstity Belt,725514455,0,0,0,JKL: JKL HYoda GMY Jolee GK
Pﾑdme's Chﾑstity Belt,725514455,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Pﾑdme's Chﾑstity Belt,725514455,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Pﾑdme's Chﾑstity Belt,725514455,14,13,1,Finn: Finn RT RH Finn RH Poe JTR
Pﾑdme's Chﾑstity Belt,725514455,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
ClintonKilledEpstein,923593274,0,0,0,GAS Special: GAS Ahsoka
ClintonKilledEpstein,923593274,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
ClintonKilledEpstein,923593274,0,0,0,JKL: JKL HYoda GMY JKR GK
ClintonKilledEpstein,923593274,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Anton360247,757167173,16,16,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Anton360247,757167173,14,4,10,ROLO: ROLO G10 Chirrut G12 Han CLS Biggs
Wrongfulpuppet,232337688,7,7,0,GAS Special: GAS Ahsoka
Wrongfulpuppet,232337688,0,0,0,JKL: JKL HYoda GMY JKR GK
Wrongfulpuppet,232337688,10,10,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Wrongfulpuppet,232337688,20,20,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
GravelSK,496916323,0,0,0,GAS Special: GAS Ahsoka
GravelSK,496916323,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
GravelSK,496916323,0,0,0,JKL: JKL HYoda GMY Jolee GK
GravelSK,496916323,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
GravelSK,496916323,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
ItsTurtleTime,876758471,0,0,0,GAS Special: GAS Ahsoka
ItsTurtleTime,876758471,0,0,0,JKL: JKL HYoda GMY Jolee GK
ItsTurtleTime,876758471,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
ItsTurtleTime,876758471,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Lars Quell,151487741,14,14,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Lars Quell,151487741,13,11,2,GAS Special: GAS R1 Ahsoka
Lars Quell,151487741,20,5,15,ROLO: ROLO G12 Cpt Solo G12 Han R1 CLS R1 Chewbacca G13
Flyt,831894956,0,0,0,GAS Special: GAS Ahsoka
Flyt,831894956,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Flyt,831894956,8,8,0,JKL: JKL HYoda GMY Jolee GK
Flyt,831894956,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Mordhelm,562791448,0,0,0,GAS Special: GAS Ahsoka
Mordhelm,562791448,2,2,0,JKL: JKL HYoda GMY Jolee GK
Mordhelm,562791448,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Mordhelm,562791448,1,0,1,ROLO: ROLO Cpt Solo Han R2 CLS Lando
Griffin,236743442,0,0,0,GAS Special: GAS Ahsoka
Griffin,236743442,0,0,0,JKL: JKL HYoda GMY Jolee GK
Griffin,236743442,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Griffin,236743442,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Griffin,236743442,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Griffin,236743442,1,0,1,ROLO: ROLO Cpt Solo Leia Baze Lando
FlibbidyDoo,872314944,8,8,0,CLS: CLS Han Chewbacca Chewpio C-3PO
FlibbidyDoo,872314944,0,0,0,JKL: JKL HYoda JMLS JKR GK
FlibbidyDoo,872314944,9,8,1,GAS Special: GAS R2 Ahsoka
FlibbidyDoo,872314944,10,0,10,ROLO: ROLO Cpt Solo Leia Baze G6 Lando
FlibbidyDoo,872314944,17,0,17,Shaak Ti: Shaak Ti R2 Rex G12 Echo (501st) G12 ARC Trooper G12 Fives G12
Da Conquering One,765966569,0,0,0,JKL: JKL HYoda JMLS GK GAS
Da Conquering One,765966569,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Da Conquering One,765966569,4,4,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
mini DarkLords2,126982258,0,0,0,GAS Special: GAS Ahsoka
mini DarkLords2,126982258,0,0,0,JKL: JKL HYoda GMY Jolee GK
mini DarkLords2,126982258,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
mini DarkLords2,126982258,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
