Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
DarthKailon,933888673,1,1,0,160263,Padme JKA Ahsoka GK GMY
Lars Quell,151487741,23,23,0,151974,Padme JKA Ahsoka GK GMY
Rendash Arend,557291511,25,25,0,146489,Padme JKA Ahsoka GK GMY
Anton360247,757167173,19,19,0,162874,Padme JKA Ahsoka GK GMY
Curren,995319291,2,2,0,149341,Padme JKA Ahsoka GK GMY
David,451567767,9,9,0,153420,Padme JKA Ahsoka GK GMY
Rui Vuusen,829415495,0,0,0,153750,Padme JKA Ahsoka GK GMY
Mandalorion Jrnyman,126964277,55,55,0,146801,Padme JKA Ahsoka GK GMY
Mordhelm,562791448,8,8,0,136935,Padme JKA Ahsoka GK GMY
Flyt,831894956,0,0,0,147338,Padme JKA Ahsoka GK GMY
Acesoka,668136538,0,0,0,158590,Padme JKA Ahsoka GK GMY
Jcerillo70,177357652,23,23,0,150232,Padme JKA Ahsoka GK GMY
Ro'bi wan,124599552,4,4,0,154145,Padme JKA Ahsoka GK GMY
Wasburn09,129783432,14,14,0,133113,Padme JKA Ahsoka GK GMY
Holmahnootz,375133234,27,27,0,149034,Padme JKA Ahsoka GK GMY
ItsTurtleTime,876758471,0,0,0,148738,Padme JKA Ahsoka GK GMY
Wrongfulpuppet,232337688,8,2,6,131747,Padme JKA G12 Ahsoka GK GMY
Shamgar,514487916,3,3,0,142418,Padme JKA Ahsoka GK GMY
RP,524758942,5,5,0,145095,Padme JKA Ahsoka GK GMY
Al Greaf,778479137,32,24,8,125062,Padme JKA Ahsoka G12 GK GMY R3
HR dpt Chatty's division,959622351,0,0,0,152921,Padme JKA Ahsoka GK GMY
DAGGOBILI,786851589,10,10,0,141516,Padme JKA Ahsoka GK GMY
Gman3D 2,369548148,9,9,0,148644,Padme JKA Ahsoka GK GMY
FlibbidyDoo,872314944,10,1,9,129423,Padme JKA Ahsoka R3 GK R4 GMY G12
Wolfenstien,431257189,9,9,0,151037,Padme JKA Ahsoka GK GMY
knaggs1120,722718646,40,36,4,127424,Padme JKA R3 Ahsoka R3 GK GMY
Pﾑdme's Chﾑstity Belt,725514455,0,0,0,160224,Padme JKA Ahsoka GK GMY
oogway,736683126,0,0,0,154119,Padme JKA Ahsoka GK GMY
Vaders Fist,128286681,0,0,0,156326,Padme JKA Ahsoka GK GMY
ClintonKilledEpstein,923593274,8,6,2,149196,Padme R4 JKA Ahsoka R4 GK GMY
BazookaJoe,282763552,0,0,0,158897,Padme JKA Ahsoka GK GMY
GravelSK,496916323,0,0,0,154118,Padme JKA Ahsoka GK GMY
Frednerk,655585354,2,2,0,147380,Padme JKA Ahsoka GK GMY
DarthScrimm,695948683,11,0,11,123642,Padme R3 JKA Ahsoka R4 GK R3 GMY G12
Jader,446271891,0,0,0,147627,Padme JKA Ahsoka GK GMY
ThanosLeftHand,386556243,0,0,0,153423,Padme JKA Ahsoka GK GMY
Ewoks Goin In Dry,448434423,3,0,3,144055,Padme R4 JKA Ahsoka R3 GK GMY
Kibleh Toht,512685275,2,0,2,141603,Padme JKA Ahsoka R3 GK GMY
Griffin,236743442,0,0,0,157128,Padme JKA Ahsoka GK GMY
Da Conquering One,765966569,20,3,17,122366,Padme JKA R1 Ahsoka G12 GK R4 GMY G12
Ke Ke Mar,943347694,0,0,0,139244,Padme JKA Ahsoka GK GMY
Zem Malda,527394568,4,0,4,150740,Padme JKA Ahsoka R1 GK GMY
darthAnology,268848548,0,0,0,156375,Padme JKA Ahsoka GK GMY
Walan Lamor,181994418,12,3,9,125554,Padme JKA R2 Ahsoka G12 GK GMY
ATX ONE,659226473,0,0,0,165950,Padme JKA Ahsoka GK GMY
Boyk Jhaatim,919177443,1,1,0,147592,Padme JKA Ahsoka GK GMY
KailonTheGrey,445222445,0,0,0,155017,Padme JKA Ahsoka GK GMY
Schmuckk007,858274497,5,0,5,137188,Padme JKA Ahsoka R2 GK R4 GMY R4
