Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
DarthScrimm,695948683,19,4,15,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper G12
DarthKailon,933888673,8,0,8,Troopers: Veers R3 Piett Gideon Dark Trooper Range Trooper G12
Kibleh Toht,512685275,18,0,18,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper G9 6*
KailonTheGrey,445222445,4,0,4,Troopers: Veers R3 Piett Starck R4 Dark Trooper R4 Range Trooper
David,451567767,50,35,15,Troopers: Veers R3 Piett Starck R3 Dark Trooper G11 Range Trooper R1
Rui Vuusen,829415495,27,10,17,Troopers: Veers R3 Piett Starck R3 Dark Trooper G11 Range Trooper G12
GravelSK,496916323,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Vaders Fist,128286681,7,7,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Holmahnootz,375133234,41,21,20,Troopers: Veers R3 Piett Starck G12 Dark Trooper G12 Range Trooper G12
Ewoks Goin In Dry,448434423,9,0,9,Troopers: Veers R4 Piett Starck G12 Dark Trooper R4 Range Trooper R4
Ro'bi wan,124599552,23,3,20,Troopers: Veers R3 Piett Starck R3 Dark Trooper G9 Range Trooper G11
Shamgar,514487916,33,12,21,Troopers: Veers G12 Piett Starck R2 Dark Trooper G12 Range Trooper G12
oogway,736683126,8,1,7,Troopers: Veers Piett Gideon Dark Trooper Range Trooper G11
Anton360247,757167173,38,19,19,Troopers: Veers R4 Piett Starck R3 Dark Trooper G11 Range Trooper G9
RP,524758942,24,3,21,Troopers: Veers G12 Piett Gideon G12 Dark Trooper R2 Range Trooper G12
FlibbidyDoo,872314944,15,0,15,Troopers: Veers R4 Piett Starck R3 Dark Trooper G9 5* Range Trooper R2
darthAnology,268848548,15,0,15,Troopers: Veers Piett Starck R3 Dark Trooper G11 Range Trooper G12
9th DOGG of SWAG,987179658,2,0,2,Troopers: Veers Piett Starck R4 Dark Trooper Range Trooper R4
Pﾑdme's Chﾑstity Belt,725514455,15,0,15,Troopers: Veers R3 Piett Gideon Dark Trooper G11 Range Trooper G12
Curren,995319291,30,12,18,Troopers: Veers G12 Piett Gideon G12 Dark Trooper Range Trooper G12
Ke Ke Mar,943347694,22,0,22,Troopers: Veers R3 Piett Starck R3 Dark Trooper G9 6* Range Trooper G9
Wrongfulpuppet,232337688,55,45,10,Troopers: Veers R3 Piett R3 Starck R3 Dark Trooper R3 Range Trooper R3
Frednerk,655585354,46,9,37,Troopers: Veers G12 Piett Gideon G8 Dark Trooper G9 5* Range Trooper G6 5*
Boyk Jhaatim,919177443,43,9,34,Troopers: Veers G12 Piett Starck G12 Dark Trooper G6 5* Range Trooper G8
THX 1138,956844791,21,0,21,Troopers: Veers R3 Piett Starck R3 Dark Trooper G11 Range Trooper G8
DAGGOBILI,786851589,40,0,40,Troopers: Veers G8 Piett Gideon G8 4* Dark Trooper G8 5* Range Trooper G8 5*
Da Conquering One,765966569,42,22,20,Troopers: Veers G13 Piett R3 Starck G13 Dark Trooper R2 Range Trooper G13
Flyt,831894956,53,43,10,Troopers: Veers R3 Piett Starck R3 Dark Trooper Range Trooper G12
FatThrone643,749291374,17,0,17,Troopers: Veers R3 Piett Starck R3 Dark Trooper G7 5* Range Trooper R3
Gman3D 2,369548148,28,22,6,Troopers: Veers R3 Piett Starck R3 Dark Trooper Range Trooper R3
Griffin,236743442,16,0,16,Troopers: Veers R4 Piett Starck R4 Dark Trooper R3 Range Trooper G6 6*
Jader,446271891,6,0,6,Troopers: Veers R3 Piett Gideon R3 Dark Trooper Range Trooper R3
Schmuckk007,858274497,17,0,17,Troopers: Veers R3 Piett Starck R3 Dark Trooper G11 Range Trooper G12
Mordhelm,562791448,40,23,17,Troopers: Veers R3 Piett Starck R3 Dark Trooper R2 Range Trooper G8 6*
Jcerillo70,177357652,28,20,8,Troopers: Veers R3 Piett Starck R3 Dark Trooper R3 Range Trooper R3
Wolfenstien,431257189,22,0,22,Troopers: Veers R3 Piett Starck R3 Dark Trooper G9 Range Trooper G9
ATX ONE,659226473,16,0,16,Troopers: Veers R3 Piett Gideon Dark Trooper G11 6* Range Trooper G11 6*
ItsTurtleTime,876758471,18,1,17,Troopers: Veers G12 Piett Gideon G13 Dark Trooper Range Trooper G12
Al Greaf,778479137,41,9,32,Troopers: Veers G12 Piett Gideon G8 Dark Trooper G11 Range Trooper G9
Acesoka,668136538,26,9,17,Troopers: Veers R3 Piett Starck R3 Dark Trooper R3 Range Trooper G7 5*
