Player,Offense,Defense,GP,Name,Squad,Viable
"Sully",0,1,133614,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Sully",0,1,119861,padme,"zzPadme zGK JKA zAhsoka zC-3PO",1
"Sully",0,1,89709,Geonosians,"zzGBA Sun Fac G9, Geo Soldier, Geo Spy, Poggle",1
"Sully",,,320344,HansMF,"Home One, Han's MF 5*, HT 6* Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Sully",0,1,106968,Grievous,"zzGG B2 B1 Droideka zMagnaGuard",1
"Sully",1,0,107801,Traya,"zzTraya DN Sion zzEP zThrawn",1
"Sully",1,1,114913,Ewoks,"zChirpa Elder Paploo Wicket zLogray",1
"Sully",1,1,120308,Revan Offense,"zzzJKR zGMY zBS zJolee Ezra",1
"Sully",0,1,138109,BH,"zzBossk zBoba zDengar zJango Cad",1
"Sully",1,1,93086,Carth,"Carth Onasi, zMission zZaalbar Juhani Canderous",1
"Sully",0,1,70055,Phoenix,"Hera Zeb Sabine Kanan Chopper G9",1
"Sully",,,54707,Phasma,"Phasma G8, FOTP G7, FOSFTP G7, FOST 5* G8, Kylo G8",0
"Sully",,,406365,Negotiator,"Negotiator BTL-B Y-wing 4*, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",0
"Sully",1,1,65295,NS,"MT G8, AV Daka G9, Zombie 6* G8, Spirit G8",0
"Sully",,,70959,Mon Mothma,"zMon Mothma G9, Pao G8, Hoth Rebel Scout G8, Cara Dune G8, Kyle Katarn G9",0
"Sully",1,0,89024,ShaakClones,"zzShaak Ti, Rex Echo (501st) G8, Fives G8, ARC Trooper G8",0
"Sully",1,0,63220,Wiggs,"Wedge G8, Biggs G8, CLS G9, Han Leia",0
"Sully",,,56027,Iden Troopers,"Iden Versio 5* G8, Shoretrooper Snowtrooper G8, Magma G7, DT 6* G8",0
"Sully",1,0,50411,zMaul,"Darth Maul G8, Sidious G8, Dooku 6* G8, Sith Marauder 5* G8, Nest G7",0
