Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
xFirst Orderx,668346416,0,0,0,Seps (1%): Dooku Jango Nute MagnaGuard AV
xFirst Orderx,668346416,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
xFirst Orderx,668346416,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
xFirst Orderx,668346416,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
xFirst Orderx,668346416,0,0,0,SEE P1 5%: SEE Malak Vader Sith Trooper Sith Marauder
xFirst Orderx,668346416,0,0,0,GG (2%): GG B1 Droideka B2 Dark Trooper
Andrew,568458516,0,0,0,Seps (1%): Dooku Jango Nute MagnaGuard GG
Andrew,568458516,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Andrew,568458516,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Andrew,568458516,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Boseephuss,678678686,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Boseephuss,678678686,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Boseephuss,678678686,0,0,0,Seps (1%): Dooku Jango MagnaGuard AV GG
Boseephuss,678678686,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Boseephuss,678678686,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Boseephuss,678678686,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Boseephuss,678678686,0,0,0,JKL + JML (6%): JKL JMLS JKA GMY Old Ben
Nerve Gas,787571874,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Nerve Gas,787571874,4,4,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Nerve Gas,787571874,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Nerve Gas,787571874,0,0,0,JKL + JML (6%): JKL JMLS JKR GMY Old Ben
Khromazel,336264674,0,0,0,Seps (1%): Dooku Jango MagnaGuard AV GG
