Player,Offense,Defense,GP,Name,Squad,Viable
"jms101649",,,168647,JMK,"zzzzzzJMK zJKA zGMY zzShaak Ti, zGK",1
"jms101649",1,1,154239,SL Kylo,"zzzzzzSL Kylo, Sith Trooper, zHux zzKRU zzThrawn",1
"jms101649",,,162566,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"jms101649",1,1,155570,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 RH Poe, RH Finn",1
"jms101649",,,550104,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"jms101649",1,0,143817,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"jms101649",,,491913,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"jms101649",,,297709,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"jms101649",,,410189,HansMF,"Home One, Han's MF, Rebel Y-wing, Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"jms101649",0,1,93227,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"jms101649",0,1,125530,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"jms101649",1,0,125091,Traya,"zzTraya zzDN zSion zzEP Sith Empire Trooper",1
"jms101649",,,106069,Mon Mothma,"zzMon Mothma, Chirrut Wedge Baze Biggs",1
"jms101649",1,1,144750,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"jms101649",1,1,96235,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"jms101649",0,1,149077,BH,"zzBossk zDengar zIG-88 zBoba zzJango",1
"jms101649",1,1,98206,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"jms101649",1,0,125232,Troopers,"zVeers zStarck Snowtrooper zDT zzPiett",1
"jms101649",0,1,71133,Phoenix,"Hera zEzra Zeb G8, Kanan G8, Sabine G8",1
"jms101649",,,114290,Phasma,"Phasma FOTP FOSFTP FOST zKylo",0
"jms101649",,,150804,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zJolee",0
"Eul0gy",,,180246,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Eul0gy",,,171060,LV,"zzzzzzLord Vader, zzPiett zzzVader zRG zNinth Sister",1
"Eul0gy",,,126024,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Eul0gy",,,140281,SK,"zzEP zzMara Jade, The Emperor's Hand, zzStarkiller zJuhani zVisas",1
"Eul0gy",,,429272,Profundity,"Profundity 5* Han's MF, Outrider Rebel Y-wing, Cassian's U-wing, Ghost",1
"Eul0gy",1,1,160552,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Eul0gy",,,167164,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"Eul0gy",0,1,111555,Qira,"zQira zL3-37 zVandor Chewbacca, zMission zZaalbar",1
"Eul0gy",1,1,166016,GL Rey,"zzzzzzRey zzzJTR zzBB-8 zRH Poe, zRH Finn",1
"Eul0gy",1,1,130480,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Eul0gy",,,594888,Executor,"Executor 6* HT RC Xanadu Blood, Slave I, IG-2000 Tie Adv, TIE Reaper",1
"Eul0gy",,,161220,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zJolee",1
"Eul0gy",1,0,161415,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Eul0gy",,,524462,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Eul0gy",,,326182,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Eul0gy",0,1,107851,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Eul0gy",0,1,140034,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Eul0gy",1,0,130797,Traya,"zzTraya zDN zSion Sith Empire Trooper, zNest",1
"Eul0gy",,,117534,Mon Mothma,"zzMon Mothma, Hoth Rebel Scout, zCara Dune, zPao Scarif",1
"Eul0gy",,,150458,Disintegration,"zAurra zzGreef zBoba zzBossk zzThe Mandalorian",1
