Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"AlexMcHeals",855568483,7516341,4182457,3333884,125,-59,346,393,2184035,1991204,161,8,465,3,242,65,89,114,140,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,22,7,9
"marco87",217197326,8429082,4807031,3622051,132,-141,462,463,2400974,2377439,198,3,610,4,265,89,115,154,175,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,25,10,10
"HamSandwich",815129121,5755135,3199089,2556046,125,54,899,478,1764397,1434692,133,7,436,4,166,62,84,104,114,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,12,6,4
"MINI Icarus Sunwalker",383743765,9210415,5467436,3742979,146,4,579,495,2932269,2506463,211,5,714,6,295,106,129,185,203,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,27,11,10
"Selzer",397193926,8640551,5115432,3525119,145,106,524,488,2881471,2223394,195,4,641,6,284,88,130,164,186,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,25,11,11
"DarthRess",813899319,8638685,5134794,3503891,146,-54,331,475,2686941,2436087,211,6,649,5,273,90,131,150,174,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,26,10,11
"Dasharr Eandall",351497452,9439845,5478645,3961200,138,-51,525,541,2877070,2600899,223,10,830,6,284,117,154,191,207,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,27,10,10
"MINI Monty",249555371,9424122,5549361,3874761,143,-8,488,531,2961672,2566073,228,7,800,6,293,114,156,185,201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,28,10,12
"NerfHearder",198199934,9049887,5360291,3689596,145,19,426,509,2900358,2441839,201,3,735,5,284,105,138,176,201,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,27,10,9
"Hungieman",955832764,8129827,4915429,3214398,152,-83,126,500,2540875,2371643,191,9,655,3,246,94,129,147,176,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,25,11,10
"HooDs",129611985,8865734,5294121,3571613,148,22,234,499,2872424,2413056,208,6,644,6,281,92,128,186,206,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,28,11,11
"Violanna",657947228,8878049,5322712,3555337,149,49,437,487,2915834,2383538,226,8,638,6,285,89,126,179,201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,27,9,11
"Bennyhammer",966812487,9018459,5317980,3700479,143,25,188,468,2885348,2415664,228,10,626,5,279,88,117,180,205,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,26,10,11
"Marvell Chapel",193356299,8159140,4787836,3371304,142,3,393,427,2570025,2199631,177,5,499,4,282,65,110,139,178,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,25,11,11
"Kurnus",513145386,8278558,4926905,3351653,146,-29,255,477,2603413,2303319,190,6,520,1,276,89,120,171,187,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,27,14,11
"GeO",966821199,8866936,5256414,3610522,145,-53,338,517,2750546,2492193,206,7,699,5,287,99,139,180,200,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,28,10,10
"Falch",931281728,7484589,4503365,2981224,151,46,273,454,2474246,2029119,180,5,546,4,248,85,100,131,162,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,24,11,11
"Kerfuffle",418562174,8218350,4906182,3312168,148,-7,362,475,2628004,2273522,196,5,605,5,284,88,111,159,181,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,25,10,9
"KaiAnderson",291335957,9316974,5591423,3725551,150,18,414,574,3018409,2545437,170,6,812,7,293,118,161,212,220,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,10,10
"n3rfT1000",645985434,9207122,5542752,3664370,151,-38,309,573,2924907,2610627,206,4,861,6,284,124,169,187,201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,27,10,11
"ZuluJedi",799391413,8623023,5163139,3459884,149,64,228,496,2853739,2297564,215,4,636,6,263,86,128,173,205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,26,10,10
"rhoyalvendetta",281799924,7906985,4560416,3346569,136,91,409,479,2554342,2001418,156,3,579,5,280,79,117,146,179,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,25,9,10
"Neighbs",784263715,8795021,5198377,3596644,144,-52,337,459,2723232,2464942,222,7,666,5,268,96,125,146,165,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,26,10,12
"MINI Darthfrankie",556495658,8266545,4948478,3318067,149,28,297,486,2691423,2246500,193,7,655,7,263,92,125,146,174,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,9,11
"Sunara",765594667,6767330,3717142,3050188,121,276,287,365,2251021,1458819,118,3,418,2,230,68,69,95,111,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,18,11,8
"Tally",318178387,7293152,4271918,3021234,141,115,272,436,2420569,1851349,151,5,492,2,242,72,94,126,153,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,21,11,10
"Drac241",415687331,8216826,4964912,3251914,152,60,185,456,2741374,2215816,200,11,586,5,257,97,107,151,173,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,22,10,11
"Fahrenheit",291528579,9003112,5247334,3755778,139,-35,408,468,2766228,2460885,207,8,649,5,289,96,125,167,194,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,27,11,11
"Home One",886581815,9083301,5396622,3686679,146,94,436,508,3021932,2358795,212,4,814,6,282,125,140,159,174,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,26,9,8
"Wilf Willson",559593336,9076990,5363290,3713700,144,-14,522,556,2861421,2493472,224,7,750,6,276,91,168,187,199,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,28,9,9
"woie",839713375,9249668,5404437,3845231,140,-43,384,506,2841472,2549731,220,4,794,5,289,123,143,167,178,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,24,9,9
"Shadowdancer",598833483,9543188,5730642,3812546,150,0,494,536,3075072,2643401,244,7,819,7,290,119,155,193,219,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,9,10
"plindboe",443356677,9035078,5374893,3660185,146,37,540,507,2928684,2422038,220,6,677,6,285,95,137,186,202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,27,10,10
"BertFett",247537167,8223277,4996920,3226357,154,5,493,525,2691933,2299598,180,5,646,4,267,88,139,164,182,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,27,10,10
"BigBoss",172826376,7675094,4448604,3226490,137,83,464,498,2485844,1962760,190,4,607,4,236,84,115,146,159,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,24,10,7
"Dack Mason",726829863,8275428,4814250,3461178,139,122,211,411,2735429,2076171,188,7,538,3,261,69,107,126,177,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,23,7,8
"Mastermoe187",659412735,8613653,5180202,3433451,150,-15,235,460,2750987,2400195,217,4,567,5,289,78,119,164,192,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,25,11,10
"WolfArcher12",968334669,4673623,2957474,1716149,172,-52,158,424,1552406,1404392,99,4,306,2,157,40,61,76,90,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,13,9,9
"Yestare",613161642,8029533,4827695,3201838,150,-62,329,484,2519923,2303940,196,4,619,5,259,88,123,142,152,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,21,8,11
"Qui Hanobi",668125712,5079327,3089621,1989706,155,312,148,436,1901929,1187241,99,3,359,2,158,45,69,81,94,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,13,5,5
"Chronos of Baldar",655695421,8145888,4686917,3458971,135,-8,367,465,2499662,2164427,186,9,550,5,278,79,110,159,175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,22,8,7
"Eul0gy",544915298,9817080,5879321,3937759,149,16,582,560,3177688,2683620,248,8,921,6,291,146,165,201,212,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,30,10,11
"Edge",562656168,7600077,4384970,3215107,136,-108,483,496,2240348,2144622,182,7,623,5,245,94,117,136,148,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,23,9,9
