Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Chronos of Baldar,655695421,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Chronos of Baldar,655695421,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Chronos of Baldar,655695421,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Chronos of Baldar,655695421,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Chronos of Baldar,655695421,16,0,16,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper G12 Starck R3
Chronos of Baldar,655695421,28,0,28,Padme/BB: Padme Hunter G12 Echo G10 Tech G11 Wrecker G11
Graxus,225995516,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Graxus,225995516,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Graxus,225995516,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Graxus,225995516,2,0,2,JMLS: JMLS JKL JKR R3 GMY HYoda
Graxus,225995516,12,0,12,Troopers: Veers R3 Piett Dark Trooper R3 Range Trooper G12 Starck R3
Graxus,225995516,39,0,39,Padme/BB: Padme R4 Hunter G9 Echo G9 6* Tech G8 6* Wrecker G8
Hungieman,955832764,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Hungieman,955832764,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Hungieman,955832764,12,9,3,JMK: JMK CAT R2 GK GAS Ahsoka
Hungieman,955832764,6,0,6,Troopers: Veers Piett Dark Trooper Range Trooper G12 Gideon
Hungieman,955832764,8,0,8,CLS: CLS C-3PO Han Chewbacca Chewpio G10 5*
Home One,886581815,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Home One,886581815,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Home One,886581815,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Home One,886581815,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Home One,886581815,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
Home One,886581815,0,0,0,Troopers: Veers Piett Dark Trooper Range Trooper Gideon
Home One,886581815,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
MINI Icarus Sunwalker,383743765,0,0,0,JMK: JMK CAT GK GAS Ahsoka
MINI Icarus Sunwalker,383743765,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
MINI Icarus Sunwalker,383743765,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
MINI Icarus Sunwalker,383743765,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
MINI Icarus Sunwalker,383743765,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
MINI Icarus Sunwalker,383743765,12,0,12,Troopers: Veers R3 Piett Dark Trooper R3 Range Trooper G12 Starck R3
