Player,Offense,Defense,GP,Name,Squad,Viable
"Bex",,,125481,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Bex",1,1,172464,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Bex",0,1,133331,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Assassin G9",1
"Bex",0,1,148850,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Bex",,,137677,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
"Bex",,,454679,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",1
"Bex",,,371593,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Bex",1,0,122415,Traya,"zzTraya zzDN zSion zzEP Sith Empire Trooper G8",1
"Bex",1,1,100421,JTR,"zzzJTR zScav Rey, BB-8 R2-D2 G8, zFinn",1
"Bex",1,1,152550,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"Bex",1,1,109826,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Bex",1,1,110821,Carth,"zCarth Onasi, zMission zZaalbar zVandor Chewbacca G8, zCanderous",1
"Bex",0,1,121711,BH,"zzBossk zzJango zzGreef zDengar G9, zBoba",1
"Bex",1,0,126476,zMaul,"zDarth Maul, zSidious zDooku Sith Marauder, zNest",1
"Bex",1,0,104857,Wampa (Counter),"Rex G9, zzWampa zKrennic Visas G9, FOO",1
"Bex",0,1,83045,Phoenix,"Hera zKanan zZeb Ezra G8, Chopper G9",1
"Bex",,,68995,Admiral Raddus,"Admiral Raddus 5* G7, Cassian Jyn G8, K-2SO G9, Chirrut",0
"Bex",1,1,93613,NS,"zzMT zzAV Daka Zombie G7, Spirit G9",0
"Bex",0,1,110886,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Bex",1,0,90241,Troopers,"zVeers zzPiett zzGideon 6* G8, Dark Trooper 5* G6, Range Trooper G7",0
"Bex",,,452509,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper 3*, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter, FO TIE Fighter",0
