Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"NippleLord",397519882,4181805,2350397,1831408,128,-134,158,224,1181712,1154162,61,5,90,0,218,10,24,52,71,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,13,8,6
"Mol Slash",499445554,7448014,4341930,3106084,139,41,161,314,2381232,1950417,160,9,236,0,261,28,55,132,167,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,25,11,11
"Sherber",493385567,3466298,1970837,1495461,131,21,46,151,1073501,896660,28,3,53,0,145,9,9,33,50,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,6,4
"Scarr",723841318,3686124,2251848,1434276,157,-46,75,217,1188413,1062424,44,2,91,1,160,9,20,42,64,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,8,4
"Gunner",443344877,6996930,4182833,2814097,148,-47,76,280,2199438,1968541,161,6,210,1,237,32,41,113,158,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,23,12,13
"Starkilr",735566531,3629452,2025653,1603799,126,0,41,168,1086820,928191,45,3,56,0,158,10,10,40,57,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1
"Dark Yoga",372413721,6895152,4012965,2882187,139,132,69,479,2295780,1714535,172,5,457,3,232,61,102,137,147,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,22,11,9
"AndyGoldsworthy",671862646,5627579,2900722,2726857,106,-51,195,293,1527960,1372762,99,7,221,0,215,29,44,77,96,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,16,10,7
"adamclark52",586229869,6043645,3837034,2206611,173,195,67,329,2252615,1577312,136,9,260,1,213,32,61,86,109,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,16,8,9
"Silver Skull",288223315,5696587,3058997,2637590,115,-263,360,323,1449363,1608958,79,6,287,1,204,43,52,75,90,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,18,11,8
