Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Bex,968556754,23,6,17,Vader+Nute 12%: Vader Nute G7 Thrawn Wat Tambor G12 Traya
Oma Desala,512337883,35,26,9,Vader+Wat 8%: Vader EP Thrawn Wat Tambor G9 6* Piett
Bearsfan4life34,347549235,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
adamclark52,586229869,40,21,19,Vader+Nute 12%: Vader Nute G9 Thrawn R1 Wat Tambor Traya G12
Gunner,443344877,25,7,18,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya G12
boom,774662168,46,0,46,Vader+Nute 12%: Vader G9 Nute G8 Thrawn G9 Wat Tambor G11 6* Traya G7
Infinity,532926137,27,8,19,Vader+Nute 12%: Vader Nute G8 Thrawn Wat Tambor G11 6* Traya R3
Nihil Awakening,278136235,24,1,23,Vader+Nute 12%: Vader Nute G10 Thrawn Wat Tambor G9 4* Traya G12
Barsellius,154731479,25,1,24,Vader P1 10%: Vader KRU G8 5* Wat Tambor G10 6* C-3PO G12 Shaak Ti
TwoRedOneBlonde,391958232,14,2,12,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya
E Rod,623687665,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Tanis3463,891879236,29,12,17,Vader+Nute 12%: Vader Nute G10 Thrawn Wat Tambor G9 Traya
Enderhanced,736288516,43,2,41,Vader P1 10%: Vader G12 KRU G7 Wat Tambor G10 5* C-3PO G11 6* Shaak Ti G9 5*
dferb,146328566,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
ThatSwimmyBoi,773375616,36,23,13,Vader P1 10%: Vader G11 KRU Wat Tambor C-3PO G12 Shaak Ti
Kaspa,217422451,36,12,24,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor G12 Traya G12
lefty2,312726569,27,9,18,Vader+Nute 12%: Vader Nute G8 Thrawn Wat Tambor G12 Traya R3
Green Manalishi,232666641,23,13,10,Vader+Nute 12%: Vader Nute G12 Thrawn R1 Wat Tambor Traya
Hego Damask,573371427,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Silver Skull,288223315,28,28,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Manhofung,564738937,23,11,12,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya
Ghana,824222598,24,12,12,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor R2 Traya R2
Xaven,779993281,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
FilthyFrogDog,422739188,17,5,12,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya
Darker Saberlight,416992573,29,4,25,Vader+Nute 12%: Vader Nute G7 Thrawn Wat Tambor G11 Traya G11
Leebo,898914357,26,10,16,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya R1
Mol Slash,499445554,21,3,18,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor G12 Traya
JoeP,731186187,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Vagabond12,957436722,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Dark Yoga,372413721,19,10,9,Vader+Nute 12%: Vader Nute R1 Thrawn Wat Tambor R2 Traya R3
NippleLord,397519882,40,1,39,Vader+Nute 12%: Vader Nute G11 Thrawn G8 Wat Tambor G2 Traya G12
MINI Marlex678,388278741,42,4,38,Vader+Nute 12%: Vader Nute G6 Thrawn G9 Wat Tambor G9 6* Traya G10
RobMaul226,964183179,16,6,10,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor R1 Traya
ObiWanWasabi,831946982,33,6,27,Vader+Nute 12%: Vader Nute G12 Thrawn G11 Wat Tambor G10 Traya G12
AndyGoldsworthy,671862646,25,0,25,Vader P1 10%: Vader KRU Wat Tambor G1 C-3PO R3 Shaak Ti G12
Øzymandias Kîng of Kîngs,481592625,36,9,27,Vader P1 10%: Vader KRU G9 Wat Tambor G9 5* C-3PO BB-8 G9
Tsring,548578744,30,7,23,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor Traya G8
Ultraman,723285784,30,4,26,Vader+Nute 12%: Vader Nute G7 Thrawn R2 Wat Tambor G6 Traya
Jonnington,148748464,49,28,21,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor G8 6* Traya G7
DLT35,969465438,22,8,14,Vader+Nute 12%: Vader Nute G12 Thrawn R3 Wat Tambor G12 Traya
