Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
ObiWanWasabi,831946982,58,0,58,Rey: JTR R2-D2 C-3PO BB-8 G12 RT G12 Scav Rey R2 Finn R2 Poe G12 Vet Chewbacca G9 Vet Han Resistance Pilot G8 Holdo R2 Rose G12 RH Poe R2 RH Finn R2
RobMaul226,964183179,58,58,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
RobMaul226,964183179,59,59,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
RobMaul226,964183179,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
Dark Yoga,372413721,56,56,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing 6* Leia HYoda Wedge Biggs Lando
Dark Yoga,372413721,50,4,46,Supreme Leader Kylo Ren: KRU R6 Kylo R2 FOST G12 FOE G12 FOO G12 FOTP G12 Phasma R1 Hux R1 FOSFTP G12 Sith Trooper G12 Vet Han EP Finalizer 4*
Dark Yoga,372413721,59,59,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber 6* JKA Thrawn Tarkin Veers Starck
Dark Yoga,372413721,0,0,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Manhofung,564738937,59,10,49,Jedi Master Kenobi: GK R7 Bo-Katan G8 6* Aayla G12 Mace Negotiator GG R6 Wat Tambor G12 MagnaGuard Clone Sergeant R3 QGJ G12 GMY R6 Jango R4 Shaak Ti R5 Cad G12 Cody G12
Manhofung,564738937,8,8,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing 6* Leia HYoda Wedge Biggs Lando
Manhofung,564738937,58,58,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
Manhofung,564738937,0,0,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Silver Skull,288223315,57,21,36,Jedi Master Kenobi: GK Bo-Katan G12 Aayla Mace Negotiator 6* GG Wat Tambor G10 6* MagnaGuard Clone Sergeant QGJ GMY R2 Jango G12 Shaak Ti Cad Cody G12
Silver Skull,288223315,53,53,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
Tumnus,841168558,56,45,11,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP G11 Phasma Hux FOSFTP G10 Sith Trooper Vet Han EP Finalizer 0*
Tumnus,841168558,23,23,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber 6* JKA Thrawn Tarkin Veers Starck
Oma Desala,512337883,50,14,36,Sith Eternal Emperor: EP Vader RG G12 Piett Krennic G9 5* Sidious G12 Darth Maul Dooku Sith Marauder G8 3* Imperial TIE Bomber JKA R5 Thrawn R4 Tarkin Veers Starck
All capt,333366553,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 6*
JoeP,731186187,57,24,33,Jedi Master Kenobi: GK R7 Bo-Katan G12 Aayla G12 Mace Negotiator GG Wat Tambor R6 MagnaGuard Clone Sergeant G12 QGJ GMY R7 Jango R3 Shaak Ti R5 Cad R3 Cody G12
JoeP,731186187,0,0,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
JoeP,731186187,50,50,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber 6* JKA Thrawn Tarkin Veers Starck
Tsring,548578744,58,49,9,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor G11 6* MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
JediWookie2,224773595,22,22,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
Bearsfan4life34,347549235,59,59,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
Bearsfan4life34,347549235,19,19,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
Bearsfan4life34,347549235,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
Bearsfan4life34,347549235,59,59,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
adamclark52,586229869,59,41,18,Jedi Master Kenobi: GK R5 Bo-Katan R4 Aayla Mace Negotiator GG R6 Wat Tambor R3 MagnaGuard Clone Sergeant R1 QGJ GMY Jango Shaak Ti Cad R2 Cody R3
adamclark52,586229869,59,59,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing 6* Leia HYoda Wedge Biggs Lando
Vagabond12,957436722,7,7,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
Vagabond12,957436722,59,59,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Mol Slash,499445554,57,21,36,Supreme Leader Kylo Ren: KRU Kylo R2 FOST FOE R2 FOO FOTP G12 Phasma R2 Hux G12 FOSFTP G12 Sith Trooper G11 Vet Han G12 EP Finalizer
Gunner,443344877,54,54,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
Lanke,414296723,0,0,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
ThatSwimmyBoi,773375616,58,58,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
ThatSwimmyBoi,773375616,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
egirl,233175697,46,0,46,Supreme Leader Kylo Ren: KRU Kylo FOST G13 FOE G12 FOO G12 FOTP G13 Phasma G11 Hux R3 FOSFTP G13 Sith Trooper G12 Vet Han G8 EP Finalizer 4*
Kaspa,217422451,59,53,6,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 R2 Han Chewbacca Rebel Y-wing Leia HYoda R4 Wedge Biggs Lando
TwoRedOneBlonde,391958232,56,10,46,Sith Eternal Emperor: EP Vader RG G12 Piett Krennic G12 Sidious G12 Darth Maul G11 Dooku G12 Sith Marauder G12 Imperial TIE Bomber 5* JKA Thrawn Tarkin Veers G12 Starck G12
E Rod,623687665,54,54,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
E Rod,623687665,56,56,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
E Rod,623687665,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
E Rod,623687665,53,5,48,Rey: JTR R2-D2 C-3PO BB-8 G13 RT Scav Rey Finn Poe Vet Chewbacca G12 Vet Han Resistance Pilot Holdo Rose G11 RH Poe G5 RH Finn G1
Øzymandias Kîng of Kîngs,481592625,59,23,36,Jedi Master Luke Skywalker: Old Ben JTR R2 C-3PO Mon Mothma G8 6* Chewpio JKL R2-D2 G12 Han Chewbacca Rebel Y-wing Leia G12 HYoda Wedge G11 Biggs G12 Lando
