Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Øzymandias Kîng of Kîngs,481592625,50,3,47,68859,Shaak Ti G8 Fives G8 Rex G11 Echo (501st) G8 ARC Trooper G8
Ultraman,723285784,69,0,69,35489,Shaak Ti G4 4* Fives G8 Rex G6 Echo (501st) G3 5* ARC Trooper G0 0*
Darker Saberlight,416992573,13,3,10,125008,Shaak Ti R4 Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R2
ObiWanWasabi,831946982,66,16,50,69963,Shaak Ti G12 Fives G10 Rex G12 Echo (501st) G5 ARC Trooper G1
adamclark52,586229869,53,14,39,91926,Shaak Ti Fives G12 Rex G12 Echo (501st) G9 ARC Trooper G0 0*
FilthyFrogDog,422739188,32,6,26,107966,Shaak Ti R3 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
lefty2,312726569,69,25,44,78324,Shaak Ti G11 Fives G12 Rex G12 Echo (501st) G11 ARC Trooper G0 0*
Xaven,779993281,14,6,8,128402,Shaak Ti Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
Ontarious,384145719,78,23,55,63307,Shaak Ti G10 Fives G10 Rex G6 Echo (501st) G8 ARC Trooper G1
Kaspa,217422451,30,10,20,115704,Shaak Ti R4 Fives G12 Rex R1 Echo (501st) G12 ARC Trooper R2
UncleSam,954283259,1,0,1,138142,Shaak Ti Fives Rex Echo (501st) R4 ARC Trooper
Barsellius,154731479,25,25,0,127494,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Silver Skull,288223315,31,31,0,136564,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Sherber,493385567,73,8,65,38989,Shaak Ti G7 Fives G9 Rex G8 Echo (501st) G1 ARC Trooper G0 0*
Hego Damask,573371427,45,13,32,102222,Shaak Ti G13 Fives G12 Rex G12 Echo (501st) G11 ARC Trooper G10
Infinity,532926137,42,3,39,78126,Shaak Ti G9 Fives Rex G12 Echo (501st) G6 ARC Trooper G6
Nihil Awakening,278136235,37,0,37,91045,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G7 ARC Trooper G10
NippleLord,397519882,27,0,27,95892,Shaak Ti R3 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G11
revivemebaroudi,857947976,57,0,57,43588,Shaak Ti G6 4* Fives G10 Rex G8 Echo (501st) G9 ARC Trooper G0 0*
boom,774662168,39,0,39,74297,Shaak Ti Fives G10 Rex G8 Echo (501st) G8 ARC Trooper G7 5*
Bex,968556754,57,13,44,77457,Shaak Ti Fives G12 Rex G9 Echo (501st) G7 ARC Trooper G0 0*
Enderhanced,736288516,85,39,46,59856,Shaak Ti G8 3* Fives G11 Rex G10 Echo (501st) G8 ARC Trooper G7
Green Manalishi,232666641,31,4,27,104426,Shaak Ti Fives R2 Rex R2 Echo (501st) R2 ARC Trooper G0 0*
Seawalker,662999335,78,42,36,90716,Shaak Ti G10 Fives Rex G12 Echo (501st) G6 ARC Trooper G8
Mol Slash,499445554,37,11,26,110467,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G10
Lanke,414296723,45,0,45,61369,Shaak Ti G9 Fives G11 Rex G11 Echo (501st) G6 ARC Trooper G8 5*
Tumnus,841168558,50,39,11,123361,Shaak Ti G12 Fives Rex R4 Echo (501st) R3 ARC Trooper R3
DLT35,969465438,30,12,18,117220,Shaak Ti R3 Fives R1 Rex R1 Echo (501st) R1 ARC Trooper R1
Ghana,824222598,8,0,8,126499,Shaak Ti R3 Fives R4 Rex R4 Echo (501st) R3 ARC Trooper R3
JoeP,731186187,24,24,0,133788,Shaak Ti Fives Rex Echo (501st) ARC Trooper
AndyGoldsworthy,671862646,31,1,30,103512,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Tanis3463,891879236,25,3,22,115059,Shaak Ti R4 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper R2
Gunner,443344877,35,11,24,111786,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
dferb,146328566,38,36,2,132432,Shaak Ti R3 Fives Rex Echo (501st) ARC Trooper
Leebo,898914357,29,21,8,125877,Shaak Ti R3 Fives R4 Rex R4 Echo (501st) R3 ARC Trooper R3
TwoRedOneBlonde,391958232,43,37,6,129037,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
ThatSwimmyBoi,773375616,13,7,6,130495,Shaak Ti Fives R3 Rex R3 Echo (501st) ARC Trooper R3
