Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Kaspa,217422451,2,0,2,padme: Padme GK JKA R1 Ahsoka C-3PO
Kaspa,217422451,0,0,0,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
Kaspa,217422451,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Kaspa,217422451,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
Kaspa,217422451,0,0,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Kaspa,217422451,12,0,12,GAS: GAS R2 Rex R1 Echo (501st) G12 Fives G12 ARC Trooper R2
Kaspa,217422451,20,0,20,Phasma: Phasma G12 FOTP G12 FOSFTP G12 FOST G12 Kylo G12
Kaspa,217422451,1,0,1,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy R2 Poggle
Kaspa,217422451,29,0,29,Troopers: Veers G12 Piett G9 Starck G12 Dark Trooper G9 Range Trooper G9
adamclark52,586229869,13,0,13,padme: Padme G12 GK JKA G11 Ahsoka G12 C-3PO
adamclark52,586229869,0,0,0,CLS: CLS Han Chewbacca Chewpio R2-D2
adamclark52,586229869,45,0,45,Phasma: Phasma G8 FOTP G8 FOSFTP G7 FOST G4 2* Kylo G8
adamclark52,586229869,5,0,5,Grievous Omicron: GG B2 R1 B1 R1 MagnaGuard Droideka R2
adamclark52,586229869,1,0,1,Negotiator: Negotiator BTL-B Y-wing 3* Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
adamclark52,586229869,37,0,37,Geonosians Omicron: GBA G6 4* Sun Fac G7 Geo Soldier G11 Geo Spy G8 Poggle G11
adamclark52,586229869,45,0,45,Troopers: Veers G7 Piett G10 6* Starck G8 Dark Trooper G4 5* Range Trooper G6 6*
Lanke,414296723,0,0,0,padme: Padme GK JKA Ahsoka C-3PO
