Player,Offense,Defense,GP,Name,Squad,Viable
"Darthtim",,,175068,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Darthtim",1,0,131969,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Darthtim",,,488391,HansMF,"Home One, Han's MF, HT Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Darthtim",1,0,116106,Traya,"zzTraya zzDN zSion Sith Empire Trooper G9, zzThrawn",1
"Darthtim",0,1,111968,Grievous,"zzGG zB2 Droideka zMagnaGuard zDooku",1
"Darthtim",1,1,119575,JTR,"zzzJTR zScav Rey, zzBB-8 zzR2-D2 zFinn",1
"Darthtim",1,1,141063,Revan,"zzzJKR zBS zzGMY zJolee zGK",1
"Darthtim",1,1,103552,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Darthtim",1,1,117605,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"Darthtim",0,1,124471,BH,"zzBossk zBoba zzThe Mandalorian, zzJango zDengar",1
"Darthtim",1,0,116801,Troopers,"zVeers zStarck zzGideon zzPiett DT",1
"Darthtim",0,1,128081,Phoenix,"zHera zSabine zZeb zKanan zEzra",1
"Darthtim",1,0,117434,Wampa (Counter),"zRex zzWampa zKrennic zzHYoda FOO",1
"Darthtim",0,1,107058,FO,"zzKRU zKylo zPhasma zHux FOSFTP",1
"Darthtim",1,0,117145,QGJ,"zQGJ Aayla zJKA zzOld Ben, zAhsoka",1
"Darthtim",1,0,18136,NestSolo (Counter),"zNest",1
"Darthtim",,,63131,Admiral Raddus,"Admiral Raddus 3* G8, Cassian G7, Jyn G8, K-2SO G7, Chirrut G8",0
"Darthtim",,,439749,Negotiator,"Negotiator BTL-B Y-wing 4*, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",0
"Darthtim",0,1,71991,Geonosians Omicron,"zGBA Sun Fac G8, Geo Soldier G8, Geo Spy G5, Poggle",0
"Darthtim",1,1,87494,NS,"MT G8, zzAV zDaka Zombie Spirit G8",0
"Darthtim",,,98041,Mon Mothma,"Mon Mothma 5* G9, zCara Dune, Lando zKyle Katarn, Wedge",0
"Darthtim",,,95198,Bad Batch,"zHunter zEcho 5* zzOmega zTech 6* zWrecker 6* G9",0
"StradsMan3",1,1,163749,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"StradsMan3",,,168526,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"StradsMan3",1,1,160858,GL Rey,"zzzzzzRey zGK zzzJTR zRH Poe, zRH Finn",1
"StradsMan3",1,1,104907,NS,"zzMT zzAV zDaka Zombie Spirit",1
"StradsMan3",,,551460,Executor,"Executor 5* HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"StradsMan3",,,177075,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"StradsMan3",1,0,146481,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"StradsMan3",,,475254,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"StradsMan3",,,320480,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"StradsMan3",0,1,106596,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"StradsMan3",,,413973,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"StradsMan3",0,1,121409,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"StradsMan3",1,0,108611,Traya,"zzTraya zDN zSion G9, zzEP Sith Empire Trooper",1
"StradsMan3",,,106529,Mon Mothma,"zzMon Mothma, Baze Biggs zCara Dune, Wedge",1
"StradsMan3",1,1,87810,Ewoks,"zChirpa Elder zPaploo Wicket G8, zLogray",1
"StradsMan3",1,0,119835,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"StradsMan3",0,1,147853,BH,"zzBossk zBoba zIG-88 zzJango zDengar",1
"StradsMan3",1,1,95353,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"StradsMan3",1,0,121997,Troopers,"zVeers zStarck zzGideon zzPiett Snowtrooper",1
"StradsMan3",1,0,123724,zMaul,"zDarth Maul, zSidious zDooku Sith Marauder, Nest",1
"StradsMan3",0,1,78857,Phoenix,"Hera zSabine G9, Zeb G8, zKanan G8, Ezra",1
"StradsMan3",1,0,120243,QGJ,"QGJ Aayla zJKA zzHYoda zAhsoka",1
"StradsMan3",,,121998,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",0
"StradsMan3",1,0,66987,Jawas,"Nebit G7, Jawa Engineer G8, Jawa Scavenger G7, Jawa G9, Dathcha G8",0
"halfwayhook",0,1,133170,padme,"zzPadme zGK zJKA zAhsoka zzzCAT",1
"halfwayhook",,,179176,JMLS,"zzzJKR zzJKL zzzzzzJMLS zzHYoda zzzzGAS",1
"halfwayhook",1,0,146408,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"halfwayhook",0,1,121917,DRMalak,"zzzDR zHK-47 G9, zBSF zzMalak Sith Empire Trooper",1
"halfwayhook",,,470530,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing, Clone Sergeant's ARC-170, Plo's SF",1
"halfwayhook",,,334564,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"halfwayhook",,,430690,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"halfwayhook",0,1,121814,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"halfwayhook",1,0,122667,Traya,"zzTraya zDN zSion zzEP Thrawn",1
"halfwayhook",1,0,116281,Troopers,"zVeers zzPiett zGideon zDark Trooper, Range Trooper",1
"halfwayhook",,,440365,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter, FO TIE Fighter",1
"halfwayhook",,,105500,Mon Mothma,"zzMon Mothma, Bistan Biggs Cara Dune, Wedge",1
"halfwayhook",,,118351,Disintegration,"Aurra zGreef G8, zBoba zzBossk zzThe Mandalorian",1
"halfwayhook",1,1,85576,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"halfwayhook",1,0,118793,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"halfwayhook",1,1,92365,Carth,"zCarth Onasi, zMission zZaalbar zVandor Chewbacca G9, zCanderous",1
