Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
MIL2F NOW,427479521,2,0,2,L1 BAM: The Mandalorian (Beskar Armor) G10 Jango Cad The Mandalorian Greedo
MIL2F NOW,427479521,13,0,13,L1 Jawas: Nebit G9 Jawa Engineer G9 Jawa Scavenger G8 Dathcha G9 Jawa
MIL2F NOW,427479521,8,0,8,L0 Tuskens: Tusken Chieftain G7 3* Tusken Raider G5 Tusken Shaman G5 Tusken Warrior G7 3* URoRRuR'R'R
lim,182423932,8,0,8,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian G8 Greedo G8
lim,182423932,2,0,2,L0 Maul: Maul Sabine 6* Bo-Katan Canderous Armorer G6 3*
Darthtim,146688265,4,0,4,L1 BAM: The Mandalorian (Beskar Armor) G8 Jango Cad The Mandalorian Greedo
Darthtim,146688265,8,0,8,L1 Tuskens: Tusken Chieftain G9 3* Tusken Raider G11 Tusken Shaman Tusken Warrior G9 3* URoRRuR'R'R G11 5*
Mandigo Duco,938411964,1,0,1,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad G11 The Mandalorian Greedo
Mandigo Duco,938411964,2,0,2,L0 Jawas: Nebit Jawa Engineer G7 Jawa Scavenger G7 Dathcha Jawa
Azrian Wayfinder,534697898,2,0,2,L2 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian G12 Embo
Azrian Wayfinder,534697898,17,0,17,L1 Jawas: Nebit G8 Jawa Engineer G9 Jawa Scavenger G8 Dathcha G8 Jawa G10
Azrian Wayfinder,534697898,4,0,4,L0 Tuskens: Tusken Chieftain G6 3* Tusken Raider G7 Tusken Shaman Tusken Warrior G7 3* URoRRuR'R'R
Driller,456288429,17,0,17,L1 Jawas: Nebit G8 Jawa Engineer G9 Jawa Scavenger G8 Dathcha G9 Jawa G9
Driller,456288429,1,0,1,L0 BAM: The Mandalorian (Beskar Armor) Jango G7 Cad The Mandalorian Greedo
Driller,456288429,8,0,8,L1 Tuskens: Tusken Chieftain G9 3* Tusken Raider G11 Tusken Shaman G11 Tusken Warrior G10 3* URoRRuR'R'R G11 5*
BigDaddy89,811475665,3,0,3,L1 BAM: The Mandalorian (Beskar Armor) G11 Jango Cad G11 The Mandalorian Embo G11 5*
BigDaddy89,811475665,4,0,4,L0 Tuskens: Tusken Chieftain 3* Tusken Raider G7 Tusken Shaman Tusken Warrior G7 3* URoRRuR'R'R G6 5*
Andres,436292767,7,0,7,L1 BAM: The Mandalorian (Beskar Armor) G8 Jango Cad The Mandalorian G9 Embo
Andres,436292767,6,0,6,L1 Maul: Maul Sabine G10 Bo-Katan Canderous Armorer G8
Andres,436292767,4,0,4,L0 Tuskens: Tusken Chieftain G7 3* Tusken Raider Tusken Shaman G7 Tusken Warrior G7 3* URoRRuR'R'R G7 6*
Uvad Squirl,868679139,6,0,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Uvad Squirl,868679139,10,0,10,L5 Jawas: Nebit R5 Jawa Engineer R5 Jawa Scavenger R5 Dathcha R5 Jawa R5
Uvad Squirl,868679139,3,0,3,L1 Tuskens: Tusken Chieftain G11 3* Tusken Raider Tusken Shaman Tusken Warrior G10 3* URoRRuR'R'R
Nettles123,147898847,2,0,2,L0 Maul: Maul G6 Sabine Bo-Katan Canderous Armorer 4*
GameMasterTy,638481212,8,0,8,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian G8 Greedo G8
GameMasterTy,638481212,4,0,4,L0 Jawas: Nebit Jawa Engineer G7 Jawa Scavenger G7 Dathcha G7 Jawa G7 6*
yoadreane,578743589,8,0,8,L1 BAM: The Mandalorian (Beskar Armor) G8 Jango G9 Cad The Mandalorian G11 Greedo
yoadreane,578743589,1,0,1,L1 Jawas: Nebit Jawa Engineer Jawa Scavenger Dathcha Jawa G11
yoadreane,578743589,2,0,2,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R G6
Dark Helmet,168861666,2,0,2,L2 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian Embo G12
Dark Helmet,168861666,7,0,7,L1 Jawas: Nebit G9 Jawa Engineer G11 Jawa Scavenger G10 Dathcha G11 Jawa
Dark Helmet,168861666,14,0,14,L1 Tuskens: Tusken Chieftain G8 3* Tusken Raider G9 Tusken Shaman G10 Tusken Warrior G8 3* URoRRuR'R'R G11
Stu Karnus,531577471,3,0,3,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian G10 Greedo G11
Stu Karnus,531577471,9,0,9,L0 Jawas: Nebit G4 Jawa Engineer G5 Jawa Scavenger G7 Dathcha Jawa G7
Daneth Guin,827981268,7,0,7,L1 BAM: The Mandalorian (Beskar Armor) G8 Jango Cad The Mandalorian G10 Greedo G11
Daneth Guin,827981268,8,0,8,L0 Jawas: Nebit G6 Jawa Engineer G4 4* Jawa Scavenger Dathcha Jawa G6 6*
KillerKemphfer,249539328,1,0,1,L5 BAM: The Mandalorian (Beskar Armor) Jango Cad R6 The Mandalorian Embo
KillerKemphfer,249539328,8,0,8,L1 Jawas: Nebit G8 Jawa Engineer G11 Jawa Scavenger G11 Dathcha G11 Jawa G11
KillerKemphfer,249539328,11,0,11,L1 Tuskens: Tusken Chieftain G8 3* Tusken Raider G9 Tusken Shaman G11 Tusken Warrior G10 3* URoRRuR'R'R G11
sharks198,449632632,8,0,8,L0 Jawas: Nebit G6 Jawa Engineer G7 Jawa Scavenger G5 Dathcha G6 Jawa
sharks198,449632632,10,0,10,L0 Tuskens: Tusken Chieftain 3* Tusken Raider G6 Tusken Shaman G5 Tusken Warrior G5 3* URoRRuR'R'R G6 5*
Cade Doneeta,619547922,6,0,6,L2 BAM: The Mandalorian (Beskar Armor) Jango G12 Cad The Mandalorian G12 Greedo G12
Cade Doneeta,619547922,8,0,8,L1 Maul: Maul Sabine G11 Bo-Katan G8 Canderous Armorer G9
Cade Doneeta,619547922,6,0,6,L1 Jawas: Nebit G11 Jawa Engineer G11 Jawa Scavenger G11 Dathcha G10 Jawa G11
Cade Doneeta,619547922,6,0,6,L1 Tuskens: Tusken Chieftain G9 3* Tusken Raider Tusken Shaman Tusken Warrior G9 3* URoRRuR'R'R
LukebinSolo,957766271,10,0,10,L5 Jawas: Nebit R5 Jawa Engineer R5 Jawa Scavenger R5 Dathcha R5 Jawa R5
LukebinSolo,957766271,3,0,3,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad G11 The Mandalorian G10 Embo
halfwayhook,486729994,8,0,8,L1 BAM: The Mandalorian (Beskar Armor) Jango G11 Cad G10 The Mandalorian G10 Greedo G9
halfwayhook,486729994,2,0,2,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman G7 Tusken Warrior 3* URoRRuR'R'R G7
Reaperfication,495835681,1,0,1,L1 BAM: The Mandalorian (Beskar Armor) G11 Jango Cad The Mandalorian Greedo
Sammy T,889255878,5,0,5,L1 BAM: The Mandalorian (Beskar Armor) G10 Jango Cad The Mandalorian Greedo G9
Noname Q,927523775,17,0,17,L1 Jawas: Nebit G8 Jawa Engineer G9 Jawa Scavenger G8 Dathcha G9 Jawa G9
Noname Q,927523775,3,0,3,L0 BAM: The Mandalorian (Beskar Armor) G5 Jango Cad The Mandalorian Greedo
Talin Vandor,777742531,8,0,8,L2 BAM: The Mandalorian (Beskar Armor) G12 Jango G12 Cad The Mandalorian G12 Embo G12
Talin Vandor,777742531,6,0,6,L1 Jawas: Nebit G8 Jawa Engineer G11 Jawa Scavenger Dathcha Jawa G11
Talin Vandor,777742531,12,0,12,L1 Tuskens: Tusken Chieftain G9 3* Tusken Raider G8 Tusken Shaman Tusken Warrior G9 3* URoRRuR'R'R G10
Amish Thunder,176912959,1,0,1,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian G11 Greedo
MeMeItsMe,213144715,4,0,4,L1 BAM: The Mandalorian (Beskar Armor) G9 Jango Cad The Mandalorian G11 Embo
MeMeItsMe,213144715,16,0,16,L1 Jawas: Nebit G8 Jawa Engineer G9 Jawa Scavenger G8 Dathcha G10 Jawa G9
Skycrawler,622484469,2,0,2,L0 BAM: The Mandalorian (Beskar Armor) G6 Jango Cad The Mandalorian Embo
Skycrawler,622484469,2,0,2,L0 Jawas: Nebit Jawa Engineer G7 Jawa Scavenger G7 Dathcha Jawa
Skycrawler,622484469,5,0,5,L0 Tuskens: Tusken Chieftain 3* Tusken Raider G5 Tusken Shaman Tusken Warrior 3* URoRRuR'R'R G6
Robby Hanenburg,265566658,2,0,2,L2 BAM: The Mandalorian (Beskar Armor) Jango Cad G12 The Mandalorian Greedo
Robby Hanenburg,265566658,5,0,5,L1 Jawas: Nebit G11 Jawa Engineer G11 Jawa Scavenger G11 Dathcha G11 Jawa G11
Robby Hanenburg,265566658,13,0,13,L1 Tuskens: Tusken Chieftain G8 3* Tusken Raider G8 Tusken Shaman G11 Tusken Warrior G9 3* URoRRuR'R'R G11
GhostGhostGG,146892488,7,0,7,L1 BAM: The Mandalorian (Beskar Armor) G10 Jango Cad The Mandalorian G11 Greedo G8
GhostGhostGG,146892488,8,0,8,L0 Jawas: Nebit G7 Jawa Engineer G5 5* Jawa Scavenger G6 Dathcha G7 Jawa G7 6*
GhostGhostGG,146892488,6,0,6,L0 Tuskens: Tusken Chieftain 3* Tusken Raider G7 Tusken Shaman G6 Tusken Warrior 3* URoRRuR'R'R G5 6*
CT5555,294933721,16,0,16,L1 Tuskens: Tusken Chieftain G9 3* Tusken Raider G8 Tusken Shaman G9 Tusken Warrior G8 4* URoRRuR'R'R G10 6*
CT5555,294933721,4,0,4,L0 Jawas: Nebit G7 5* Jawa Engineer 4* Jawa Scavenger G7 Dathcha G7 Jawa G7 5*
Chef,528421884,3,0,3,L1 BAM: The Mandalorian (Beskar Armor) G9 Jango Cad The Mandalorian Embo
Chef,528421884,6,0,6,L1 Jawas: Nebit G8 Jawa Engineer Jawa Scavenger G10 Dathcha Jawa
Chef,528421884,13,0,13,L1 Tuskens: Tusken Chieftain G9 4* Tusken Raider G8 Tusken Shaman G10 Tusken Warrior G9 3* URoRRuR'R'R G11
Rex,641548843,3,0,3,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian Greedo G9
Rex,641548843,18,0,18,L0 Jawas: Nebit G4 Jawa Engineer G5 Jawa Scavenger G4 Dathcha G5 Jawa G4
Aynida Ghiobb,936233587,1,0,1,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian Greedo G11
KrypticKaoz,945359717,5,0,5,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad G10 The Mandalorian Greedo G9
Shadowtrap,226344937,6,0,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Shadowtrap,226344937,2,0,2,L4 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian R3 Greedo
Shadowtrap,226344937,4,0,4,L2 Maul: Maul Sabine G12 Bo-Katan Canderous G12 Armorer
Shadowtrap,226344937,6,0,6,L1 Jawas: Nebit G11 Jawa Engineer G9 Jawa Scavenger G11 Dathcha G11 Jawa
Shadowtrap,226344937,10,0,10,L1 Tuskens: Tusken Chieftain G9 3* Tusken Raider Tusken Shaman G8 Tusken Warrior G9 3* URoRRuR'R'R
Stu McGree,659723461,6,0,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Stu McGree,659723461,2,0,2,L2 BAM: The Mandalorian (Beskar Armor) Jango Cad G12 The Mandalorian Greedo
Stu McGree,659723461,4,0,4,L0 Jawas: Nebit G7 Jawa Engineer G7 Jawa Scavenger G7 Dathcha G7 Jawa
Jadenhawke,797846433,2,0,2,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad G11 The Mandalorian Greedo G11
Jadenhawke,797846433,2,0,2,L0 Jawas: Nebit Jawa Engineer Jawa Scavenger Dathcha Jawa G6
Jadenhawke,797846433,3,0,3,L0 Tuskens: Tusken Chieftain 5* Tusken Raider G7 Tusken Shaman Tusken Warrior 6* URoRRuR'R'R G6
MasterExploder,871232367,3,0,3,L1 BAM: The Mandalorian (Beskar Armor) G10 Jango Cad The Mandalorian G11 Greedo
MasterExploder,871232367,7,0,7,L1 Jawas: Nebit G10 Jawa Engineer G11 Jawa Scavenger G10 Dathcha G11 Jawa G11
MasterExploder,871232367,5,0,5,L0 Tuskens: Tusken Chieftain G6 3* Tusken Raider Tusken Shaman Tusken Warrior G5 3* URoRRuR'R'R
Husky,426623327,2,0,2,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad G10 The Mandalorian Embo
Husky,426623327,4,0,4,L1 Jawas: Nebit G11 Jawa Engineer Jawa Scavenger G10 Dathcha Jawa G11
Husky,426623327,7,0,7,L1 Tuskens: Tusken Chieftain G9 3* Tusken Raider Tusken Shaman G11 Tusken Warrior G9 3* URoRRuR'R'R
DeathVader70,474878848,4,0,4,L2 BAM: The Mandalorian (Beskar Armor) Jango Cad G12 The Mandalorian Greedo G12
DeathVader70,474878848,19,0,19,L1 Jawas: Nebit G8 Jawa Engineer G8 6* Jawa Scavenger G8 Dathcha G9 Jawa G8
StradsMan3,932773673,2,0,2,L2 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian Embo G12
StradsMan3,932773673,2,0,2,L0 Jawas: Nebit G7 Jawa Engineer Jawa Scavenger G7 Dathcha Jawa
Joshua I K Wilson,172459436,2,0,2,L1 BAM: The Mandalorian (Beskar Armor) G11 Jango Cad The Mandalorian G11 Embo
Joshua I K Wilson,172459436,15,0,15,L1 Jawas: Nebit G8 Jawa Engineer G9 Jawa Scavenger G9 Dathcha G9 Jawa G10
Joshua I K Wilson,172459436,11,0,11,L1 Tuskens: Tusken Chieftain G9 3* Tusken Raider G9 Tusken Shaman G11 Tusken Warrior G9 3* URoRRuR'R'R G11
Ashla Bogan,378192553,4,0,4,L2 BAM: The Mandalorian (Beskar Armor) Jango Cad G12 The Mandalorian Greedo G12
Ashla Bogan,378192553,10,0,10,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa G12
Ashla Bogan,378192553,1,0,1,L0 Tuskens: Tusken Chieftain 4* Tusken Raider G7 Tusken Shaman Tusken Warrior 4* URoRRuR'R'R
Odog916,568143631,1,0,1,L2 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian G13 Embo
Odog916,568143631,7,0,7,L1 Tuskens: Tusken Chieftain G8 3* Tusken Raider Tusken Shaman Tusken Warrior G9 3* URoRRuR'R'R
Odog916,568143631,3,0,3,L0 Jawas: Nebit G7 Jawa Engineer G7 Jawa Scavenger Dathcha Jawa G7
Altern8,453728856,1,0,1,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian Greedo G11
Altern8,453728856,7,0,7,L1 Jawas: Nebit G10 Jawa Engineer G11 Jawa Scavenger G11 Dathcha G11 Jawa G10
Altern8,453728856,7,0,7,L1 Tuskens: Tusken Chieftain G10 4* Tusken Raider G11 Tusken Shaman G11 Tusken Warrior G10 4* URoRRuR'R'R G11
KreigerXenos,282691815,4,0,4,L2 BAM: The Mandalorian (Beskar Armor) Jango G13 Cad The Mandalorian G12 Greedo G13
Meeraval Marnath,945775464,1,0,1,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad G11 The Mandalorian Embo
Meeraval Marnath,945775464,9,0,9,L1 Maul: Maul Sabine G11 Bo-Katan G8 Canderous Armorer G8
Meeraval Marnath,945775464,12,0,12,L1 Jawas: Nebit G9 Jawa Engineer G10 Jawa Scavenger G9 Dathcha G11 Jawa G9
