Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Altern8,453728856,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Altern8,453728856,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Altern8,453728856,0,0,0,GG (2%): GG B1 Droideka B2 MagnaGuard
Altern8,453728856,17,17,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Altern8,453728856,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Jolee
StradsMan3,932773673,0,0,0,SEE P1 5%: SEE Malak Darth Talon Sith Marauder Vader
StradsMan3,932773673,1,1,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
StradsMan3,932773673,0,0,0,JKL + JML (6%): JKL JMLS JKA GAS Old Ben
StradsMan3,932773673,9,9,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
MCMC,454521453,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
MCMC,454521453,2,2,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
MCMC,454521453,0,0,0,JKL + JML (6%): JKL JMLS GAS GMY Old Ben
MCMC,454521453,9,9,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
TamTam,557479928,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
TamTam,557479928,0,0,0,JKL + JML (6%): JKL JMLS GAS GMY Old Ben
TamTam,557479928,8,8,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Noname Q,927523775,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Noname Q,927523775,24,24,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Noname Q,927523775,5,5,0,Padme 3%: Padme JKA GK Ahsoka C-3PO
KreigerXenos,282691815,8,8,0,Padme 3%: Padme JKA GK Ahsoka GMY
KreigerXenos,282691815,6,6,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
KreigerXenos,282691815,19,19,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
JMCampbell,889555414,0,0,0,JKL + JML (6%): JKL JMLS GAS GMY Old Ben
JMCampbell,889555414,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
JMCampbell,889555414,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Talyn Stormborn,173394124,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Talyn Stormborn,173394124,6,6,0,JMK (8%): JMK GK Ahsoka CAT JKA
Talyn Stormborn,173394124,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
