Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
MasterExploder,871232367,7,7,0,Grievous: GG B2 B1 Droideka MagnaGuard
MasterExploder,871232367,1,1,0,Dooku+Asajj: Dooku AV
MasterExploder,871232367,2,2,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
MasterExploder,871232367,5,1,4,Troopers: Veers Piett Gideon Dark Trooper Range Trooper G8 6*
KreigerXenos,282691815,1,1,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
KreigerXenos,282691815,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
KreigerXenos,282691815,0,0,0,Dooku+Asajj: Dooku AV
KreigerXenos,282691815,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Noname Q,927523775,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Noname Q,927523775,0,0,0,Dooku+Asajj: Dooku AV
Noname Q,927523775,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Noname Q,927523775,15,1,14,Troopers: Veers Piett G9 Starck Dark Trooper G7 Range Trooper G6
Jadenhawke,797846433,1,0,1,Grievous: GG B2 G11 B1 Droideka MagnaGuard
Jadenhawke,797846433,0,0,0,Dooku+Asajj: Dooku AV
Jadenhawke,797846433,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Jadenhawke,797846433,17,0,17,Troopers: Veers G10 Piett G11 Gideon G7 Dark Trooper G9 Range Trooper G6
Odog916,568143631,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Odog916,568143631,0,0,0,Dooku+Asajj: Dooku AV
Odog916,568143631,5,0,5,Troopers: Veers Piett Starck Dark Trooper G7 6* Range Trooper
StradsMan3,932773673,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
StradsMan3,932773673,0,0,0,Dooku+Asajj: Dooku AV
StradsMan3,932773673,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
StradsMan3,932773673,5,2,3,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper
GameMasterTy,638481212,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
GameMasterTy,638481212,1,1,0,Dooku+Asajj: Dooku AV
GameMasterTy,638481212,12,0,12,Geos: GBA G9 Poggle G9 Geo Soldier G11 Sun Fac G8 Geo Spy G11
Stu McGree,659723461,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Stu McGree,659723461,0,0,0,Dooku+Asajj: Dooku AV
Stu McGree,659723461,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Stu McGree,659723461,16,0,16,Troopers: Veers G7 Piett G11 Gideon G7 Dark Trooper G7 Range Trooper
Husky,426623327,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Husky,426623327,1,1,0,Dooku+Asajj: Dooku AV
Husky,426623327,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Husky,426623327,14,8,6,Troopers: Veers Piett Starck Dark Trooper G9 5* Range Trooper G9 6*
BLOODSHEDDER,889393569,9,0,9,Grievous: GG B2 G9 B1 G11 Nute G11 MagnaGuard G8
BLOODSHEDDER,889393569,0,0,0,Dooku+Asajj: Dooku AV
BLOODSHEDDER,889393569,17,0,17,Troopers: Veers Piett G7 5* Starck G9 Dark Trooper G9 5* Range Trooper G6 5*
