Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
GameMasterTy,638481212,58,58,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
GameMasterTy,638481212,0,0,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
GameMasterTy,638481212,59,3,56,Sith Eternal Emperor: EP Vader RG Piett Krennic G7 Sidious G7 Darth Maul G8 Dooku Sith Marauder R1 Imperial TIE Bomber JKA Thrawn Tarkin G8 Veers G12 Starck G10
GameMasterTy,638481212,59,59,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
Amish Thunder,176912959,59,2,57,Jedi Master Kenobi: GK R5 Bo-Katan G10 6* Aayla G12 Mace R1 Negotiator GG R4 Wat Tambor R3 MagnaGuard R2 Clone Sergeant R1 QGJ R1 GMY R5 Jango G12 Shaak Ti R4 Cad R1 Cody G12
Amish Thunder,176912959,59,59,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
Stu Karnus,531577471,59,0,59,Jedi Master Kenobi: GK Bo-Katan G13 Aayla G13 Mace G13 Negotiator GG R4 Wat Tambor G13 MagnaGuard R1 Clone Sergeant G13 QGJ G13 GMY R3 Jango G13 Shaak Ti R3 Cad G13 Cody G13
Stu Karnus,531577471,27,27,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing 6* Leia HYoda Wedge Biggs Lando
Stu Karnus,531577471,0,0,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Stu Karnus,531577471,59,59,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
Azrian Wayfinder,534697898,55,55,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
Azrian Wayfinder,534697898,42,42,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
Azrian Wayfinder,534697898,58,39,19,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious G13 Darth Maul R3 Dooku R1 Sith Marauder R1 Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
Azrian Wayfinder,534697898,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
StradsMan3,932773673,59,0,59,Jedi Master Kenobi: GK Bo-Katan G11 Aayla G12 Mace G13 Negotiator GG Wat Tambor R6 MagnaGuard R1 Clone Sergeant G12 QGJ G12 GMY R1 Jango G13 Shaak Ti R2 Cad G13 Cody G12
