Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Azrian Wayfinder,534697898,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Azrian Wayfinder,534697898,1,0,1,JMLS: JMLS JKL JKR R4 GMY HYoda
Azrian Wayfinder,534697898,13,2,11,EP: EP Mara Jade, The Emperor's Hand G11 6* Vader Thrawn R1 Malak
Azrian Wayfinder,534697898,26,0,26,Troopers: Veers R2 Piett Dark Trooper G9 Range Trooper G8 Starck R1
Azrian Wayfinder,534697898,33,1,32,Padme/BB: Padme Hunter G10 Echo G12 Tech G9 Wrecker G9
KrypticKaoz,945359717,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
KrypticKaoz,945359717,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
KrypticKaoz,945359717,16,0,16,EP: EP G12 Mara Jade, The Emperor's Hand Vader R4 Thrawn G12 Malak R2
KrypticKaoz,945359717,50,0,50,Padme/BB: Padme Hunter G12 Echo G1 Tech G1 Wrecker G8
Zayelt Yazmin,921894553,7,7,0,JMK: JMK CAT GK GAS Ahsoka
Zayelt Yazmin,921894553,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Zayelt Yazmin,921894553,22,2,20,EP: EP G12 Mara Jade, The Emperor's Hand G11 4* Vader Thrawn Malak G11 6*
Zayelt Yazmin,921894553,34,0,34,Padme/BB: Padme Hunter G10 6* Echo G9 5* Tech G10 5* Wrecker G9 6*
Zayelt Yazmin,921894553,42,1,41,Troopers: Veers G11 Piett G7 6* Dark Trooper G12 Range Trooper G9 6* Gideon G10
Daneth Guin,827981268,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Daneth Guin,827981268,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
DeathVader70,474878848,10,0,10,EP: EP Mara Jade, The Emperor's Hand G8 4* Vader Thrawn Malak
DeathVader70,474878848,34,2,32,CLS: CLS C-3PO G12 Han G11 Chewbacca G9 Chewpio G8 5*
DeathVader70,474878848,48,0,48,Padme/BB: Padme G12 Hunter G8 5* Echo G7 4* Tech G8 4* Wrecker G7 4*
DeathVader70,474878848,49,1,48,Troopers: Veers G9 Piett G8 5* Dark Trooper G9 5* Range Trooper G6 6* Gideon G10 5*
Andres,436292767,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Andres,436292767,25,2,23,EP: EP R3 Mara Jade, The Emperor's Hand G11 Vader R1 Thrawn G12 Malak R1
Andres,436292767,34,0,34,CLS: CLS G12 C-3PO R1 Han G11 Chewbacca G12 Chewpio G7
Garm Bel Iblis,326479556,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Garm Bel Iblis,326479556,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Nettles123,147898847,5,5,0,JMLS: JMLS JKL JKR GMY HYoda
Nettles123,147898847,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
