Player,Offense,Defense,GP,Name,Squad,Viable
"Michael313",,,169713,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Michael313",1,0,143762,CLS,"zzzCLS zHan zChewbacca zzC-3PO zChewpio",1
"Michael313",0,1,122303,DRMalak,"zzzDR HK-47 zBSF zzMalak Sith Empire Trooper",1
"Michael313",,,468019,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Michael313",,,280508,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Michael313",0,1,94575,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Michael313",0,1,119652,Grievous,"zzGG zB2 zB1 zDroideka zDooku",1
"Michael313",1,1,76446,Ewoks,"zChirpa G9, Elder Paploo G9, Wicket Logray G9",1
"Michael313",1,0,142519,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Michael313",0,1,103532,BH,"zzBossk zZam Dengar G9, zGreef Boba",1
"Michael313",1,1,119800,zEP,"zEP zzzVader Tarkin TFP zMara Jade, The Emperor's Hand",1
"Michael313",0,1,66988,Phoenix,"Hera G8, Zeb G8, Kanan G8, Ezra Chopper G8",1
"Michael313",1,0,62294,QiraNest,"Qira G8, zNest zHYoda",1
"Michael313",,,328541,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",0
"Michael313",1,1,97851,JTR,"JTR Scav Rey G8, BB-8 G8, zR2-D2 Finn G9",0
"Michael313",1,1,82091,Carth,"zCarth Onasi, Mission zZaalbar Juhani G7, Canderous",0
"Michael313",0,1,127730,BS,"BS zGMY zJolee zGK zJKA",0
"Wooteeki",,,159638,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Wooteeki",,,154330,Jabba,"zzzzzzJabba zBoushh (Leia Organa), zSkiff Guard (Lando Calrissian), zKrrsantan zBoba",1
"Wooteeki",1,0,144032,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Wooteeki",0,1,120967,padme,"zzPadme zGK zJKA zAhsoka zBarriss",1
"Wooteeki",1,1,107893,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"Wooteeki",,,430159,Negotiator,"Negotiator BTL-B Y-wing 6*, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Wooteeki",,,443827,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Wooteeki",1,0,117492,Traya,"zzTraya zDN zSion Sith Empire Trooper, zzThrawn",1
"Wooteeki",0,1,110188,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"Wooteeki",1,1,99013,JTR,"zzzJTR Scav Rey, zBB-8 zzR2-D2 Finn G9",1
"Wooteeki",,,104808,Mon Mothma,"zzMon Mothma, zCara Dune, zPao Hoth Rebel Scout, Bistan",1
"Wooteeki",1,1,132179,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Wooteeki",1,1,124834,Revan Offense,"zzzJKR zGMY zBS zJolee zzHYoda",1
"Wooteeki",1,1,87733,Ewoks,"zChirpa Elder Paploo zWicket zLogray",1
"Wooteeki",0,1,135124,BH,"zzBossk zzAurra zGreedo zDengar zFennec Shand",1
