Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Anaid Battlestar",232639512,4962788,2924338,2038450,143,33,43,179,1601720,1319059,79,0,85,0,195,9,20,52,71,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,8,8,4
"ƁułƄ",756759227,5232885,2733034,2499851,109,-199,339,408,1340490,1392544,120,8,344,2,184,52,62,83,87,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,14,7,6
"MarkSolo",323363645,6189518,3739900,2449618,152,270,260,398,2264799,1463866,135,7,358,3,211,46,75,100,120,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,18,8,7
"BoabyFett",497634819,6357158,3806540,2550618,149,107,221,407,2156540,1649324,147,3,390,2,233,55,76,105,126,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,18,10,8
"mini bendoverandpadme",165626818,5450993,3093244,2357749,131,-92,298,371,1599142,1494102,107,3,322,2,206,48,60,78,95,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,16,6,7
"clumptrees",621337751,4842642,2905475,1937167,149,-69,72,239,1518392,1386407,69,1,166,1,195,22,35,48,67,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,12,7,5
"I dont like sand",821321556,4218713,2431464,1787249,136,11,482,357,1319728,1111060,87,6,205,1,121,28,45,65,84,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,12,8,5
"AMG Ɓraƅus",687246264,3271671,1448667,1823004,79,374,448,385,917217,531450,58,3,225,1,94,35,39,42,46,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,7,4,2
"Bane533",861877851,6950891,4136612,2814279,146,-108,237,357,2112147,2006452,145,4,353,2,241,50,65,113,147,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,23,13,12
"EAsuxMolElizasNutts",464129617,6194404,3515610,2678794,131,-4,284,362,1894317,1621293,117,4,348,2,224,51,68,87,112,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,22,9,9
"ChiKinNunGet",334464454,4902639,2737404,2165235,126,0,292,295,1477767,1259637,82,5,190,0,169,25,43,64,83,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,13,8,7
"Anarchos",625945737,8799597,5310116,3489481,152,-61,293,559,2771378,2512289,154,7,877,7,270,126,148,169,182,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,10,9
"Baryton",735578438,7786254,4611475,3174779,145,127,78,443,2633654,1972636,184,8,532,4,242,81,103,136,151,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,21,10,9
"KevinMalone",529243471,4253266,2389072,1864194,128,-96,126,266,1232435,1155961,58,5,141,1,149,16,31,54,68,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,12,9,5
"lil commie285",168498541,4682364,2591747,2090617,123,-312,202,296,1197841,1393230,95,3,195,1,164,24,41,59,81,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,15,9,5
"Wooteeki",664573542,5847820,3677926,2169894,169,-46,263,394,1943845,1734081,159,3,274,2,233,26,62,114,139,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,20,11,9
"Goofrbums",523173384,4306809,2455826,1850983,132,219,333,364,1460286,995540,76,4,229,1,139,36,49,62,82,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,13,8,5
"Bane537",537892287,6081079,3477002,2604077,133,-218,316,362,1684028,1784640,118,1,356,1,203,50,68,81,109,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,20,12,10
"BoabyFett2",291311856,4320200,2651102,1669098,158,289,159,361,1622459,1028643,98,1,216,1,173,32,43,70,95,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,17,11,7
"Vultin",254925385,6164497,3373845,2790652,120,-161,311,288,1683904,1684393,83,5,250,1,224,34,49,79,117,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,17,8,10
"Dessel",495337171,4974628,2832576,2142052,132,-25,108,231,1511041,1320859,77,7,140,0,186,18,32,55,87,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,15,11,7
"MINI IMatthewH",375467754,4064209,2257412,1806797,124,-396,271,302,996556,1260856,76,3,164,1,142,19,37,53,82,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,15,9,9
"OrchDork2011",638984837,4171032,2552359,1618673,157,-73,127,227,1331385,1220298,77,0,104,1,177,11,26,48,80,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,11,8,6
"Michael313",914671268,4175716,2422431,1753285,138,234,550,381,1448982,973449,76,2,221,1,171,30,49,66,81,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,14,7,5
"Horgus Borgus Deluxe",927926657,5658336,3324094,2334242,142,-5,308,389,1790520,1533574,116,7,321,1,190,49,64,92,115,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,21,10,7
"JaYBuDi",451654465,5448494,3099317,2349177,131,221,309,410,1826707,1240245,103,6,383,1,192,61,68,79,99,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,14,6,4
"Jeffrey Jeffson",144314664,5469553,3124970,2344583,133,-32,205,287,1662273,1462021,90,3,177,0,188,19,45,77,108,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,17,7,8
"SecretId",732614324,4468370,2621182,1847188,141,48,79,285,1445521,1173011,83,0,173,2,170,24,35,58,74,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,12,9,6
"chrisgamercool",642211119,5029558,3011984,2017574,149,289,468,404,1843224,1168760,102,4,288,1,173,43,58,88,98,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,18,7,7
"Dark Killer",264861591,2172940,1462271,710669,205,-32,143,173,777315,684280,29,2,33,0,67,3,8,23,51,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3
"shrumpbupski",845831854,6453528,3665301,2788227,131,170,103,284,2129915,1526746,124,2,238,2,232,28,51,85,128,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,21,13,11
"Ang Skywalker4",963562998,6002908,3668943,2333965,157,145,85,392,2105918,1548769,134,7,337,0,172,44,79,89,102,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,13,9,5
"MasterJediBerlin",794111925,4100672,2487662,1613010,154,140,131,303,1429496,1057490,82,2,152,0,180,15,38,56,71,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,13,11,6
"YodaMaul32",745646286,3076116,1986741,1089375,182,317,70,301,1229271,757470,53,0,119,1,113,13,28,41,59,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,6,5,4
"QuiGonTequila",436688111,5024025,3066578,1957447,156,267,261,368,1859612,1206515,94,5,275,2,171,37,56,74,97,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,12,5,6
"Saldag",344218762,3901789,2101456,1800333,116,-219,282,290,1014984,1077220,56,5,171,1,148,26,37,42,55,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,8,4,4
"Asiago Ranch Chicken Club",218397595,6514874,3741568,2773306,134,13,141,321,2026948,1704161,139,1,266,1,236,34,53,103,134,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,23,14,12
"Paksenarrion",166374174,5250242,3065021,2185221,140,-22,276,361,1637619,1426726,104,10,305,2,174,47,57,72,98,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,13,5,5
"Merciless Wallet",916866254,4500060,2800576,1699484,164,-50,186,304,1470238,1316885,82,4,206,1,143,29,43,53,88,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,11,6,5
"magavaca",169868535,5748598,3223329,2525269,127,49,58,229,1777681,1440473,70,3,150,0,214,13,40,62,114,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,16,11,8
"Shrimplet596",799471548,5320425,3319167,2001258,165,-160,131,370,1659258,1658895,94,4,331,2,211,43,58,73,97,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,16,10,8
"Mos Def",368972514,5306439,3181048,2125391,149,-147,378,405,1600633,1579739,96,4,360,2,167,55,65,78,97,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,16,7,8
"CelticSasquatch",342685566,4640452,2725885,1914567,142,-68,161,254,1422509,1298155,67,6,166,1,170,30,32,53,83,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,17,11,10
"Historics Lekku",778152487,3659235,2069008,1590227,130,497,274,263,1372687,695645,34,1,127,1,115,19,25,46,56,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,6,6,3
"JaYBuDi",169673462,8305489,4888411,3417078,143,61,375,460,2714177,2174234,176,7,593,5,268,82,119,145,168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,25,9,11
"RobYBFHS JediMaster77",587751266,6009888,3430259,2579629,132,184,132,215,2006593,1417849,108,7,133,0,242,14,36,67,102,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,15,10,8
"izneb",859442792,4078765,2377750,1701015,139,50,277,337,1313774,1063300,67,3,209,1,174,28,42,54,67,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,11,8,4
