Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Michael313,914671268,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Michael313,914671268,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Michael313,914671268,2,2,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Michael313,914671268,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
JaYBuDi,451654465,0,0,0,Seps (1%): Dooku Jango Admiral Trench Nute GG
JaYBuDi,451654465,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
JaYBuDi,451654465,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Mos Def,368972514,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Mos Def,368972514,0,0,0,SEE P1 5%: SEE Malak Darth Malgus Darth Talon Sith Marauder
Mos Def,368972514,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Mos Def,368972514,35,35,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Mos Def,368972514,15,15,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
SecretId,732614324,6,6,0,JMK (8%): JMK GK Ahsoka CAT GAS
SecretId,732614324,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
clumptrees,621337751,25,25,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
clumptrees,621337751,0,0,0,SEE P1 5%: SEE Malak Darth Malgus Darth Talon Sith Marauder
QuiGonTequila,436688111,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
QuiGonTequila,436688111,0,0,0,JKL + JML (6%): JKL JMLS JKA GMY Old Ben
QuiGonTequila,436688111,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
QuiGonTequila,436688111,9,9,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Saldag,344218762,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
sissel,889533285,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Asiago Ranch Chicken Club,218397595,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Asiago Ranch Chicken Club,218397595,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
