Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Bane533,861877851,7,1,6,143747,Padme JKA Ahsoka G12 GK GMY
YodaMaul32,745646286,44,26,18,108463,Padme R3 JKA G11 Ahsoka R3 GK R4 GMY G12
BoabyFett2,291311856,7,5,2,133784,Padme JKA Ahsoka R4 GK GMY R4
Goofrbums,523173384,18,11,7,141386,Padme G13 JKA Ahsoka R3 GK GMY
lil commie285,168498541,37,26,11,124794,Padme R3 JKA Ahsoka G12 GK GMY R2
Paksenarrion,166374174,24,24,0,151421,Padme JKA Ahsoka GK GMY
Horgus Borgus Deluxe,927926657,8,4,4,133862,Padme JKA Ahsoka R3 GK GMY R3
OrchDork2011,638984837,29,11,18,118900,Padme R1 JKA Ahsoka G11 GK R1 GMY R2
MasterJediBerlin,794111925,44,33,11,122249,Padme JKA G12 Ahsoka R4 GK R4 GMY R2
Shrimplet596,799471548,61,36,25,111881,Padme G1 JKA Ahsoka G10 GK GMY
Wooteeki,664573542,15,6,9,127732,Padme R2 JKA Ahsoka R2 GK R3 GMY R4
mini bendoverandpadme,165626818,9,9,0,148290,Padme JKA Ahsoka GK GMY
Ang Skywalker4,963562998,4,1,3,143543,Padme JKA Ahsoka R2 GK GMY
Anaid Battlestar,232639512,34,28,6,129970,Padme R4 JKA R3 Ahsoka R3 GK R4 GMY
JaYBuDi,451654465,1,1,0,154439,Padme JKA Ahsoka GK GMY
Jeffrey Jeffson,144314664,18,1,17,116724,Padme G12 JKA R3 Ahsoka R2 GK GMY G12
EAsuxMolElizasNutts,464129617,3,3,0,146044,Padme JKA Ahsoka GK GMY
RobYBFHS JediMaster77,587751266,28,17,11,127369,Padme JKA G12 Ahsoka R4 GK GMY R1
Baryton,735578438,7,7,0,152331,Padme JKA Ahsoka GK GMY
Mos Def,368972514,0,0,0,150616,Padme JKA Ahsoka GK GMY
I dont like sand,821321556,12,10,2,146947,Padme JKA Ahsoka R3 GK GMY
ChiKinNunGet,334464454,20,4,16,117362,Padme G12 JKA R3 Ahsoka G12 GK GMY R3
BoabyFett,497634819,0,0,0,154327,Padme JKA Ahsoka GK GMY
shrumpbupski,845831854,5,0,5,135216,Padme R4 JKA Ahsoka R2 GK GMY R4
Asiago Ranch Chicken Club,218397595,5,0,5,133354,Padme JKA R4 Ahsoka GK GMY R1
JaYBuDi,169673462,0,0,0,154708,Padme JKA Ahsoka GK GMY
Dark Killer,264861591,32,13,19,109888,Padme R2 JKA R4 Ahsoka R2 GK G12 GMY G12
chrisgamercool,642211119,27,21,6,138906,Padme JKA G12 Ahsoka GK GMY
MarkSolo,323363645,0,0,0,150021,Padme JKA Ahsoka GK GMY
CelticSasquatch,342685566,6,0,6,122541,Padme JKA Ahsoka GK GMY G12
Vultin,254925385,37,37,0,145437,Padme JKA Ahsoka GK GMY
SecretId,732614324,8,4,4,138988,Padme R1 JKA Ahsoka GK GMY
ƁułƄ,756759227,0,0,0,158123,Padme JKA Ahsoka GK GMY
Saldag,344218762,16,5,11,132663,Padme R4 JKA G12 Ahsoka R1 GK GMY
Dessel,495337171,18,0,18,112248,Padme R3 JKA G12 Ahsoka R3 GK R3 GMY G12
QuiGonTequila,436688111,11,11,0,148551,Padme JKA Ahsoka GK GMY
Bane537,537892287,4,2,2,143795,Padme JKA Ahsoka R3 GK GMY
Michael313,914671268,11,5,6,134264,Padme R2 JKA Ahsoka R2 GK GMY
Historics Lekku,778152487,0,0,0,138116,Padme JKA Ahsoka GK GMY
Debt n Regret,916866254,6,0,6,137031,Padme JKA Ahsoka G12 GK GMY
this is the way,469462954,0,0,0,158048,Padme JKA Ahsoka GK GMY
MINI IMatthewH,375467754,0,0,0,142586,Padme JKA Ahsoka GK GMY
magavaca,169868535,37,20,17,114632,Padme R3 JKA G12 Ahsoka R3 GK R4 GMY G12
Vîctôr,111927549,33,6,27,95560,Padme G12 JKA G12 Ahsoka G12 GK GMY G9
sissel,889533285,47,25,22,109558,Padme G10 JKA G12 Ahsoka G12 GK R3 GMY
Anarchos,625945737,21,21,0,160958,Padme JKA Ahsoka GK GMY
clumptrees,621337751,36,21,15,122344,Padme JKA Ahsoka G12 GK R3 GMY G11
ОbiWan Kenzobi,199549711,0,0,0,151803,Padme JKA Ahsoka GK GMY
Ardoris,469179814,8,0,8,140660,Padme G12 JKA Ahsoka R3 GK GMY
