Player,Offense,Defense,GP,Name,Squad,Viable
"Ello Asty",,,167313,JMK,"zzzzzzJMK zJKA zGMY zzShaak Ti, zGK",1
"Ello Asty",,,409661,Profundity,"Profundity Han's MF, Outrider Rebel Y-wing, Cassian's U-wing, Biggs X-wing",1
"Ello Asty",1,1,153519,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"Ello Asty",,,159013,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Ello Asty",1,1,100490,NS,"zMT zzAV zDaka Zombie Spirit",1
"Ello Asty",,,571781,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Ello Asty",,,166754,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Ello Asty",1,0,142402,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Ello Asty",,,487893,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Ello Asty",,,307868,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Ello Asty",0,1,93127,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Ello Asty",0,1,118796,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"Ello Asty",1,0,126614,Traya,"zzTraya zDN zSion zzEP Sith Empire Trooper",1
"Ello Asty",1,1,123186,JTR,"zzzJTR Scav Rey, zBB-8 zzR2-D2 RT",1
"Ello Asty",1,0,113073,Troopers,"zVeers zzPiett Gideon zDark Trooper, Range Trooper",1
"Ello Asty",,,112894,Mon Mothma,"zzMon Mothma, zCara Dune, Bistan zPao Wedge",1
"Ello Asty",1,1,81886,Ewoks,"zChirpa Elder Paploo Wicket Logray G9",1
"Ello Asty",0,1,137941,BH,"zzBossk Cad Jango Dengar zBoba",1
"Ello Asty",1,0,120284,501st,"zRex zARC Trooper, zEcho (501st), zzFives zAhsoka",1
"Ello Asty",0,1,82490,Phoenix,"Hera Zeb G8, Kanan G8, Ezra Sabine",1
"Ello Asty",1,0,64586,QiraNest,"Qira zNest zzHYoda",1
"Ello Asty",,,115551,Phasma,"Phasma FOTP FOSFTP FOST zKylo",0
"Ello Asty",,,123518,Admiral Raddus,"zAdmiral Raddus, Cassian Jyn zK-2SO Chirrut",0
"Ello Asty",1,1,94918,Carth,"zCarth Onasi, zMission zZaalbar Vandor Chewbacca G9, zCanderous",0
"Ello Asty",,,74663,Iden Troopers,"zIden Versio G8, Stormtrooper G8, Snowtrooper Magma G8, DT",0
"Ello Asty",1,0,120210,zMaul,"Darth Maul, zDooku zSidious Savage Sith Marauder",0
"Ello Asty",,,70071,Bad Batch,"Hunter Echo G8, Omega G8, Tech G9, Wrecker G8",0
"Agon Thalia",,,123301,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Agon Thalia",1,1,157327,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Agon Thalia",,,159528,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Agon Thalia",1,1,160856,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zHoldo zRH Finn",1
"Agon Thalia",0,1,97912,Qira,"zQira L3-37 Vandor Chewbacca, zMission zZaalbar",1
"Agon Thalia",1,1,119381,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Agon Thalia",,,162990,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Agon Thalia",1,0,148971,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Agon Thalia",0,1,131257,padme,"zzPadme zGK zJKA zAhsoka zBarriss",1
"Agon Thalia",,,489846,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing, Clone Sergeant's ARC-170, Plo's SF",1
"Agon Thalia",,,472102,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Agon Thalia",0,1,109221,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Agon Thalia",0,1,122772,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"Agon Thalia",1,0,120928,Traya,"zzTraya zzDN zSion zzEP Sith Empire Trooper",1
"Agon Thalia",,,100026,Mon Mothma,"zzMon Mothma, zCara Dune, Scarif Hoth Rebel Scout, Pao",1
"Agon Thalia",1,0,111798,Troopers,"zVeers zzPiett zzGideon zDark Trooper, Range Trooper",1
"Agon Thalia",,,120553,Disintegration,"zAurra zzGreef zBoba zzBossk zzThe Mandalorian",1
"Agon Thalia",1,1,92978,Ewoks,"zChirpa Elder Paploo zWicket zLogray",1
"Agon Thalia",1,0,134944,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Agon Thalia",0,1,110211,BH,"zzJango zGreedo Krrsantan zDengar zZam",1
