Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Jdiddy,978136238,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Ockalmighty,945643169,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
MikMak,173352618,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Maath Faselli,832951186,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Ayrbud,127417214,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
LongTaco15,837681387,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Agon Thalia,754961339,21,6,15,Vader+Nute 12%: Vader Nute G13 Thrawn Wat Tambor G13 Traya G13
EOD Dad,397586672,13,6,7,Vader+Nute 12%: Vader Nute R1 Thrawn R3 Wat Tambor R4 Traya
DrDarkRoast,181267235,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Blaster08,855782277,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Endcreed,553515637,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
DarthWilkin,389859454,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
BarJudah,941577746,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Sovereign,528537612,19,5,14,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G11 Traya
Banse,819626936,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Szero99,287595833,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
Andlu Liown,517837385,25,12,13,Vader+Nute 12%: Vader Nute Thrawn R1 Wat Tambor G9 Traya
IG8888,532896938,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Ello Asty,217261571,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Insidious,473183224,28,16,12,Vader+Nute 12%: Vader Nute Thrawn G12 Wat Tambor Traya G12
Josiah Zethno,797935243,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
AmazingRando,655592634,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Amanda,899225175,14,14,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Blur,731183844,14,0,14,Vader+Nute 12%: Vader Nute G12 Thrawn R3 Wat Tambor Traya G12
Ace of Spades,961835484,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Corran Croft,585441817,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Bhaal182,447195826,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
JaYwEsT,748986972,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
JakeKuchta,648487887,29,17,12,Vader+Nute 12%: Vader Nute R3 Thrawn R3 Wat Tambor R3 Traya G12
San Holo,688424765,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
lilgreko09,287945662,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
TDU,976589444,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Havoc22,349836582,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
El Torres,685238688,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
DarthGwalt,865769187,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Vanilla,168137321,6,6,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Demitri,451289817,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Nexo Fox,335979679,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
BaByHaGriD,368566945,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
MINI KingFD34,995572385,4,0,4,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor R1 Traya
DarthCan,892618853,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
beatis,245435316,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
cj9702,817688184,18,6,12,Vader+Nute 12%: Vader Nute Thrawn G12 Wat Tambor Traya G12
Mini Bedrock888,263259111,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Mafrah,584754876,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Nano,858259842,12,12,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Neøn,319665283,14,4,10,Vader+Nute 12%: Vader Nute G12 Thrawn R3 Wat Tambor Traya R3
TheSlayer91,978664557,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
duck,635468945,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Bev el Agua,614383692,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
