Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Endcreed,553515637,10,10,0,JMK: JMK CAT GK GAS Ahsoka
Endcreed,553515637,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Endcreed,553515637,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Endcreed,553515637,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Endcreed,553515637,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Endcreed,553515637,14,0,14,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper R2 Gideon R2
Strickattack,762693744,0,0,0,Troopers: Veers Piett Dark Trooper Range Trooper Gideon
Strickattack,762693744,10,2,8,JMK: JMK CAT GK GAS G10 6* Ahsoka
Strickattack,762693744,19,0,19,EP: EP Mara Jade, The Emperor's Hand G9 Vader Thrawn G8 6* Malak
Strickattack,762693744,41,10,31,CLS: CLS G12 C-3PO Han G11 Chewbacca G10 Chewpio G8
Demitri,451289817,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Demitri,451289817,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Demitri,451289817,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
Demitri,451289817,0,0,0,Troopers: Veers Piett Dark Trooper Range Trooper Starck
Demitri,451289817,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Demitri,451289817,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Demitri,451289817,6,4,2,JMK: JMK CAT GK GAS Ahsoka R3
Bev el Agua,614383692,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Bev el Agua,614383692,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Bev el Agua,614383692,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Bev el Agua,614383692,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Bev el Agua,614383692,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
Bev el Agua,614383692,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Bev el Agua,614383692,16,0,16,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper G12 Starck R3
First And Foremost,173918281,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
First And Foremost,173918281,13,0,13,Troopers: Veers R3 Piett Dark Trooper Range Trooper G9 5* Gideon R3
First And Foremost,173918281,34,0,34,CLS: CLS G12 C-3PO R3 Han G10 Chewbacca G10 Chewpio G8 5*
MikMak,173352618,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
MikMak,173352618,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
MikMak,173352618,32,2,30,Troopers: Veers G11 Piett Dark Trooper G9 5* Range Trooper G11 5* Gideon G11 5*
MikMak,173352618,39,0,39,Padme/BB: Padme Hunter G8 5* Echo G8 4* Tech G9 5* Wrecker G8
cj9702,817688184,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
cj9702,817688184,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
cj9702,817688184,33,15,18,Troopers: Veers G12 Piett Dark Trooper Range Trooper G12 Gideon G12
cj9702,817688184,31,11,20,EP: EP R3 Mara Jade, The Emperor's Hand G12 Vader Thrawn G12 RG G12
Corran Croft,585441817,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Corran Croft,585441817,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Corran Croft,585441817,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Corran Croft,585441817,9,9,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Corran Croft,585441817,20,20,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Corran Croft,585441817,27,0,27,Troopers: Veers G12 Piett Dark Trooper G12 Range Trooper G9 Gideon G12
