Player,Offense,Defense,GP,Name,Squad,Viable
"ObiWanKenobi",0,1,124138,padme,"zzPadme zGK JKA zAhsoka zzC-3PO",1
"ObiWanKenobi",,,281986,HansMF,"Home One, Han's MF 5*, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"ObiWanKenobi",0,1,87675,Geonosians,"GBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"ObiWanKenobi",0,1,116795,Grievous,"zGG zB2 zB1 zDroideka zMagnaGuard",1
"ObiWanKenobi",1,1,86291,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"ObiWanKenobi",0,1,116899,BH,"zzJango Bossk G9, Cad Zam zBoba",1
"ObiWanKenobi",1,1,87694,zEP,"zEP zVader Tarkin Dooku TFP G8",1
"ObiWanKenobi",0,1,71050,Phoenix,"Hera G9, Chopper G8, Ezra Zeb G9, Kanan G9",1
"ObiWanKenobi",1,1,59937,Rogue1,"Jyn G8, Chirrut G8, Baze G8, Cassian K-2SO G8",1
"ObiWanKenobi",,,61698,Phasma,"Phasma G9, FOTP G7, FOO G8, KRU G8, Kylo G9",0
"ObiWanKenobi",,,393375,Negotiator,"Negotiator 6* BTL-B Y-wing 4*, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",0
"ObiWanKenobi",1,1,73674,JTR,"JTR G9, Scav Rey, BB-8 G8, R2-D2 Finn G9",0
"ObiWanKenobi",1,1,68699,NS_Alt,"MT G8, zzAV Talia G9, Spirit G8, Daka G9",0
"ObiWanKenobi",1,0,100383,ShaakClones,"zzShaak Ti, Rex Echo (501st) G8, Fives Clone Sergeant",0
"ObiWanKenobi",1,1,47741,Carth,"Carth Onasi G9, Mission 5* G7, Zaalbar 4* G7, Juhani 4* G8, Canderous 6* G8",0
"ObiWanKenobi",1,0,68481,Wiggs,"Wedge G8, Biggs G8, CLS G9, Han Chewbacca G9",0
"ObiWanKenobi",1,0,55028,Troopers,"Veers G9, Starck G5, Shoretrooper G8, Stormtrooper G8, Snowtrooper",0
"ObiWanKenobi",0,1,89483,BS,"BS 5* G9, zzGMY Jolee G8, zOld Ben, HYoda 5* G8",0
"Randal Houisth",,,164861,JMK,"zzzzzzJMK zJKA zGMY zzShaak Ti, zGK",1
"Randal Houisth",,,167055,SEE,"zzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Randal Houisth",,,560926,Executor,"Executor 5* HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Randal Houisth",,,494251,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Randal Houisth",,,298831,HansMF,"Home One, Han's MF, Rebel Y-wing 6*, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Biggs X-wing",1
"Randal Houisth",0,1,99017,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Randal Houisth",0,1,124909,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"Randal Houisth",1,0,128923,Traya,"zzTraya zDN zSion Sith Empire Trooper, zThrawn",1
"Randal Houisth",1,0,131414,Troopers,"zVeers zzPiett zzGideon zDark Trooper, Range Trooper",1
"Randal Houisth",1,1,83314,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Randal Houisth",0,1,144881,BH,"zzBossk zJango zIG-88 Dengar zBoba",1
"Randal Houisth",1,1,107367,Carth,"zCarth Onasi, zMission zZaalbar Juhani zCanderous",1
"Randal Houisth",1,0,123789,501st,"zRex zARC Trooper, zEcho (501st), zzFives zAhsoka",1
"Randal Houisth",1,0,129352,zMaul,"zDarth Maul, zSidious zDooku Sith Marauder, zNest",1
"Randal Houisth",0,1,64184,Phoenix,"Hera G8, Ezra G8, Sabine G8, Zeb G8, Kanan G8",1
"Randal Houisth",1,0,114068,EP (Counter, Rebel),"zzEP Shoretrooper zKrennic DT Starck",1
"Randal Houisth",,,45305,Phasma,"Phasma G8, FOTP G5, FOSFTP G1, FOST 5* G8, Kylo G8",0
"Randal Houisth",1,0,79602,CLS,"CLS G8, Han G9, Chewbacca G9, zC-3PO Chewpio G9",0
"Randal Houisth",,,286005,Malevolence,"Malevolence 5* Hyena Bomber 6*, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",0
"Randal Houisth",1,1,79990,JTR,"JTR G8, Scav Rey, zBB-8 zR2-D2 G8, Finn G8",0
"Randal Houisth",1,1,72554,NS,"MT G8, zAV Daka G8, Zombie G9, Spirit G8",0
"Randal Houisth",,,71278,Mon Mothma,"zMon Mothma G8, Chirrut G8, Pao G9, Baze G8, Cara Dune G8",0
"Nerf Herder",0,1,142873,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Nerf Herder",1,1,107538,NS_Alt,"zMT zzAV Zombie Talia zDaka",1
