Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Elshondo",848839342,7756394,4782051,2974343,160,-121,221,478,2417640,2335769,164,9,635,5,252,97,114,130,156,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,20,6,9
"Azrael",117388825,6672964,3894974,2777990,140,24,430,417,2117914,1767339,120,4,434,2,227,63,83,109,137,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,22,9,8
"Randal Houisth",821337555,6486117,3675571,2810546,130,-155,225,337,1832914,1831565,116,6,325,2,222,46,65,89,106,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,16,4,7
"DarthElshondo",689163274,5907049,3607134,2299915,156,249,186,341,2165544,1437429,131,11,293,1,214,42,61,82,106,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,18,10,8
"Wicket87",165669563,7163360,3944883,3218477,122,54,173,385,2164714,1751756,121,6,447,2,257,74,85,102,120,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,20,10,7
"Shmeeegzz",734912572,5957446,3606519,2350927,153,381,117,319,2284252,1318858,109,7,262,2,210,42,54,84,113,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,15,5,8
"Kaveman",419233423,7839774,4573110,3266664,139,54,142,323,2519366,2039131,181,15,175,0,273,24,28,191,192,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,26,11,12
"DanPal37",413355852,4394154,2430218,1963936,123,-220,105,298,1176893,1253325,59,4,185,1,161,27,40,54,87,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,13,9,7
"Azrael0442",649841613,2795882,1718480,1077402,159,-234,171,326,825968,892512,50,1,111,0,115,17,26,43,61,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,11,8,5
"Namazu",775456321,3478794,1995512,1483282,134,-65,179,346,1042629,952207,54,4,173,0,160,28,34,52,58,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,8,5,4
"Schmiticus",488999866,5709881,3410922,2298959,148,-63,237,366,1779351,1622540,109,6,317,2,218,50,63,83,108,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,15,6,7
"Perez",298324787,5403124,3202929,2200195,145,79,54,263,1781259,1406111,96,0,71,0,228,3,35,93,119,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,15,11,8
"Rabbit4t2",922828851,5272395,3134264,2138131,146,13,107,325,1699059,1434529,88,8,249,2,211,33,54,68,94,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,15,7,5
"Enora",264866834,3421316,2019549,1401767,144,-27,116,303,1074024,944849,54,3,135,1,166,22,31,46,56,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,8,5,4
"Bel Zetafar",616826226,4447114,2562879,1884235,136,-103,85,276,1314818,1247610,54,7,124,0,164,13,42,56,77,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,11,6,6
"BIGFern69",264513616,4372299,2625525,1746774,150,-417,263,470,1127805,1470707,117,10,329,1,128,41,58,82,90,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,11,7,4
"TritonDankwalker66",818912973,3903368,2351995,1551373,151,-130,191,311,1191139,1160180,60,4,163,1,124,26,34,55,70,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,10,7,5
"AmbitiousButRubbish",899278233,5477305,3107294,2370011,131,-178,319,380,1531465,1565560,108,7,323,2,195,51,64,80,96,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,16,6,8
"The Battleooze",673371964,5032306,2762946,2269360,121,5,164,234,1492791,1269479,65,8,174,0,199,31,32,51,74,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,15,7,6
"Jawa7778",725233668,5117386,3138724,1978662,158,-468,208,345,1310880,1799410,109,9,258,2,171,39,55,70,86,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,14,6,6
"Godspeed",953335522,4321003,2388970,1932033,123,-99,206,308,1222929,1155913,72,3,177,1,151,19,40,58,82,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,11,5,5
"Ur An Ugly Piece of",379598722,5642579,3302135,2340444,141,-183,192,337,1628620,1672839,109,5,267,2,200,38,52,85,101,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,16,9,7
"Delara Exibil",195416517,7765212,4465163,3300049,135,-41,215,398,2354917,2099029,158,7,453,3,260,64,91,128,162,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,24,8,9
"BRG Space Whale Herder",314931295,5110874,2990325,2120549,141,-96,70,232,1539798,1450527,73,2,173,1,173,28,34,50,79,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,12,8,7
"Nerf Herder",979465369,5894350,3541222,2353128,150,-102,102,226,1803106,1709729,86,2,199,1,196,29,38,56,101,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,11,9,4
"Ninjastatten",864833164,3782955,2377339,1405616,169,2,101,284,1279914,1091625,62,5,149,0,162,23,29,49,66,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,12,7,6
"MINI Hazedog",733479192,5058587,3064101,1994486,153,150,120,294,1761914,1294465,77,5,225,1,188,34,44,60,82,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,13,7,5
"Rabhuhn",482518827,3686334,2207137,1479197,149,54,275,354,1219176,987961,78,4,163,1,131,21,40,58,80,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,7,4,4
"BuoyantBanana",315925368,3574392,2246269,1328123,169,685,50,261,1591545,651991,51,1,128,1,169,15,29,39,57,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,7,4,3
"wngsprd",436314662,4472949,2571907,1901042,135,-354,119,341,1158950,1412281,74,1,214,1,198,33,45,65,81,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,10,7,4
"fives deserved better",578758976,5401932,3286259,2115673,155,-81,102,402,1704365,1581218,91,6,337,2,173,48,64,86,104,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,12,5,5
