Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
BuoyantBanana,315925368,14,0,14,L0 Jawas: Nebit G4 Jawa Engineer G6 Jawa Scavenger G5 Dathcha G5 Jawa G6
The Battleooze,673371964,7,0,7,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian G9 Greedo G8
The Battleooze,673371964,20,0,20,L1 Jawas: Nebit G8 5* Jawa Engineer G8 5* Jawa Scavenger G8 Dathcha G8 Jawa G8
The Battleooze,673371964,20,0,20,L1 Tuskens: Tusken Chieftain G8 3* Tusken Raider G8 Tusken Shaman G8 Tusken Warrior G8 3* URoRRuR'R'R G8
DarthElshondo,689163274,12,0,12,L1 BAM: The Mandalorian (Beskar Armor) G8 Jango Cad The Mandalorian G8 Greedo G8
DarthElshondo,689163274,1,0,1,L0 Jawas: Nebit Jawa Engineer Jawa Scavenger Dathcha Jawa G7 6*
DarthElshondo,689163274,5,0,5,L0 Tuskens: Tusken Chieftain G7 3* Tusken Raider G7 Tusken Shaman G7 Tusken Warrior G7 3* URoRRuR'R'R G7 5*
Godspeed,953335522,4,0,4,L6 Jabba: Jabba R7 Boushh (Leia Organa) R7 Krrsantan R7 Skiff Guard (Lando Calrissian) R7 Boba
Godspeed,953335522,4,0,4,L2 BAM: The Mandalorian (Beskar Armor) G12 Jango Cad G12 The Mandalorian Greedo
ObiWanKenobi,984572597,6,0,6,L1 BAM: The Mandalorian (Beskar Armor) G11 Jango Cad The Mandalorian G11 Greedo G8
ObiWanHardeen,494714142,4,0,4,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian Greedo G8
ObiWanHardeen,494714142,4,0,4,L1 Maul: Maul Sabine G8 5* Bo-Katan Canderous Armorer
ObiWanHardeen,494714142,12,0,12,L1 Tuskens: Tusken Chieftain G9 5* Tusken Raider G9 Tusken Shaman G9 Tusken Warrior G9 5* URoRRuR'R'R
Shmeeegzz,734912572,5,0,5,L1 BAM: The Mandalorian (Beskar Armor) G11 Jango Cad The Mandalorian Greedo G8
Shmeeegzz,734912572,11,0,11,L1 Jawas: Nebit G9 Jawa Engineer G11 Jawa Scavenger G11 Dathcha G9 Jawa G9
DarthTrusion,277857633,4,0,4,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian Greedo G8
Azrael,117388825,2,0,2,L5 Jabba: Jabba Boushh (Leia Organa) Krrsantan Skiff Guard (Lando Calrissian) R5 Boba
Azrael,117388825,2,0,2,L4 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian R3 Greedo
Azrael,117388825,15,0,15,L1 Tuskens: Tusken Chieftain G8 3* Tusken Raider G8 Tusken Shaman G9 Tusken Warrior G8 3* URoRRuR'R'R
TritonDankwalker66,818912973,9,0,9,L1 BAM: The Mandalorian (Beskar Armor) G8 Jango Cad The Mandalorian G11 Greedo G8 6*
Jabbaa Da Shrutt,699467699,4,0,4,L0 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian Greedo G4
MINI Hazedog,733479192,1,0,1,L0 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian Greedo G7
MINI Hazedog,733479192,4,0,4,L0 Tuskens: Tusken Chieftain 3* Tusken Raider G7 Tusken Shaman Tusken Warrior G7 3* URoRRuR'R'R G6
Randal Houisth,821337555,2,0,2,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian G11 Embo G11
Randal Houisth,821337555,18,0,18,L1 Tuskens: Tusken Chieftain G8 3* Tusken Raider G10 Tusken Shaman G8 Tusken Warrior G8 3* URoRRuR'R'R G8
Eggnog,742172597,6,0,6,L1 BAM: The Mandalorian (Beskar Armor) G9 Jango Cad The Mandalorian G9 Greedo
Eggnog,742172597,12,0,12,L1 Jawas: Nebit G10 Jawa Engineer G11 Jawa Scavenger G9 Dathcha G9 Jawa G9
Wicket87,165669563,2,0,2,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian G10 Greedo
Wicket87,165669563,14,0,14,L1 Jawas: Nebit G8 Jawa Engineer G9 Jawa Scavenger G10 Dathcha G9 Jawa G10
Bel Zetafar,616826226,18,0,18,L1 Jawas: Nebit G8 Jawa Engineer G8 Jawa Scavenger G8 Dathcha G8 Jawa G10
Sloth,661261825,4,0,4,L1 Maul: Maul Sabine G8 Bo-Katan Canderous Armorer
Sloth,661261825,8,0,8,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian G8 Greedo G8
L0RD SAVITAR,767465911,7,0,7,L1 BAM: The Mandalorian (Beskar Armor) G10 Jango Cad The Mandalorian G10 Greedo G9
L0RD SAVITAR,767465911,1,0,1,L0 Jawas: Nebit Jawa Engineer Jawa Scavenger G7 Dathcha Jawa
L0RD SAVITAR,767465911,1,0,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider G7 Tusken Shaman Tusken Warrior 3* URoRRuR'R'R 6*
Namazu,775456321,2,0,2,L1 Jawas: Nebit Jawa Engineer G11 6* Jawa Scavenger Dathcha Jawa G11 6*
Jawa7778,725233668,10,0,10,L1 BAM: The Mandalorian (Beskar Armor) Jango G10 Cad G8 The Mandalorian Greedo G8
Jawa7778,725233668,6,0,6,L0 Tuskens: Tusken Chieftain G7 3* Tusken Raider G7 Tusken Shaman G7 Tusken Warrior G7 3* URoRRuR'R'R G6 5*
Nerf Herder,979465369,10,0,10,L1 BAM: The Mandalorian (Beskar Armor) G8 Jango G11 Cad G11 The Mandalorian G11 Greedo G9
Nerf Herder,979465369,14,0,14,L1 Jawas: Nebit G8 Jawa Engineer G10 Jawa Scavenger G9 Dathcha G10 Jawa G9 5*
Nerf Herder,979465369,18,0,18,L1 Tuskens: Tusken Chieftain G8 3* Tusken Raider G8 Tusken Shaman G8 Tusken Warrior G9 3* URoRRuR'R'R G9 6*
wngsprd,436314662,5,0,5,L0 Jawas: Nebit G7 Jawa Engineer G7 Jawa Scavenger G7 Dathcha G7 Jawa G7
Rabbit4t2,922828851,7,0,7,L1 BAM: The Mandalorian (Beskar Armor) G8 Jango Cad The Mandalorian G9 Greedo
Rabbit4t2,922828851,16,0,16,L0 Jawas: Nebit G2 Jawa Engineer G5 Jawa Scavenger G4 Dathcha G5 Jawa
Benstr8ballin,269281965,5,0,5,L1 BAM: The Mandalorian (Beskar Armor) Jango G11 Cad The Mandalorian Greedo G8
Elshondo,848839342,2,0,2,L1 BAM: The Mandalorian (Beskar Armor) G10 Jango Cad The Mandalorian Greedo
Elshondo,848839342,6,0,6,L1 Maul: Maul Sabine G8 Bo-Katan Canderous Armorer G10
Elshondo,848839342,12,0,12,L1 Jawas: Nebit G8 Jawa Engineer G9 Jawa Scavenger G10 Dathcha G9 Jawa
Elshondo,848839342,12,0,12,L1 Tuskens: Tusken Chieftain G8 4* Tusken Raider Tusken Shaman G8 Tusken Warrior G8 5* URoRRuR'R'R
NotFromEarth,127234541,5,0,5,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian G11 Greedo G8
NotFromEarth,127234541,15,0,15,L1 Jawas: Nebit G8 Jawa Engineer G10 Jawa Scavenger G8 Dathcha G10 Jawa G9
NotFromEarth,127234541,7,0,7,L0 Maul: Maul Sabine Bo-Katan G1 Canderous Armorer
Delara Exibil,195416517,4,0,4,L2 BAM: The Mandalorian (Beskar Armor) Jango G12 Cad The Mandalorian Greedo G12
Delara Exibil,195416517,1,0,1,L0 Jawas: Nebit Jawa Engineer Jawa Scavenger G7 Dathcha Jawa
AmbitiousButRubbish,899278233,1,0,1,L0 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian Greedo G7
Enora,264866834,15,0,15,L1 Jawas: Nebit G9 Jawa Engineer G9 Jawa Scavenger G9 Dathcha G9 Jawa G9 5*
Perez,298324787,2,0,2,L2 BAM: The Mandalorian (Beskar Armor) Jango Cad G12 The Mandalorian Embo
Kaveman,419233423,10,0,10,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa G12
Kaveman,419233423,4,0,4,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian G8 Embo
Kaveman,419233423,8,0,8,L1 Tuskens: Tusken Chieftain G8 5* Tusken Raider Tusken Shaman Tusken Warrior G8 5* URoRRuR'R'R
Schmiticus,488999866,7,0,7,L1 BAM: The Mandalorian (Beskar Armor) G8 Jango G11 Cad The Mandalorian G10 Greedo
Invective,753888611,7,0,7,L1 BAM: The Mandalorian (Beskar Armor) G8 Jango Cad G11 The Mandalorian G11 Greedo G11
Invective,753888611,12,0,12,L1 Jawas: Nebit G10 Jawa Engineer G11 Jawa Scavenger G8 Dathcha G11 Jawa G8
Ur An Ugly Piece of,379598722,4,0,4,L2 Maul: Maul Sabine G12 Bo-Katan Canderous G12 Armorer
Ur An Ugly Piece of,379598722,1,0,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior G7 3* URoRRuR'R'R
GrandMasterSparty,688953846,4,0,4,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian Greedo G8
