Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
NotFromEarth,127234541,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
NotFromEarth,127234541,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
NotFromEarth,127234541,0,0,0,SEE P1 5%: SEE Malak Vader Sith Marauder Darth Malgus
Azrael,117388825,7,7,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Azrael,117388825,3,3,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Azrael,117388825,0,0,0,JKL + JML (6%): JKL JMLS JKA GAS Old Ben
PadmesHubby,827621144,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Elshondo,848839342,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Elshondo,848839342,0,0,0,GG (2%): GG B1 Droideka B2 MagnaGuard
Elshondo,848839342,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Dooku Darth Talon
Elshondo,848839342,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Elshondo,848839342,0,0,0,JKL + JML (6%): JKL JMLS JKR GMY Old Ben
Elshondo,848839342,15,15,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Elshondo,848839342,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Sloth,661261825,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Sloth,661261825,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Sloth,661261825,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Sloth,661261825,0,0,0,SEE P1 5%: SEE Malak DR Sith Marauder Darth Talon
ObiWanHardeen,494714142,2,2,0,GG (2%): GG B1 Droideka B2 HK-47
ObiWanHardeen,494714142,28,28,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
ObiWanHardeen,494714142,18,18,0,Padme 3%: Padme JKA GK Ahsoka GMY
ObiWanHardeen,494714142,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
ObiWanHardeen,494714142,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
GrandMasterSparty,688953846,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
GrandMasterSparty,688953846,13,13,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Enora,264866834,6,6,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Jawa7778,725233668,9,9,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Jawa7778,725233668,0,0,0,SEE P1 5%: SEE Malak DR Vader Sith Marauder
Ninjastatten,864833164,4,4,0,Padme 3%: Padme JKA GK Ahsoka GMY
Ninjastatten,864833164,15,15,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
The Battleooze,673371964,19,19,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Brooks,675754931,22,22,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Brooks,675754931,24,24,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
Brooks,675754931,27,27,0,Padme 3%: Padme JKA GK Ahsoka GMY
BRG Space Whale Herder,314931295,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
AmbitiousButRubbish,899278233,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
AmbitiousButRubbish,899278233,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
AmbitiousButRubbish,899278233,0,0,0,Seps (1%): Dooku Jango B1 GBA GG
AmbitiousButRubbish,899278233,6,6,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
DarthElshondo,689163274,0,0,0,JKL + JML (6%): JKL JMLS HYoda GAS Old Ben
DarthElshondo,689163274,2,2,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
DarthElshondo,689163274,12,12,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
DarthElshondo,689163274,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Nerf Herder,979465369,13,13,0,Padme 3%: Padme JKA GK Ahsoka C-3PO
Nerf Herder,979465369,16,16,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Invective,753888611,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Invective,753888611,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Invective,753888611,0,0,0,SEE P1 5%: SEE Malak Vader Sith Marauder EP
Invective,753888611,1,1,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Schmiticus,488999866,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Schmiticus,488999866,0,0,0,Padme 3%: Padme JKA GK Ahsoka R2-D2
Schmiticus,488999866,0,0,0,JKL + JML (6%): JKL JMLS HYoda JKR Old Ben
Schmiticus,488999866,3,3,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
wngsprd,436314662,0,0,0,SEE P1 5%: SEE Malak Vader Sith Marauder EP
wngsprd,436314662,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
fives deserved better,578758976,0,0,0,Seps (1%): Dooku Jango Geo Spy AV GBA
fives deserved better,578758976,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
fives deserved better,578758976,8,8,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
fives deserved better,578758976,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
