Player,Offense,Defense,GP,Name,Squad,Viable
"DragonMaster007",0,1,137613,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"DragonMaster007",,,121619,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
"DragonMaster007",,,466884,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"DragonMaster007",,,305271,HansMF,"Home One, Han's MF 5*, HT Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"DragonMaster007",,,118508,Nute-Wat,"zNute zDooku zWat Tambor 6* G9, zJango zNest",1
"DragonMaster007",1,1,156080,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"DragonMaster007",1,1,110519,Revan Offense,"zzzJKR zGMY BS zJolee HYoda",1
"DragonMaster007",1,1,82411,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"DragonMaster007",1,1,82712,Carth,"Carth Onasi, Mission Zaalbar Juhani Canderous G8",1
"DragonMaster007",1,1,132840,zEP,"zzEP zzzVader Tarkin zzTraya zDN",1
"DragonMaster007",0,1,69272,Phoenix,"Hera G8, Ezra Sabine G8, Kanan G8, Zeb G8",1
"DragonMaster007",1,0,130087,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zChewpio 6*",0
"DragonMaster007",0,1,85663,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"DragonMaster007",,,86517,Disintegration,"Aurra 5* Greef Boba Bossk 5* zThe Mandalorian",0
"DragonMaster007",1,0,62382,Troopers,"Veers 4* G7, Starck G7, zzPiett 3* G9, Range Trooper 4*, Stormtrooper",0
"DragonMaster007",1,0,17880,SionSolo (Counter),"zSion 6*",0
"Officer Smooth Brain",,,174042,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Officer Smooth Brain",,,169604,LV,"zzzzzzLord Vader, zzPiett zzzMaul RG zzzVader",1
"Officer Smooth Brain",,,120396,Phasma,"zPhasma FOTP FOSFTP zFOST zKylo",1
"Officer Smooth Brain",1,1,162725,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Officer Smooth Brain",,,163525,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"Officer Smooth Brain",0,1,103289,Qira,"zQira L3-37 zVandor Chewbacca, zMission zZaalbar",1
"Officer Smooth Brain",1,1,163427,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zRH Poe, zRH Finn",1
"Officer Smooth Brain",1,1,126559,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Officer Smooth Brain",,,595067,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Tie Adv, TIE Reaper",1
"Officer Smooth Brain",1,0,146195,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Officer Smooth Brain",,,512124,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Officer Smooth Brain",,,330722,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Officer Smooth Brain",,,145241,JKL,"zzJKL zzzJKR zzHYoda zzOld Ben, zBarriss",1
"Officer Smooth Brain",,,478956,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Officer Smooth Brain",0,1,133213,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Officer Smooth Brain",1,0,135500,Traya,"zzTraya zDN zSion zzEP Sith Empire Trooper",1
"Officer Smooth Brain",,,110361,Mon Mothma,"zzMon Mothma, zPao Scarif zCara Dune, Hoth Rebel Scout",1
"Officer Smooth Brain",,,132164,Disintegration,"Aurra zzGreef zBoba zzBossk zThe Mandalorian",1
"Officer Smooth Brain",1,1,85119,Ewoks,"zChirpa Elder Paploo Wicket zLogray",1
"Officer Smooth Brain",1,0,152131,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Officer Smooth Brain",0,1,143984,BH,"zzJango Zam zDengar zBoba Fett, Scion of Jango, zNest",1
"Officer Smooth Brain",1,0,121090,Troopers,"zVeers zStarck zDT Magma zDark Trooper",1
"Officer Smooth Brain",1,0,102864,Wiggs,"Wedge Biggs zFulcrum zEzra Leia",1
"Officer Smooth Brain",0,1,81009,Phoenix,"Hera Sabine Kanan G8, Chopper Zeb G8",1
"Officer Smooth Brain",1,1,108498,Rogue1,"zJyn Chirrut Baze Cassian K-2SO",1
"Officer Smooth Brain",,,151948,Bad Batch,"zHunter zEcho zzOmega zTech zWrecker",1
"Officer Smooth Brain",1,0,115517,zMaul,"zDarth Maul, zSidious Sith Assassin, zSavage Sith Marauder",1
"Officer Smooth Brain",1,0,68933,Jawas,"Nebit G9, Jawa Engineer G9, Jawa Scavenger G8, Jawa G9, Dathcha",1
"Officer Smooth Brain",0,1,107211,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"CaptainRecker",,,126061,Phasma,"zPhasma zFOTP FOSFTP zFOST Kylo",1
"CaptainRecker",1,1,160249,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn",1
"CaptainRecker",,,178712,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzVader",1
"CaptainRecker",,,294648,HansMF,"Home One, Han's MF, HT Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"CaptainRecker",1,0,108495,Traya,"zzTraya DN Sion G8, zzEP Sith Empire Trooper G8",1
"CaptainRecker",1,0,124016,Troopers,"zVeers zzPiett zGideon zDark Trooper, Range Trooper",1
"CaptainRecker",,,93077,Disintegration,"Aurra G9, Greef Boba Bossk zThe Mandalorian",1
"CaptainRecker",1,1,129128,Revan,"zzzJKR BS zGMY Jolee GK",1
"CaptainRecker",1,1,87318,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"CaptainRecker",0,1,63286,Phoenix,"Hera G8, Ezra G8, Kanan G8, Chopper G8, Zeb G8",1
"CaptainRecker",,,343926,Negotiator,"Negotiator 6* BTL-B Y-wing 4*, Anakin's Eta-2 5*, Rex's ARC-170 6*, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",0
"CaptainRecker",1,0,63780,CLS,"CLS G9, Han G8, Chewbacca G9, R2-D2 G8, Chewpio 4* G6",0
"CaptainRecker",0,1,76817,Geonosians Omicron,"zGBA G9, Sun Fac G8, Geo Soldier, Geo Spy G9, Poggle G9",0
"CaptainRecker",1,1,58633,NS,"MT G8, AV G8, Daka G9, Zombie G8, Spirit 6* G8",0
