Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"CaptainRecker",664645297,5274581,3254707,2019874,161,-473,277,412,1345342,1877454,75,6,392,2,187,58,68,71,90,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,10,4,5
"Greg",468297123,4070914,2397094,1673820,143,-310,151,264,1100408,1296010,42,5,143,1,160,20,30,49,69,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,7,4,5
"Officer Smooth Brain",488683323,8821954,5201065,3620889,143,96,578,523,2914229,2286836,210,5,746,6,269,100,146,167,193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,29,10,12
"Rook to E1",886585651,4918723,2880137,2038586,141,-153,802,490,1434946,1445191,93,4,366,2,165,49,74,94,107,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,15,6,6
"MINI DarthSmit",928261287,4791426,2740325,2051101,133,-101,511,385,1400852,1339473,89,5,284,2,157,37,57,71,85,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,13,6,6
"T boy 3",259354979,4912252,2933859,1978393,148,58,205,380,1615924,1317259,108,4,239,1,172,34,55,84,104,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,18,9,8
"Vaders Wrath",529633452,9339538,5624239,3715299,151,-6,507,542,2993012,2602609,210,4,839,7,288,120,153,186,201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,10,9
"CT 7567",349191421,4312795,2207153,2105642,104,-609,377,295,849269,1357208,67,5,183,1,192,32,34,57,63,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,10,5,4
"Vaexqua Grupen",388193425,2353048,1383691,969357,142,-388,254,303,608432,775259,43,2,77,1,80,11,21,35,54,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,7,5,3
"Gordy McSkyGuy",665648246,6875217,4097453,2777764,147,70,98,383,2266371,1824002,141,6,333,2,226,43,92,105,133,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,19,14,10
"Mast3r",358438749,3775673,2217341,1558332,142,-117,99,296,1124372,1092293,42,4,160,1,138,20,31,49,60,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,7,6,4
"ManõWar",718134452,4024131,2330560,1693571,137,-30,432,367,1232795,1097765,89,6,209,1,137,29,45,61,92,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,14,10,8
"Wace Mindu",744987494,5609894,3108354,2501540,124,-199,380,346,1513256,1595098,106,3,291,2,191,40,56,80,105,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,18,8,7
"D Money",154714722,7745503,4545187,3200316,142,101,220,341,2545479,1986225,187,7,296,3,270,38,76,129,177,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,26,13,11
"Philpy Unchained",511993888,8287024,4775332,3511692,135,181,500,462,2776972,1998360,203,4,621,4,264,91,117,142,174,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,27,10,10
"MINI Wolfee 2",483848246,7329184,4250780,3078404,138,-49,466,443,2227586,2023194,154,5,534,4,239,80,98,120,149,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,26,12,10
"Hęnrįquin Rėvølucionärio",467891779,3983419,2157078,1826341,118,2,343,406,1158291,998787,63,4,239,1,139,33,52,62,78,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,14,8,7
"mystic kai",895242639,5481644,3418785,2062859,165,-107,144,466,1742913,1675872,116,11,378,3,188,50,81,99,118,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,20,10,11
"CC 2224",455353329,4509306,2310819,2198487,105,-623,433,305,880947,1429196,70,5,193,1,194,32,37,62,68,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,9,4,3
"TheSoupMaster",333183638,3382051,2209042,1173009,188,615,292,358,1523009,686033,76,4,171,1,127,23,38,49,67,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,10,6,5
"EL MANDALORIANO",481474476,5939263,3375419,2563844,131,3,135,241,1808860,1557222,111,8,187,1,216,23,38,68,93,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,10,6,3
"Rosario Central",363619233,4324059,2481243,1842816,134,-337,120,200,1117386,1354410,65,5,103,1,187,12,20,46,75,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,9,6,6
"Chatty",623332958,4639815,2923413,1716402,170,103,245,337,1634590,1271792,80,1,202,0,165,24,47,69,91,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,15,11,7
"BringMeTheWookie",678365692,5314356,3162274,2152082,146,-219,119,397,1523303,1638971,106,4,347,3,177,40,68,74,98,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,12,8,5
"AndySkywalker",347134145,6866855,4224694,2642161,159,-13,578,454,2251896,1972122,156,10,490,4,234,72,96,118,139,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,20,9,11
"CT 5555",814919958,4303009,2192337,2110672,103,-612,376,296,841498,1350163,67,5,183,1,189,32,34,57,63,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,10,5,4
"Xouma",974389471,4100904,2289933,1810971,126,-202,328,284,1113272,1176661,69,4,159,1,176,21,33,52,68,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,12,4,5
"Giran Twitchin",214195595,3361045,1597741,1763304,90,-272,200,257,748888,848853,42,2,117,1,128,20,23,40,58,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,9,6,3
"CC 5576",854419318,4499777,2303746,2196031,104,-625,427,305,876856,1426214,70,5,193,1,193,32,37,62,68,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,9,4,3
"Ewilipsic",726888589,5322263,3102353,2219910,139,28,370,387,1686215,1416138,107,7,330,1,178,51,62,78,99,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,15,7,6
"McGʉffιη",474274391,5700595,3083183,2617412,117,-211,180,301,1491438,1591745,87,5,269,2,213,33,54,64,81,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,12,6,4
"Jet Maxwell III",297794728,6641842,4000724,2641118,151,-74,206,449,2065540,1923943,120,4,483,3,231,62,95,107,131,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,19,6,9
"Force Wielding Caveman",121617387,8723575,5282332,3441243,153,55,347,545,2897851,2368310,203,5,761,6,273,99,150,174,199,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,26,10,11
"MrsCrow",644614815,1673576,955127,718449,132,-338,35,227,431491,522960,9,1,60,0,57,9,12,14,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0
"Gordy McSkywalker",231875318,8515134,5083967,3431167,148,142,171,462,2902858,2172348,213,5,525,3,260,69,126,163,193,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,23,9,10
"Jacke Aiche",269852122,5349839,3046484,2303355,132,-26,128,370,1614049,1431759,86,4,342,1,183,47,58,72,88,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,16,10,6
"DragonMaster007",138339774,3725660,2306762,1418898,162,57,212,319,1270553,1036209,75,4,171,1,136,23,34,51,74,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,12,9,5
"Doomed",819216489,3427198,1638106,1789092,91,-399,275,231,716068,922038,36,2,121,1,130,19,22,33,42,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,8,4,3
"Dakaf Fyrewalker",319311646,10659675,6439236,4220439,152,15,390,697,3459848,2944387,167,12,1450,7,296,215,225,229,234,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,9,9
"Nova51",713489383,7140883,4034869,3106014,129,-92,252,357,2071735,1963134,151,9,391,1,254,57,81,96,125,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,23,11,11
"Giran Kenor Twitchin",441134558,5700508,2965752,2734756,108,-206,299,380,1432802,1521861,103,2,344,2,194,51,62,86,96,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,16,6,6
"ChrisCarter",399125674,4411569,2593374,1818195,142,-277,177,282,1211991,1380707,67,7,128,1,187,14,30,69,83,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,10,8,4
"dedal",591162744,3766318,2042101,1724217,118,-221,277,297,982898,1059203,49,5,165,1,156,23,36,43,63,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,11,7,5
"XavierSpud's Demonslayer",136937923,7584726,4411922,3172804,139,162,451,453,2539304,1861887,174,7,421,4,239,54,113,147,169,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,23,8,10
"MINI Flash Wayne",298613176,5082817,2991320,2091497,143,-251,239,256,1417202,1574118,88,6,203,1,187,30,37,53,99,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,17,11,8
"LilBåby Том",465871768,2179136,1201919,977217,122,265,720,243,724226,477693,41,1,65,0,76,8,16,24,38,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,9,8,4
"FedeRox",753788473,2603359,1465960,1137399,128,-496,248,309,605431,860529,47,2,113,1,102,11,25,33,46,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,5,3,2
"Nall1986",557293475,8150150,4712743,3437407,137,169,403,450,2725893,1986174,180,6,597,4,268,91,110,138,167,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,26,11,12
"KageSkywalker",616323741,4502983,2837229,1665754,170,238,217,385,1690186,1146367,76,6,233,1,158,41,47,80,87,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,13,9,6
