Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
MINI DarthSmit,928261287,12,12,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
MINI DarthSmit,928261287,0,0,0,SEE P1 5%: SEE Malak EP Vader Sith Marauder
J48W,444427259,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
BringMeTheWookie,678365692,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
BringMeTheWookie,678365692,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Swagfrog4,564259685,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Swagfrog4,564259685,0,0,0,JKL + JML (6%): JKL JMLS HYoda JKR Old Ben
Nall1986,557293475,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Nall1986,557293475,0,0,0,Seps (1%): Dooku Jango GBA GG Nute
Nall1986,557293475,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Nall1986,557293475,0,0,0,JKL + JML (6%): JKL JMLS Jolee GMY Old Ben
Nall1986,557293475,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Nall1986,557293475,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Nall1986,557293475,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Nall1986,557293475,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Range Trooper Dark Trooper
Nall1986,557293475,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
D Money,154714722,6,6,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
D Money,154714722,0,0,0,JKL + JML (6%): JKL JMLS JKA HYoda Old Ben
Chatty,623332958,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Giran Twitchin,214195595,1,1,0,GG (2%): GG B1 Droideka B2 Chewpio
Giran Twitchin,214195595,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Greg,468297123,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Łord Thragg,434287123,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Łord Thragg,434287123,0,0,0,JKL + JML (6%): JKL JMLS Shaak Ti GMY Old Ben
Łord Thragg,434287123,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
T boy 3,259354979,2,2,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
T boy 3,259354979,0,0,0,Seps (1%): Dooku Jango GG Nute B1
Mortus,647791474,0,0,0,SEE P1 5%: SEE Malak EP Vader Sith Marauder
MrsCrow,644614815,8,8,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Beskar is Back,388193425,9,9,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Vaders Wrath,529633452,0,0,0,JKL + JML (6%): JKL JMLS HYoda GMY Old Ben
Vaders Wrath,529633452,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Vaders Wrath,529633452,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Vaders Wrath,529633452,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Vaders Wrath,529633452,0,0,0,Seps (1%): Dooku Jango AV GG Nute
Vaders Wrath,529633452,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
Vaders Wrath,529633452,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Vaders Wrath,529633452,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Vaders Wrath,529633452,0,0,0,SEE P1 5%: SEE Malak Darth Malgus Sith Marauder Darth Talon
CaptainRecker,664645297,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
CaptainRecker,664645297,0,0,0,SEE P1 5%: SEE Malak Darth Malgus Sith Marauder Darth Talon
MINI Flash Wayne,298613176,0,0,0,SEE P1 5%: SEE Malak EP Vader Sith Marauder
