Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Mol Eliza Furys Fist,516818155,2,0,2,CLS: CLS C-3PO R3 Han Chewbacca Chewpio
Mol Eliza Furys Fist,516818155,28,0,28,Troopers: Veers G10 Piett Dark Trooper R3 Range Trooper G8 Starck G10
McGʉffιη,474274391,7,0,7,EP: EP Mara Jade, The Emperor's Hand G11 Vader Thrawn Malak
McGʉffιη,474274391,15,7,8,JMK: JMK CAT R3 GK GAS Ahsoka G12
McGʉffιη,474274391,26,0,26,Troopers: Veers R3 Piett Dark Trooper G7 Range Trooper G7 Starck R3
McGʉffιη,474274391,36,11,25,CLS: CLS R3 C-3PO R3 Han G9 Chewbacca R3 Chewpio G8
mystic kai,895242639,2,2,0,JMLS: JMLS JKL JKR GMY HYoda
mystic kai,895242639,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
mystic kai,895242639,9,2,7,EP: EP Mara Jade, The Emperor's Hand G11 6* Vader Thrawn Malak
mystic kai,895242639,12,2,10,Troopers: Veers R3 Piett Dark Trooper Range Trooper G12 Starck R3
ManõWar,718134452,10,10,0,JMLS: JMLS JKL JKR GMY HYoda
ManõWar,718134452,6,6,0,CLS: CLS C-3PO Han Chewbacca Chewpio
ManõWar,718134452,4,0,4,EP: EP Mara Jade, The Emperor's Hand R3 Vader Thrawn R3 Malak
J48W,444427259,22,1,21,EP: EP G12 Mara Jade, The Emperor's Hand G12 Vader Thrawn G12 Malak R2
J48W,444427259,37,0,37,Padme/BB: Padme Hunter G9 Echo G9 Tech G9 Wrecker G8
J48W,444427259,24,0,24,CLS: CLS R1 C-3PO G12 Han R1 Chewbacca R1 Chewpio G12
XavierSpud's Demonslayer,136937923,6,6,0,JMK: JMK CAT GK GAS Ahsoka
XavierSpud's Demonslayer,136937923,4,4,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
XavierSpud's Demonslayer,136937923,4,0,4,JMLS: JMLS JKL JKR R1 GMY HYoda
XavierSpud's Demonslayer,136937923,2,0,2,CLS: CLS R3 C-3PO Han Chewbacca Chewpio
XavierSpud's Demonslayer,136937923,17,2,15,Troopers: Veers R3 Piett Dark Trooper G13 Range Trooper G12 Starck R3
XavierSpud's Demonslayer,136937923,36,0,36,Padme/BB: Padme R2 Hunter G11 5* Echo G10 3* Tech G10 4* Wrecker G8 6*
Force Wielding Caveman,121617387,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Force Wielding Caveman,121617387,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Force Wielding Caveman,121617387,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
Force Wielding Caveman,121617387,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Force Wielding Caveman,121617387,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
Force Wielding Caveman,121617387,4,0,4,Troopers: Veers R3 Piett Dark Trooper Range Trooper R3 Gideon
Nova51,713489383,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
Nova51,713489383,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Nova51,713489383,2,0,2,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG R3
