Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Ghost Nappa",365784761,5115295,3065234,2050061,149,146,204,281,1761298,1303936,95,2,161,1,202,18,39,73,123,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,18,10,7
"jhitt7",612627154,4728021,2824130,1903891,148,186,327,351,1650260,1173194,79,3,220,1,197,21,52,70,93,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,15,10,5
"Sometime ago I",735232346,7155423,4003999,3151424,127,84,381,355,2233633,1759523,154,6,377,2,236,50,72,107,156,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,25,11,9
"Dexter",259247871,7408571,4464563,2944008,151,26,212,413,2432174,2031713,177,5,451,3,249,64,89,127,154,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,22,10,9
"Kyo Perthar",447523615,4027976,2451030,1576946,155,-105,98,212,1254513,1195841,79,1,102,1,148,14,20,45,74,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,10,8,6
"Mo Yin",524533215,7398806,4323483,3075323,140,-70,307,405,2250338,2072469,202,5,415,3,247,46,90,127,148,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,25,12,12
"Bruhmoment",185679354,3475221,2199425,1275796,172,66,146,314,1220020,978729,57,8,161,1,100,23,30,47,60,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,6,4,3
"Serpens",645725141,5722496,3484571,2237925,155,235,103,271,2075520,1401959,108,3,197,1,223,25,46,70,98,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,16,11,6
"Jason",467564358,8675871,5159327,3516544,146,-14,427,446,2754826,2397283,226,9,624,7,283,87,119,144,168,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,11,12
"IceStoy",298744196,5058087,3061941,1996146,153,-136,156,331,1543786,1517479,90,7,254,2,168,31,49,68,91,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,11,7,5
