Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
skull crusher,776436941,14,0,14,L1 Old Republic: JKR G9 BS G10 Jolee G8 Mission G8 Zaalbar G11
skull crusher,776436941,11,0,11,L1 Jawas: Nebit G8 Jawa Engineer G11 Jawa Scavenger G11 Dathcha G10 Jawa G9
Dexter,259247871,6,0,6,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar
Dexter,259247871,2,0,2,L1 BH: Boba Jango Cad The Mandalorian G10 Embo
Dexter,259247871,1,0,1,L0 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G7 Armorer
Dexter,259247871,1,0,1,L0 Jawas: Nebit Jawa Engineer Jawa Scavenger Dathcha Jawa G7
Mo Yin,524533215,6,0,6,L2 Old Republic: JKR BS G12 Jolee Mission G12 Zaalbar G12
Mo Yin,524533215,4,0,4,L1 BH: Boba Jango Cad The Mandalorian G8 Embo
Qin Phfal,237375819,6,0,6,L1 Maul: Maul G9 Sabine Bo-Katan Canderous Armorer G9
Qin Phfal,237375819,4,0,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Qin Phfal,237375819,4,0,4,L5 BH: Boba Jango Cad R5 The Mandalorian R6 Greedo R6
Qin Phfal,237375819,1,0,1,L0 Jawas: Nebit Jawa Engineer G7 Jawa Scavenger Dathcha Jawa
Qin Phfal,237375819,13,12,1,L0 Tuskens: Tusken Chieftain 4* Tusken Raider Tusken Shaman Tusken Warrior 4* URoRRuR'R'R
Chirrut Îmwe,592673129,5,0,5,L2 Maul: Maul G12 The Mandalorian (Beskar Armor) Bo-Katan Canderous G12 Armorer G13
Chirrut Îmwe,592673129,4,0,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Chirrut Îmwe,592673129,5,0,5,L1 BH: Boba Jango Cad The Mandalorian G11 Greedo G8
Chirrut Îmwe,592673129,4,0,4,L0 Jawas: Nebit Jawa Engineer G7 Jawa Scavenger G7 Dathcha G7 Jawa G7 4*
jhitt7,612627154,6,0,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
jhitt7,612627154,1,0,1,L0 Jawas: Nebit Jawa Engineer Jawa Scavenger G7 Dathcha Jawa
jhitt7,612627154,2,0,2,L0 BH: Boba Jango Cad The Mandalorian G7 Greedo G7
Texte239,847319871,4,0,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Texte239,847319871,1,0,1,L0 BH: Boba Jango Cad The Mandalorian G7 Embo
Diath,858559118,10,0,10,L5 Old Republic: JKR R5 BS R5 Jolee R5 Mission R5 Zaalbar R5
Diath,858559118,2,0,2,L2 BH: Boba Jango Cad The Mandalorian Embo G12
Diath,858559118,10,0,10,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa G12
Diath,858559118,8,7,1,L0 Tuskens: Tusken Chieftain 4* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
Serpens,645725141,1,0,1,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar
Serpens,645725141,2,0,2,L2 BH: Boba Jango Cad The Mandalorian Greedo G12
Serpens,645725141,6,0,6,L0 Jawas: Nebit Jawa Engineer G6 Jawa Scavenger G7 Dathcha G6 Jawa G7 6*
Serpens,645725141,4,0,4,L0 Tuskens: Tusken Chieftain G7 3* Tusken Raider G6 Tusken Shaman G7 Tusken Warrior 3* URoRRuR'R'R 6*
JohnnyUtah,454898459,1,0,1,L1 Old Republic: JKR BS Jolee Mission Zaalbar G11
JohnnyUtah,454898459,4,0,4,L1 BH: Boba Jango Cad The Mandalorian G8 Greedo
JohnnyUtah,454898459,1,0,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider G7 Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
JohnnyUtah,454898459,13,0,13,L0 Jawas: Nebit G7 Jawa Engineer G5 Jawa Scavenger G3 Dathcha G4 Jawa
Vel'Train,455642849,7,0,7,L1 BH: Boba Jango G11 Cad The Mandalorian G10 Greedo G8
MINI KingSteel,254276153,4,0,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
MINI KingSteel,254276153,4,0,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
Q92,261337715,4,0,4,L2 Old Republic: JKR BS G12 Jolee Mission Zaalbar G12
Q92,261337715,5,0,5,L1 BH: Boba Jango Cad The Mandalorian G11 Embo G8
Ghost Nappa,365784761,2,0,2,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar G11
Ghost Nappa,365784761,7,0,7,L1 BH: Boba Jango G11 Cad G11 The Mandalorian G10 Greedo G9
swine destroyer,938382827,2,0,2,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar G11
swine destroyer,938382827,4,3,1,L0 BH: Boba Jango Cad The Mandalorian 4* Greedo
BearLee,387139863,4,0,4,L2 Old Republic: JKR BS G12 Jolee Mission G12 Zaalbar
BearLee,387139863,2,0,2,L2 BH: Boba Jango Cad G12 The Mandalorian Embo
BearLee,387139863,1,0,1,L1 Jawas: Nebit G11 Jawa Engineer Jawa Scavenger Dathcha Jawa
BearLee,387139863,13,12,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 5* URoRRuR'R'R
乂ιρ,691737775,11,0,11,L1 Old Republic: JKR BS Jolee G8 Mission G9 Zaalbar G8
乂ιρ,691737775,7,0,7,L1 BH: Boba G9 Jango Cad G11 The Mandalorian Greedo G9
Zack,426488714,1,0,1,L1 Old Republic: JKR BS G11 Jolee Mission Zaalbar
Zack,426488714,5,0,5,L1 BH: Boba Jango Cad The Mandalorian G10 Greedo G9
Zack,426488714,2,0,2,L0 Tuskens: Tusken Chieftain 3* Tusken Raider G7 Tusken Shaman Tusken Warrior G7 3* URoRRuR'R'R 5*
IceStoy,298744196,4,0,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
IceStoy,298744196,5,0,5,L1 BH: Boba Jango Cad The Mandalorian G10 Embo G9 5*
Metatron72,588623761,4,0,4,L2 Maul: Maul G12 The Mandalorian (Beskar Armor) Bo-Katan Canderous G12 Armorer
Metatron72,588623761,4,0,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Metatron72,588623761,2,0,2,L2 BH: Boba Jango Cad The Mandalorian Greedo G12
Metatron72,588623761,4,0,4,L1 Jawas: Nebit G11 Jawa Engineer G11 Jawa Scavenger G11 Dathcha G11 Jawa
Metatron72,588623761,5,4,1,L0 Tuskens: Tusken Chieftain 4* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
R2D2,889324759,2,0,2,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar
R2D2,889324759,2,0,2,L1 BH: Boba Jango Cad The Mandalorian G10 Greedo
R2D2,889324759,12,0,12,L1 Jawas: Nebit G8 Jawa Engineer G10 Jawa Scavenger G9 Dathcha G9 Jawa
R2D2,889324759,4,3,1,L0 Tuskens: Tusken Chieftain 4* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
MaxRanavan,121954532,1,0,1,L1 Old Republic: JKR BS Jolee Mission Zaalbar G11
MaxRanavan,121954532,4,0,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8 6*
Rellik,484158711,1,0,1,L1 Old Republic: JKR BS Jolee Mission Zaalbar G11
Rellik,484158711,3,0,3,L1 BH: Boba Jango Cad The Mandalorian G9 Greedo
Rellik,484158711,10,0,10,L2 Jawas: Nebit G12 Jawa Engineer G12 Jawa Scavenger G12 Dathcha G12 Jawa G12
Rellik,484158711,11,10,1,L0 Tuskens: Tusken Chieftain 4* Tusken Raider Tusken Shaman Tusken Warrior 5* URoRRuR'R'R
Vaha68,517167991,8,0,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
Vaha68,517167991,1,0,1,L1 BH: Boba Jango Cad The Mandalorian G11 Greedo
Vaha68,517167991,11,0,11,L1 Jawas: Nebit G9 Jawa Engineer G10 Jawa Scavenger G10 Dathcha G11 Jawa G9
Vaha68,517167991,10,9,1,L0 Tuskens: Tusken Chieftain 4* Tusken Raider Tusken Shaman Tusken Warrior 5* URoRRuR'R'R
BabyGoat851,996376328,3,0,3,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar G10
BabyGoat851,996376328,3,0,3,L1 BH: Boba Jango Cad The Mandalorian G10 Greedo G11
BabyGoat851,996376328,5,0,5,L0 Jawas: Nebit G7 Jawa Engineer G7 Jawa Scavenger G5 Dathcha Jawa
BabyGoat851,996376328,13,0,13,L0 Tuskens: Tusken Chieftain G6 4* Tusken Raider G2 Tusken Shaman G6 Tusken Warrior G6 3* URoRRuR'R'R G7
Emperor63,113299429,2,0,2,L0 BH: Boba Jango Cad The Mandalorian Greedo G6
Emperor63,113299429,10,0,10,L0 Jawas: Nebit G4 Jawa Engineer G7 Jawa Scavenger G5 Dathcha Jawa G6 6*
Emperor63,113299429,2,0,2,L0 Tuskens: Tusken Chieftain 3* Tusken Raider G7 Tusken Shaman Tusken Warrior 3* URoRRuR'R'R G7 6*
Orion,951862265,2,0,2,L2 Jabba: Jabba G12 Boushh (Leia Organa) Krrsantan Skiff Guard (Lando Calrissian) Boba
Orion,951862265,6,0,6,L2 Old Republic: JKR BS Jolee G12 Mission G12 Zaalbar G12
Orion,951862265,1,0,1,L1 Tuskens: Tusken Chieftain G11 5* Tusken Raider Tusken Shaman Tusken Warrior URoRRuR'R'R
Orion,951862265,11,0,11,L1 Jawas: Nebit G8 Jawa Engineer G9 Jawa Scavenger G11 Dathcha G9 Jawa
Bigs Little,617228366,4,0,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Bigs Little,617228366,2,0,2,L1 BH: Boba Jango Cad The Mandalorian Greedo G10
Bigs Little,617228366,2,0,2,L0 Jawas: Nebit Jawa Engineer G7 Jawa Scavenger G7 Dathcha Jawa
DarthSinister,787198725,7,0,7,L3 Old Republic: JKR BS R2 Jolee R1 Mission R1 Zaalbar R1
DarthSinister,787198725,4,0,4,L1 BH: Boba Jango Cad The Mandalorian G8 Embo
DarthSinister,787198725,6,0,6,L1 Jawas: Nebit G11 Jawa Engineer G11 Jawa Scavenger G10 Dathcha Jawa G10
JRobertson12,221913824,8,0,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
JRobertson12,221913824,7,0,7,L1 BH: Boba G11 Jango Cad The Mandalorian G10 6* Greedo G8
Ωhme,449894731,5,0,5,L1 Old Republic: JKR BS G11 Jolee G11 Mission G10 Zaalbar G11
Ωhme,449894731,3,0,3,L0 BH: Boba Jango Cad The Mandalorian Greedo G5
Bruhmoment,185679354,4,3,1,L0 BH: Boba Jango Cad The Mandalorian 4* Embo
xGhostCaliberx,855417377,4,0,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
xGhostCaliberx,855417377,5,0,5,L1 BH: Boba Jango Cad The Mandalorian G11 Greedo G8
MasterShep2,332979431,2,0,2,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar G11
MasterShep2,332979431,1,0,1,L1 BH: Boba Jango Cad The Mandalorian Greedo G11
Neko,449267729,8,0,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
Neko,449267729,3,0,3,L0 BH: Boba Jango Cad The Mandalorian Greedo G5
Neko,449267729,1,0,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider G7 Tusken Shaman Tusken Warrior 3* URoRRuR'R'R 5*
Connor,287586656,8,0,8,L2 Old Republic: JKR BS G12 Jolee G12 Mission G12 Zaalbar G12
Connor,287586656,8,0,8,L1 BH: Boba G11 Jango Cad The Mandalorian G8 Greedo G9
Connor,287586656,32,0,32,L0 Jawas: Nebit G1 Jawa Engineer G4 Jawa Scavenger G1 Dathcha G1 Jawa G1
Inquísìtor Strize,486434149,5,0,5,L5 BH: Boba Jango Cad R5 The Mandalorian R5 Greedo R6
CT5555,981748341,4,0,4,L1 Old Republic: JKR BS Jolee Mission G10 Zaalbar G10
CT5555,981748341,6,0,6,L1 BH: Boba Jango G11 Cad The Mandalorian G11 Greedo G8
Ralthor,639153363,4,0,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Ralthor,639153363,2,0,2,L2 BH: Boba Jango Cad The Mandalorian Greedo G12
Ralthor,639153363,1,0,1,L1 Jawas: Nebit Jawa Engineer Jawa Scavenger Dathcha Jawa G11 6*
Jason,467564358,6,0,6,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan R5 Skiff Guard (Lando Calrissian) R5 Boba
Jason,467564358,10,0,10,L2 Old Republic: JKR G12 BS G12 Jolee G12 Mission G12 Zaalbar G12
Jason,467564358,11,0,11,L1 Jawas: Nebit G8 Jawa Engineer G9 Jawa Scavenger G9 Dathcha G11 Jawa
Jason,467564358,4,0,4,L0 Maul: Maul G6 Sabine Bo-Katan Canderous Armorer G6
Jason,467564358,5,0,5,L0 Tuskens: Tusken Chieftain G6 4* Tusken Raider Tusken Shaman Tusken Warrior G5 3* URoRRuR'R'R
Daadcity,444374162,5,0,5,L1 Old Republic: JKR BS Jolee G11 Mission G11 Zaalbar G9
Daadcity,444374162,3,0,3,L0 BH: Boba Jango Cad The Mandalorian Greedo G5
Bearzerker,224595239,2,0,2,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G12 Armorer
Bearzerker,224595239,4,0,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Bearzerker,224595239,3,0,3,L1 BH: Boba Jango Cad The Mandalorian G10 Greedo G11
KoninginKonan,968292886,3,0,3,L5 Jabba: Jabba Boushh (Leia Organa) R6 Krrsantan Skiff Guard (Lando Calrissian) R5 Boba
KoninginKonan,968292886,2,0,2,L2 Old Republic: JKR BS Jolee Mission Zaalbar G12
KoninginKonan,968292886,12,0,12,L1 Jawas: Nebit G8 Jawa Engineer G9 Jawa Scavenger G8 Dathcha G11 Jawa
KoninginKonan,968292886,7,6,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R
TonkaDavid,759331513,4,0,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
TonkaDavid,759331513,4,0,4,L1 BH: Boba Jango Cad The Mandalorian Greedo G8
Dhsk,466455974,4,0,4,L1 Old Republic: JKR BS G11 Jolee G11 Mission G11 Zaalbar G11
Dhsk,466455974,5,0,5,L1 BH: Boba G11 Jango G11 Cad G11 The Mandalorian G11 Embo G11
Pommy,142277723,2,0,2,L1 Old Republic: JKR BS Jolee Mission G11 Zaalbar G11
Pommy,142277723,2,0,2,L1 BH: Boba Jango Cad The Mandalorian G10 Greedo
Jameson,922247616,4,0,4,L1 Maul: Maul Sabine Bo-Katan G8 Canderous Armorer
Jameson,922247616,4,0,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
Jameson,922247616,7,0,7,L1 BH: Boba G9 Jango Cad The Mandalorian G8 Greedo
Jameson,922247616,16,15,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman Tusken Warrior 3* URoRRuR'R'R 5*
Jameson,922247616,6,0,6,L0 Jawas: Nebit G7 Jawa Engineer G7 Jawa Scavenger G6 Dathcha G7 Jawa G7
DeputyDan,719787543,1,0,1,L1 Maul: Maul The Mandalorian (Beskar Armor) G11 Bo-Katan Canderous Armorer
DeputyDan,719787543,4,0,4,L1 Old Republic: JKR BS Jolee Mission G10 Zaalbar G10
DeputyDan,719787543,1,0,1,L1 BH: Boba Jango Cad The Mandalorian Greedo G11
DeputyDan,719787543,3,0,3,L0 Jawas: Nebit G7 Jawa Engineer Jawa Scavenger G7 Dathcha G7 Jawa
DeputyDan,719787543,2,0,2,L0 Tuskens: Tusken Chieftain 3* Tusken Raider G7 Tusken Shaman G7 Tusken Warrior 3* URoRRuR'R'R 5*
WildfireX,552286427,2,0,2,L2 Maul: Maul The Mandalorian (Beskar Armor) Bo-Katan Canderous G12 Armorer
WildfireX,552286427,4,0,4,L2 Old Republic: JKR BS Jolee Mission G12 Zaalbar G12
WildfireX,552286427,2,0,2,L2 BH: Boba Jango Cad The Mandalorian G12 Embo
WildfireX,552286427,4,0,4,L1 Jawas: Nebit G11 Jawa Engineer G11 Jawa Scavenger G11 Dathcha G11 Jawa
WildfireX,552286427,6,5,1,L0 Tuskens: Tusken Chieftain 4* Tusken Raider Tusken Shaman Tusken Warrior 6* URoRRuR'R'R
