Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Dhsk,466455974,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
MaxRanavan,121954532,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Range Trooper Dark Trooper
MaxRanavan,121954532,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
MaxRanavan,121954532,0,0,0,SEE P1 5%: SEE Malak EP Vader Sith Marauder
MaxRanavan,121954532,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Vaha68,517167991,9,9,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
Vaha68,517167991,9,9,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Vaha68,517167991,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Texte239,847319871,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
DeputyDan,719787543,0,0,0,SEE P1 5%: SEE Malak Darth Talon Vader Sith Marauder
DeputyDan,719787543,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Mo Yin,524533215,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Mo Yin,524533215,0,0,0,SEE P1 5%: SEE Malak Vader Dooku Sith Marauder
swine destroyer,938382827,0,0,0,SEE P1 5%: SEE Malak EP Vader Sith Marauder
swine destroyer,938382827,0,0,0,Seps (1%): Dooku Jango GBA GG AV
Metatron72,588623761,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Metatron72,588623761,0,0,0,SEE P1 5%: SEE Malak Darth Talon DR Sith Marauder
Metatron72,588623761,0,0,0,JKL + JML (6%): JKL JMLS JKR Jolee BS
Metatron72,588623761,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Metatron72,588623761,0,0,0,Seps (1%): Dooku Jango MagnaGuard GG AV
Metatron72,588623761,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Azza 2017,525689438,0,0,0,Seps (1%): Dooku Jango GBA GG Poggle
Azza 2017,525689438,6,6,0,JMK (8%): JMK GK Ahsoka CAT JKA
Azza 2017,525689438,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Zack,426488714,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Rellik,484158711,8,8,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Rellik,484158711,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
MasterShep2,332979431,1,1,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
MasterShep2,332979431,10,10,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
MasterShep2,332979431,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
CT5555,981748341,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
CT5555,981748341,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
CT5555,981748341,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Range Trooper Dark Trooper
Vel'Train,455642849,13,13,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Vel'Train,455642849,7,7,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Dexter,259247871,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Dexter,259247871,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Dexter,259247871,7,7,0,Imperial Troopers 5%: Veers Piett Gideon Starck Dark Trooper
Dexter,259247871,0,0,0,SEE P1 5%: SEE Malak Darth Talon DR Sith Marauder
Dexter,259247871,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Ralthor,639153363,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ralthor,639153363,0,0,0,SEE P1 5%: SEE Malak EP Vader Sith Marauder
Ralthor,639153363,0,0,0,Padme 3%: Padme JKA GK Ahsoka CAT
Ralthor,639153363,3,3,0,Imperial Troopers 5%: Veers Piett Gideon Starck Dark Trooper
Ralthor,639153363,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GMY
Jason,467564358,4,4,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jason,467564358,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Jason,467564358,0,0,0,JKL + JML (6%): JKL JMLS GAS GMY Old Ben
Jason,467564358,0,0,0,Seps (1%): Dooku Jango MagnaGuard Nute GG
Jason,467564358,0,0,0,SEE P1 5%: SEE Malak Darth Talon EP Sith Marauder
Jason,467564358,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Kyo Perthar,447523615,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Serpens,645725141,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Ghost Nappa,365784761,0,0,0,JKL + JML (6%): JKL JMLS HYoda GAS Old Ben
Daadcity,444374162,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Daadcity,444374162,3,3,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Bruhmoment,185679354,0,0,0,Seps (1%): Dooku Jango MagnaGuard Nute GG
DarthSinister,787198725,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
DarthSinister,787198725,0,0,0,JKL + JML (6%): JKL JMLS JKA GMY Old Ben
Pommy,142277723,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Pommy,142277723,18,18,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Diath,858559118,8,8,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Diath,858559118,2,2,0,Padme 3%: Padme JKA GK Ahsoka GMY
Diath,858559118,9,9,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Qin Phfal,237375819,10,10,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Qin Phfal,237375819,1,1,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Qin Phfal,237375819,9,9,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Qin Phfal,237375819,6,6,0,Padme 3%: Padme JKA GK Ahsoka GMY
Qin Phfal,237375819,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
IceStoy,298744196,16,16,0,Padme 3%: Padme JKA GK Ahsoka GMY
IceStoy,298744196,0,0,0,SEE P1 5%: SEE Malak Dooku DR Sith Marauder
WildfireX,552286427,9,9,0,JMK (8%): JMK GK Ahsoka CAT GAS
WildfireX,552286427,0,0,0,Seps (1%): Dooku Jango MagnaGuard Nute GG
Neko,449267729,0,0,0,SEE P1 5%: SEE Malak Darth Talon Vader Sith Marauder
Neko,449267729,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Neko,449267729,6,6,0,Imperial Troopers 5%: Veers Piett Gideon Starck Dark Trooper
skull crusher,776436941,1,1,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
R2D2,889324759,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
R2D2,889324759,0,0,0,SEE P1 5%: SEE Malak EP Sidious Sith Marauder
R2D2,889324759,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe JKL
R2D2,889324759,6,6,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
KoninginKonan,968292886,0,0,0,GG (2%): GG B1 Droideka B2 HK-47
KoninginKonan,968292886,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
KoninginKonan,968292886,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
KoninginKonan,968292886,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
KoninginKonan,968292886,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
KoninginKonan,968292886,0,0,0,SEE P1 5%: SEE Malak Vader Sith Trooper Sith Marauder
xGhostCaliberx,855417377,3,3,0,JMK (8%): JMK GK Ahsoka CAT GAS
xGhostCaliberx,855417377,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
xGhostCaliberx,855417377,0,0,0,SEE P1 5%: SEE Malak Darth Talon DR Sith Marauder
xGhostCaliberx,855417377,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Inquísìtor Strize,486434149,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Inquísìtor Strize,486434149,0,0,0,BH 2%: Aurra Greef Bossk Jango Boba
Inquísìtor Strize,486434149,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Inquísìtor Strize,486434149,8,8,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
乂ιρ,691737775,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
乂ιρ,691737775,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
jhitt7,612627154,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Chirrut Îmwe,592673129,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
Chirrut Îmwe,592673129,0,0,0,SEE P1 5%: SEE Malak Darth Talon Sith Trooper Sith Marauder
Ωhme,449894731,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Macvidar92,295681967,0,0,0,JKL + JML (6%): JKL JMLS JKR Jolee Old Ben
Macvidar92,295681967,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Jameson,922247616,0,0,0,SEE P1 5%: SEE Malak Vader DR Sith Marauder
Jameson,922247616,0,0,0,Padme 3%: Padme JKA GK Ahsoka CAT
Jameson,922247616,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
MINI KingSteel,254276153,6,6,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
MINI KingSteel,254276153,0,0,0,SEE P1 5%: SEE Malak EP Vader Sith Marauder
MINI KingSteel,254276153,0,0,0,Seps (1%): Dooku Jango B2 B1 GG
BabyGoat851,996376328,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
BabyGoat851,996376328,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Blp2401,795254344,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Blp2401,795254344,14,14,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Blp2401,795254344,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
TonkaDavid,759331513,0,0,0,SEE P1 5%: SEE Malak Darth Talon Vader Sith Marauder
TonkaDavid,759331513,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
TonkaDavid,759331513,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
TonkaDavid,759331513,0,0,0,JKL + JML (6%): JKL JMLS Shaak Ti GMY Old Ben
Orion,951862265,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Orion,951862265,0,0,0,GG (2%): GG B1 Droideka B2 HK-47
Orion,951862265,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Orion,951862265,0,0,0,JKL + JML (6%): JKL JMLS JKR Mace Old Ben
BearLee,387139863,0,0,0,SEE P1 5%: SEE Malak Vader DR Sith Marauder
BearLee,387139863,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
BearLee,387139863,9,9,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
JRobertson12,221913824,1,1,0,JMK (8%): JMK GK Ahsoka CAT JKA
JRobertson12,221913824,0,0,0,SEE P1 5%: SEE Malak EP Vader Sith Marauder
Bearzerker,224595239,0,0,0,SEE P1 5%: SEE Malak Darth Malgus Darth Talon Sith Marauder
Bearzerker,224595239,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Bearzerker,224595239,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Bearzerker,224595239,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Bearzerker,224595239,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
DarthSinister,787198725,14,0,14,p2: Shaak 6%: Shaak Ti R3 Fives R2 Rex R2 Echo (501st) R2 ARC Trooper R2
DarthSinister,787198725,2,0,2,p1: Padme 3%: Padme R4 JKA GK Ahsoka R4 GMY
Dhsk,466455974,9,0,9,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G9
MINI KingSteel,254276153,10,4,6,p4: Rebels (2%): CLS Chewbacca Han Chewpio C-3PO G12
MINI KingSteel,254276153,12,0,12,p3: Imperial Troopers 5%: Veers R3 Piett Starck R3 Range Trooper G12 Dark Trooper R3
Bruhmoment,185679354,14,3,11,p2: Shaak 6%: Shaak Ti G12 Fives R2 Rex R3 Echo (501st) ARC Trooper
Bruhmoment,185679354,12,0,12,p1: Padme 3%: Padme JKA G12 GK Ahsoka G12 GMY
KoninginKonan,968292886,12,0,12,p2: Imperial Troopers 5%: Veers R3 Piett Gideon R1 Starck R3 Dark Trooper R1
BearLee,387139863,7,0,7,p4: Rebels (2%): CLS Chewbacca R4 Han Chewpio G12 C-3PO
BearLee,387139863,15,1,14,p2: Imperial Troopers 5%: Veers R4 Piett Gideon G12 Starck R4 Dark Trooper G12
Rellik,484158711,6,1,5,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G13
Rellik,484158711,5,4,1,p4: Rebels (2%): CLS Chewbacca Han Chewpio R4 C-3PO
Metatron72,588623761,15,1,14,p2: Shaak 6%: Shaak Ti Fives Rex R3 Echo (501st) G12 ARC Trooper G12
Ghost Nappa,365784761,6,0,6,p1: Padme 3%: Padme R3 JKA GK R3 Ahsoka R3 R2-D2
JRobertson12,221913824,17,10,7,p2: Imperial Troopers 5%: Veers R3 Piett Gideon R3 Starck R3 Dark Trooper R4
Vel'Train,455642849,8,1,7,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G11
Chirrut Îmwe,592673129,14,4,10,p2: Shaak 6%: Shaak Ti Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R1
Chirrut Îmwe,592673129,2,0,2,p4: JMK (8%): JMK GK Ahsoka R3 CAT JKA
Ωhme,449894731,6,0,6,p4: Rebels (2%): CLS R3 Chewbacca Han Chewpio R1 R2-D2
Ωhme,449894731,6,2,4,p1: Padme 3%: Padme R3 JKA GK Ahsoka R3 GMY
Ωhme,449894731,15,12,3,p2: Shaak 6%: Shaak Ti Fives Rex Echo (501st) R3 ARC Trooper R4
skull crusher,776436941,2,0,2,p2: Shaak 6%: Shaak Ti R3 Fives Rex Echo (501st) ARC Trooper
Azza 2017,525689438,24,0,24,p2: Shaak 6%: Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Pommy,142277723,34,11,23,p3: Imperial Troopers 5%: Veers G11 Piett Starck G11 Range Trooper G9 Dark Trooper
Q92,261337715,14,0,14,p1: Padme 3%: Padme G12 JKA G12 GK Ahsoka R3 GMY
Q92,261337715,12,7,5,p4: JMK (8%): JMK GK Ahsoka R3 CAT R3 GAS R4
Texte239,847319871,15,3,12,p4: GG (2%): GG G12 B1 R2 Droideka B2 R2 HK-47
Texte239,847319871,2,0,2,p1: SEE P1 5%: SEE Malak R3 Vader DR Sith Marauder
BabyGoat851,996376328,4,3,1,p1: Vader P1 10%: Vader R4 KRU Wat Tambor C-3PO Shaak Ti
Diath,858559118,33,23,10,p3: Imperial Troopers 5%: Veers R3 Piett Gideon R1 Range Trooper R2 Starck R4
jhitt7,612627154,2,0,2,p2: Shaak 6%: Shaak Ti Fives Rex R3 Echo (501st) ARC Trooper
jhitt7,612627154,5,0,5,p1: Padme 3%: Padme R4 JKA R4 GK R3 Ahsoka R4 R2-D2
Zack,426488714,6,0,6,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G12
swine destroyer,938382827,15,0,15,p2: Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G10 6* Traya
swine destroyer,938382827,13,5,8,p3: Vader+Wat 8%: Vader EP Thrawn Wat Tambor G10 6* Malak
Jameson,922247616,11,1,10,p4: Rebels (2%): CLS Chewbacca Han Chewpio G8 C-3PO
WildfireX,552286427,4,2,2,p1: Padme 3%: Padme JKA R3 GK Ahsoka CAT
WildfireX,552286427,10,6,4,p2: Shaak 6%: Shaak Ti Fives R3 Rex R3 Echo (501st) ARC Trooper
CT5555,981748341,12,6,6,p4: Rebels (2%): CLS Chewbacca Han Chewpio G12 C-3PO
Inquísìtor Strize,486434149,7,0,7,p3: SLKR+NS 11%: SL Kylo Zombie G11 Daka Hux Wat Tambor
Bigs Little,617228366,26,2,24,p1: Vader P1 10%: Vader KRU Wat Tambor G8 C-3PO G11 5* BB-8 G11
Bigs Little,617228366,24,0,24,p4: Rebels (2%): CLS G12 Chewbacca R2 Han R1 Chewpio G11 R2-D2 R1
Neko,449267729,14,10,4,p4: GG (2%): GG B1 R3 Droideka B2 R3 HK-47
IceStoy,298744196,25,20,5,p4: GG (2%): GG B1 R4 Droideka R3 B2 R3 MagnaGuard
Kyo Perthar,447523615,20,10,10,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G8
Vaha68,517167991,3,0,3,p1: SEE P1 5%: SEE Malak R2 EP Vader Sith Marauder
R2D2,889324759,22,0,22,p2: Imperial Troopers 5%: Veers R3 Piett Gideon G9 Starck R3 Dark Trooper G9
Blp2401,795254344,36,1,35,p3: Imperial Troopers 5%: Veers G10 6* Piett Gideon G9 5* Range Trooper G7 4* Dark Trooper G11 5*
MasterShep2,332979431,15,9,6,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G12
Daadcity,444374162,9,0,9,p1: Padme 3%: Padme JKA R4 GK R3 Ahsoka G12 R2-D2
Serpens,645725141,12,0,12,p1: Padme 3%: Padme JKA G12 GK Ahsoka G12 GMY
Macvidar92,295681967,25,0,25,p1: Vader P1 10%: Vader KRU G8 Wat Tambor G9 5* C-3PO BB-8 G12
Macvidar92,295681967,27,0,27,p3: Vader+Wat 8%: Vader EP G12 Thrawn G12 Wat Tambor G9 5* Malak G12
乂ιρ,691737775,10,0,10,p2: Shaak 6%: Shaak Ti G8 Fives Rex Echo (501st) ARC Trooper
乂ιρ,691737775,2,0,2,p4: JKR + Rey (7%): JKR R3 Rey RH Finn RH Poe GAS
DeputyDan,719787543,10,0,10,p3: Imperial Troopers 5%: Veers R3 Piett Gideon R2 Starck R3 Dark Trooper R2
DeputyDan,719787543,5,0,5,p2: Shaak 6%: Shaak Ti R1 Fives Rex Echo (501st) R4 ARC Trooper
Mo Yin,524533215,3,0,3,p4: GG (2%): GG B1 R4 Droideka R4 B2 R4 HK-47
Mo Yin,524533215,9,2,7,p2: Imperial Troopers 5%: Veers R3 Piett Gideon R4 Starck R3 Dark Trooper R3
TonkaDavid,759331513,15,7,8,p2: Shaak 6%: Shaak Ti Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
Orion,951862265,29,15,14,p2: Shaak 6%: Shaak Ti Fives R3 Rex G12 Echo (501st) ARC Trooper G12
