Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Bearzerker,224595239,8,8,0,GAS Special: GAS Ahsoka
Bearzerker,224595239,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Bearzerker,224595239,0,0,0,JKL: JKL HYoda JMLS JKR GK
Bearzerker,224595239,15,15,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Bearzerker,224595239,20,12,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
Neko,449267729,15,15,0,GAS Special: GAS Ahsoka
Q92,261337715,7,7,0,GAS Special: GAS Ahsoka
Q92,261337715,19,0,19,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G11 ARC Trooper G12 Fives G10
Diath,858559118,4,4,0,GAS Special: GAS Ahsoka
Diath,858559118,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Diath,858559118,5,5,0,JKL: JKL HYoda GMY Jolee GK
Diath,858559118,20,20,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Diath,858559118,20,0,20,Finn: Finn G11 RT G12 RH Finn G10 6* RH Poe G11 JTR
Azza 2017,525689438,8,8,0,GAS Special: GAS Ahsoka
Azza 2017,525689438,20,4,16,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G12 Fives G12
Sometime ago I,735232346,0,0,0,GAS Special: GAS Ahsoka
Sometime ago I,735232346,0,0,0,JKL: JKL HYoda GMY Jolee GK
Sometime ago I,735232346,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Sometime ago I,735232346,4,4,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
JRobertson12,221913824,8,8,0,GAS Special: GAS Ahsoka
JRobertson12,221913824,18,0,18,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G11 ARC Trooper G11 Fives G12
xGhostCaliberx,855417377,0,0,0,GAS Special: GAS Ahsoka
xGhostCaliberx,855417377,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Inquísìtor Strize,486434149,8,8,0,GAS Special: GAS Ahsoka
Inquísìtor Strize,486434149,20,20,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Inquísìtor Strize,486434149,12,8,4,ROLO: ROLO Cpt Solo G12 Han CLS Chewbacca
CT5555,981748341,0,0,0,GAS Special: GAS Ahsoka
CT5555,981748341,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Chirrut Îmwe,592673129,0,0,0,GAS Special: GAS Ahsoka
Chirrut Îmwe,592673129,8,8,0,JKL: JKL HYoda GMY Jolee GK
Chirrut Îmwe,592673129,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Chirrut Îmwe,592673129,4,0,4,ROLO: ROLO Cpt Solo Han G12 CLS Lando
Chirrut Îmwe,592673129,13,9,4,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper G12 Fives
Jameson,922247616,14,1,13,ROLO: ROLO G9 Chirrut G10 Han CLS Chewbacca
Jameson,922247616,16,0,16,Shaak Ti: Shaak Ti G8 Rex Echo (501st) G12 ARC Trooper G12 Fives
BearLee,387139863,5,5,0,GAS Special: GAS Ahsoka
BearLee,387139863,4,4,0,ROLO: ROLO Cpt Solo Han CLS Lando
BearLee,387139863,9,9,0,JKL: JKL HYoda GMY Jolee GK
BearLee,387139863,20,8,12,Finn: Finn RT G12 RH Finn G12 RH Poe G12 JTR
BearLee,387139863,18,6,12,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G12 Fives
Ralthor,639153363,0,0,0,Finn: Finn RT RH Finn RH Poe Rey
Ralthor,639153363,0,0,0,GAS Special: GAS Ahsoka
Ralthor,639153363,4,4,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Metatron72,588623761,4,4,0,GAS Special: GAS Ahsoka
Metatron72,588623761,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Metatron72,588623761,4,4,0,JKL: JKL HYoda GMY Jolee GK
Metatron72,588623761,14,2,12,Finn: Finn RT G12 RH Finn G12 RH Poe G12 JTR
Metatron72,588623761,10,2,8,Shaak Ti: Shaak Ti Rex Echo (501st) G12 ARC Trooper G12 Fives
IceStoy,298744196,7,2,5,GAS Special: GAS G11 6* Ahsoka
IceStoy,298744196,20,8,12,Shaak Ti: Shaak Ti Rex R2 Echo (501st) R2 ARC Trooper G10 4* Fives G12
skull crusher,776436941,5,5,0,CLS: CLS Han Chewbacca Chewpio C-3PO
skull crusher,776436941,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
skull crusher,776436941,16,0,16,Finn: Finn RT G11 RH Finn G10 5* RH Poe G11 4* JTR
skull crusher,776436941,4,0,4,GAS Special: GAS Ahsoka G12
skull crusher,776436941,5,0,5,ROLO: ROLO Cpt Solo Leia Baze G11 Lando
skull crusher,776436941,19,0,19,JKL: JKL HYoda GMY G12 JKR G9 Jolee G8
DeputyDan,719787543,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
DeputyDan,719787543,0,0,0,JKL: JKL HYoda GMY GK GAS
DeputyDan,719787543,2,0,2,Shaak Ti: Shaak Ti R1 Rex Echo (501st) ARC Trooper Fives
Ωhme,449894731,7,7,0,GAS Special: GAS Ahsoka
Ωhme,449894731,20,20,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Ωhme,449894731,2,0,2,ROLO: ROLO Cpt Solo Han R1 Chewbacca Lando
Ωhme,449894731,14,7,7,JKL: JKL HYoda GMY JKR R1 Jolee G11
Pommy,142277723,4,4,0,GAS Special: GAS Ahsoka
Pommy,142277723,0,0,0,JKL: JKL HYoda GMY JKR GK
Pommy,142277723,2,2,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Pommy,142277723,1,0,1,ROLO: ROLO Cpt Solo Han CLS Lando
KoninginKonan,968292886,6,6,0,GAS Special: GAS Ahsoka
KoninginKonan,968292886,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
KoninginKonan,968292886,0,0,0,JKL: JKL HYoda GMY JKR GK
KoninginKonan,968292886,20,6,14,Shaak Ti: Shaak Ti Rex R1 Echo (501st) G12 ARC Trooper G12 Fives G12
Ghost Nappa,365784761,6,6,0,GAS Special: GAS Ahsoka
Ghost Nappa,365784761,0,0,0,JKL: JKL HYoda GMY JKR GK
Ghost Nappa,365784761,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Ghost Nappa,365784761,9,5,4,ROLO: ROLO Cpt Solo Leia Baze G12 Lando
Ghost Nappa,365784761,18,4,14,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G11 ARC Trooper G11 Fives
乂ιρ,691737775,0,0,0,GAS Special: GAS Ahsoka
乂ιρ,691737775,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
乂ιρ,691737775,8,0,8,Shaak Ti: Shaak Ti G8 Rex Echo (501st) ARC Trooper Fives
Rellik,484158711,1,1,0,GAS Special: GAS Ahsoka
Rellik,484158711,0,0,0,JKL: JKL HYoda GMY JKR GK
Rellik,484158711,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Rellik,484158711,16,16,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Rellik,484158711,11,4,7,ROLO: ROLO Cpt Solo Leia G13 Baze G12 Lando
MasterShep2,332979431,19,19,0,CLS: CLS Han Chewbacca Chewpio C-3PO
MasterShep2,332979431,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
MasterShep2,332979431,1,0,1,GAS Special: GAS Ahsoka R2
Dexter,259247871,8,8,0,GAS Special: GAS Ahsoka
Dexter,259247871,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Dexter,259247871,0,0,0,JKL: JKL HYoda JMLS JKR GK
Dexter,259247871,20,19,1,Finn: Finn RT RH Finn RH Poe JTR
Dexter,259247871,14,6,8,Shaak Ti: Shaak Ti Rex Echo (501st) G12 ARC Trooper G12 Fives
TonkaDavid,759331513,0,0,0,GAS Special: GAS Ahsoka
